ID,EGO_COUNTRY,EGO_CITATIONS,EGO_PAPERS,EGO_COAUTHORS
8791909900,Austria,50123,1177,19673
35414309600,Austria,36856,791,2358
36047824700,France,34464,884,2202
6603210566,Austria,50975,999,19954
7004149934,Austria,50886,1040,18309
35227509400,Austria,52744,1198,20997
55325317300,Austria,49321,1114,22104
7103202523,Austria,72044,928,2579
7401702536,Austria,57046,1056,18093
7007049415,Austria,52118,1230,20270
16019870600,Austria,44154,965,17052
56393151400,Austria,45151,1017,12628
6601931097,Austria,45834,951,17045
36945595500,Netherlands,48792,1247,19505
56217303000,Austria,47156,964,19300
8791944600,Belgium,43455,968,18534
7101979069,Belgium,86842,720,3434
7006420435,Belgium,46204,410,2372
7005959932,Belgium,69705,483,2246
7005733218,Belgium,50144,581,4981
36049696300,Belgium,44442,1331,2756
6701904022,Belgium,45818,816,15311
36047488000,Belgium,36649,815,773
36048879600,Belgium,61214,731,3363
35226999000,Belgium,49362,1060,17675
57034305100,Belgium,43647,677,1456
35278835700,Belgium,49251,974,19289
35354210300,Canada,73448,1479,21295
35227155800,Belgium,48865,1029,17412
35378176800,Belgium,38826,799,1700
35235601700,Belgium,53792,947,1159
35379345100,Belgium,66915,889,1350
7007131716,Belgium,49669,1090,19484
36051279500,Netherlands,72504,1520,23469
35285982800,Belgium,45581,1027,16201
35227095300,Belgium,52996,1026,19421
35399610800,Belgium,107321,2554,3938
6701362856,Belgium,51222,849,17946
23097064300,Belgium,40215,761,14250
35315034700,Belgium,52726,1109,18049
35228082900,Belgium,52843,1084,17761
35447152000,Belgium,36546,777,1190
7103287561,Belgium,48539,756,3462
35228112900,Belgium,54003,1224,18991
35926874100,Belgium,90727,853,2598
35228119200,Bulgaria,45914,831,17093
7006790820,Bulgaria,41486,911,16624
36143231500,Bulgaria,41614,910,16595
35240572900,Bulgaria,45039,1061,17384
6602116545,Croatia,41564,872,16547
35277866900,Croatia,49956,1068,20432
12758684000,Croatia,45486,993,19180
7003787662,Cyprus,67215,515,2572
35227837600,Cyprus,68802,1326,17350
14826956800,Czech Republic,45698,1080,20223
35315139400,Czech Republic,49969,894,16233
6602844884,Czech Republic,42842,884,16341
35227998400,Czech Republic,42881,899,16108
35227533500,Czech Republic,45575,1050,15310
35227995300,Czech Republic,57015,1251,16471
35227520400,Czech Republic,44281,940,20325
8301003700,Czech Republic,61858,1382,23593
7006350531,Czech Republic,41567,909,16079
35227510800,Czech Republic,55820,1244,17246
55048755500,Czech Republic,43489,1058,16851
6602770702,Czech Republic,45100,902,16853
35277505500,Czech Republic,41370,906,18964
7004562280,Czech Republic,41380,872,16451
24759171600,Czech Republic,61172,1444,20122
16434874400,Czech Republic,44334,1080,16867
8791928600,Czech Republic,45525,1002,19214
26326826900,Czech Republic,41379,867,17743
35227990400,Czech Republic,44295,757,15887
35235459100,Czech Republic,51086,1116,16626
56978883700,Russian Federation,53234,1029,20981
24536744000,Czech Republic,51843,1005,24355
56978936100,Czech Republic,41676,869,16388
34879578900,Czech Republic,50618,1106,18717
35227364000,Czech Republic,52544,1158,16251
36038149900,Denmark,42796,1222,1670
7004992352,Denmark,60929,1898,1244
8047243900,Denmark,45644,984,19772
36040368300,Denmark,59153,914,3406
7103236448,Denmark,38879,702,2487
7102885673,Denmark,40179,1065,1118
36078272300,Denmark,83024,1479,3082
