"id","co_list","country_origin","cited_by_count"
7202641523,"[37031031300, 7005477388, 36871786000, 7102903313, 55697249300, 25951610900, 7102052374, 15760481300, 36695828500, 35620756500, 35242635300, 6603851819, 7201468460, 7201467952, 13613809200, 6701375540, 24463071800, 7403012669, 47461275200, 54883538500, 6602337862, 7202024521, 7101612105, 6602780747, 35548941900, 7202750545, 57196198482, 6602442324, 7003354197, 22958464600, 57203081819, 7005392995, 7403882084, 6507791461, 7101843559, 56511342700, 37021896700, 7003727472, 7202641523, 6602175098, 7102550659, 25027335300, 7103182981, 7102931078, 6701533833, 6508079244, 36598453900, 6506965651, 6603147415, 7004564124, 25632467100, 57203197599, 6506014367, 7005439651, 7202336423, 35493223600, 48862046900, 7403378360, 35519428800, 6603232964, 6505815750, 15765657800, 56007338700, 7403570893, 22937813200, 6602296529, 7403259606, 7006008023, 36930295000, 6602335966, 23136050400, 7005282532, 7102229224, 35312762600, 24438163700, 37031418100, 6602566391, 7004999929, 57198304507, 15131355900, 23467257600, 16444076800, 55067142400, 6701850891, 8325215500, 6506386187, 15037181200, 8294511900, 35598072100, 23477295400, 36078272300, 36066918700, 7202248496, 6602716467, 6603802932, 35848814900, 7003672380, 6603963197, 15760553800, 55774919500, 56624084300, 7402346322, 6602949974, 6507544408, 7006247772, 6701375328, 39161039200, 6701610341, 7401839463, 6603883368, 7202563947, 21834186100, 55791331700, 7402929527, 14821876100, 12777063300, 36605167500, 25932343700, 23488550300, 8092249500, 55420377500, 35433130400, 8947498400, 56967082400, 56534071200, 16154290600, 6603581352, 57188671913, 38861324200, 57202068397, 35557396400, 56469797300, 7201381301, 6602996150, 25026844600, 56534300600, 24166739900, 7202171843, 6601980870, 55073696200, 36050903500, 7005097427, 7005823446, 26642915800, 55246077400, 6602262490, 15759963100, 24076379100, 6602190308, 36007437800, 12805389800, 55324929000, 54408619500, 7102729198, 6506591732, 23767283700, 7102053368, 57201599481, 7005139451, 15120751100]","Germany",150983
35380287000,"[26643417600, 7102256130, 7004697093, 6603076626, 6602576918, 35380287000, 7004049441, 55731074600, 6602979881, 7801523764, 24473051700, 25723782200, 55934875200, 6603638848, 7003990094, 56374917200, 7403642450, 56521225300, 26633063000, 7005234267, 7005347938, 7102600806, 7202435686, 7006474856, 7201420394, 6602849388, 6701681773, 7102014576, 22235165300, 6506134138, 7005501055, 35371408000, 57202553986, 6701721730, 14833837700, 35738490500, 20035582600, 22636235400, 22233483400, 24067164300, 24468969100, 56036764300, 6701651088, 7202998423, 6701558939, 19934483100, 7006064798, 35460426400, 7004076705, 7006338728, 6506604201, 6603381933, 8754407600, 15826407600, 37026859700, 23396694200, 25622307000, 56549188800, 56273920200, 56705617100, 7005947086, 16647995600, 6701351633, 56978090200, 6603556057, 6602225377, 7006404323, 6603033827, 7006323950, 7003366639, 55259996400, 7005289199, 57201137908, 13610067700, 7004340982, 56083859700, 12240475900, 22944783100, 6701776134, 55466357000, 7003401481, 14326069000, 16140215800, 7004824572, 7202702094, 55249994000, 7003624721, 7003675930, 7402296091, 7003524383, 7004326178, 7202461475, 6603127087, 35571054900, 6602212153, 14028040000, 6603382595, 9275702100, 6602804564, 56208864600, 55754311000, 7403439450, 8949681500, 35363868000, 24438172000, 7005733218, 57202998114, 55318833000, 49461002600, 24475624300, 34879545200, 54891398000, 7003272572, 9237176700, 36638866300, 6701536124, 36524178300, 6603559806, 8414610300, 7005150080, 6602475905, 7006482306, 7103205246, 7102383487, 26649959300, 15752026500, 7004630408, 24338705300, 35407483800, 56047701400, 45061000600, 6701797787, 24577394600, 57197977516, 35199662000, 56622458800, 9273846200, 56289003900, 6701502915, 7003605959, 52164746700, 7005285839, 38663298000, 7102955988, 14034745300, 7202624985, 7005101018, 7102504411, 54899700700, 33068404700, 6602164706, 24450902500, 22235380200, 26431245800, 57197035497, 35419243000, 24773658100, 7003849208, 36461371900, 6603137535]","France",145927
36048731400,"[8509316100, 57201971207, 6603547661, 26648246800, 24329223700, 56920724500, 35231615000, 7005423657, 7006392362, 7402105900, 6602378288, 35273994800, 7006691891, 7005473334, 7003962934, 6602176567, 56841119800, 7003287098, 7006931003, 35446128700, 8703984700, 35418600000, 35351391300, 15135621700, 7003669072, 7202318417, 35380220500, 6506585188, 10043191400, 7004286059, 6701823086, 7006224498, 15926160500, 7005539448, 7202347641, 57195254907, 56284453500, 7102229127, 57202519178, 6508277910, 35273742500, 7004201650, 6602465971, 6602743474, 6701612213, 7004345016, 6506552509, 6701705920, 7202453700, 55665186500, 7006660813, 7007072461, 56998459100, 7004345054, 55400421600, 7006708451, 7101734115, 7103086309, 14120284900, 36037246700, 36042840300, 35378012400, 7005293297, 35354080500, 7004828916, 16023891700, 55239601400, 7101682939, 7004217088, 7006776577, 18535933700, 36048731400, 8232027400, 7003734797, 7402165524, 56357082900, 57195375383, 35374213400, 7003921176, 7003381018, 56424163100, 36076881700, 35374891300, 55138342700, 25824883500, 57189595440, 22954837300, 7003411255, 7005419833, 35375662400, 7102087489, 7004953409, 7006388546, 6603292486, 7006594888, 35235378000, 7103218006, 7003353432, 56830266200, 7402785120, 55147513700, 21634758500, 8739667300, 7006771047, 6701522277, 57203177830, 35435449700, 6603626351, 24339525500, 7005443464, 7004697483, 55800239500, 7202626958, 24553920400, 7801419664, 56662814100, 35068219800, 57201969573, 36039269800, 56393151400, 7005144490, 6602988969, 57202570156, 7006539182, 36043809200, 6603009457, 57201742256, 6602165684, 6603813300, 56687068600, 7102677436, 6701792190, 7402061249, 15062786500, 9938997700, 7004450759, 7102574024, 37121709000, 7003719630, 35369845200, 55630773200, 55800249300, 16189126100, 57203072469, 36012823000, 7004529626, 56813518300, 7004714461, 32867884000, 7005836769, 24167365600, 56521788900, 6701449700, 7007138278, 35402433000, 7004594671, 7005997553, 7006208502, 16067025400, 7005828089]","Netherlands",142433
35354080500,"[56523541000, 7005198349, 7004678671, 26648246800, 56769142800, 24329223700, 7102956565, 56920724500, 35231615000, 7102760992, 7005423657, 7006392362, 7006691891, 7103265845, 7003962934, 34768019000, 7003287098, 35446128700, 36043939900, 7005938237, 56962728000, 35351391300, 57189230664, 7005110344, 36977601100, 7003669072, 7006710354, 7102452820, 7405888600, 7004859481, 7005080154, 13310293600, 7202300001, 57202519139, 6506585188, 7006237290, 36993915500, 6701823086, 7005647985, 7006224498, 6603836017, 15926160500, 13410580600, 7202347641, 7101849722, 57195254907, 26643595900, 6603377285, 55884875400, 6508277910, 26643338400, 57202712224, 36041345700, 7006634151, 16310563500, 6701612213, 6506552509, 6701705920, 7401651927, 7007043802, 7004345054, 7102093023, 55400421600, 8582488800, 7006708451, 36485084900, 6603403494, 7006649063, 36037246700, 7102662382, 35378012400, 35379599600, 35354080500, 7004828916, 7403674871, 57200630008, 55239601400, 7006194937, 47061915900, 55689388800, 24756281600, 7004217088, 18535933700, 36048731400, 8232027400, 7202580243, 7202182932, 56424163100, 7005614368, 34571085600, 56500020000, 55138342700, 7004926261, 7102334774, 35375662400, 7004391239, 7006594888, 57202564940, 35235378000, 7005545809, 7201835346, 7005469522, 7003353432, 35355373400, 56830266200, 8739667300, 6701522277, 7006771047, 7004120938, 56705691500, 24339525500, 57194504574, 7003988354, 57198811524, 7006211976, 7005443464, 7004697483, 55800239500, 7202626958, 7801419664, 20434253200, 7102828944, 7006543768, 7005886887, 36039269800, 57202570156, 7006539182, 56678958000, 56687068600, 56425839100, 7404059581, 57203271614, 36626161600, 7402061249, 9938997700, 6701354952, 7601570762, 55248074700, 7003719630, 35369845200, 55800249300, 36012823000, 55531171800, 7004714461, 24167365600, 56521788900, 35418876900, 7007138278, 7006642150, 35402433000, 55770838500, 57202570731, 7406077936, 7005997553, 35233306100, 7004860406, 6603919352, 24576354300, 7007170557, 7004134399]","United Kingdom",142001
36012823000,"[7006315020, 26648246800, 24329223700, 56920724500, 35402456600, 7403404824, 35231615000, 7102760992, 6701610017, 35372209700, 22952881700, 16067125800, 7005423657, 7402105900, 7003630125, 16679537200, 6602394675, 7003962934, 6602176567, 7003287098, 7005479483, 56188131900, 7003339839, 35378587200, 35351391300, 7007046218, 55646081100, 7003669072, 7006710354, 6701347410, 36062383700, 56341922400, 7410311266, 7005907043, 6602404452, 7004286059, 55706414700, 6701823086, 7403898480, 7005647985, 7006224498, 15926160500, 6602935932, 56284453500, 7004232837, 7102229127, 7202734730, 57203072655, 8546476700, 7402406044, 6506948253, 26643338400, 35273742500, 7003926695, 7004400303, 35377294000, 6701612213, 6506552509, 7101842109, 6701705920, 7005824706, 24175240900, 7004280517, 8970893000, 7007104204, 7004175068, 7004345054, 55400421600, 7006708451, 7005172964, 7103086309, 7403404521, 6701433067, 36037246700, 35378012400, 35379599600, 7401490675, 7004828916, 56489197300, 55239601400, 7101682939, 7004217088, 7006776577, 7402785538, 6603627266, 18535933700, 57191165187, 7005459718, 57201973508, 36048731400, 57202558736, 7402165524, 56424163100, 57200401692, 55313268000, 55122317600, 6602589990, 7202994473, 55138342700, 7403082031, 56965303600, 7005345587, 7003411255, 7202415416, 36078643000, 35375662400, 7102087489, 35393454400, 7004953409, 24318493000, 35235378000, 7005943124, 10339684700, 26643471200, 57191950176, 21634758500, 15052409700, 7006771047, 7005609835, 7004228974, 6602395515, 7401667966, 56253552000, 7003599236, 55031224200, 55338808200, 7005443464, 7004697483, 7202626958, 7402712462, 6508158868, 57203334037, 7102853527, 35373396900, 36039269800, 6602988969, 7005798316, 57202570156, 6603009457, 55356146100, 56687068600, 7402061249, 9938997700, 7005376453, 7003719630, 7005813711, 55574146000, 35369845200, 55801768400, 36012823000, 56676464600, 56813518300, 7004714461, 7202209244, 57202315232, 56521788900, 35371440100, 7007138278, 35402433000, 7005997553]","Finland",141773
36080215500,"[17136524800, 7402529792, 7006366725, 7202889221, 14037413900, 6507199519, 6602501665, 7404597283, 7004940836, 8942129700, 7006466092, 35722647600, 24466698800, 36022338100, 7202904117, 8452639800, 57190977085, 7102375486, 7403135552, 23995713600, 22954126400, 57196955203, 7405772355, 6603693131, 14124097100, 57203176016, 16169805400, 12345357400, 6506379866, 36783783000, 7004572764, 7006674531, 35848524900, 7006914663, 22955383400, 6507903080, 7003926640, 7202571892, 7101880438, 7102178423, 37761031800, 7404362358, 55866315900, 7006879363, 7202142345, 35400736400, 55760151700, 34571632800, 7003996321, 7401893026, 6602927779, 36051252900, 50961268900, 35406239400, 7007072426, 55732148400, 57201454257, 35106770100, 26642159800, 16303496900, 7006246597, 55613233349, 7102799047, 7004453576, 8301636300, 8984550100, 56488742100, 6603266263, 35482832600, 24338679000, 24068820700, 35476748000, 55241104100, 7201501414, 26643348200, 38962379500, 6602268913, 7004558072, 17833640700, 15043112700, 6508225279, 21742214400, 7006483714, 6701712645, 7202374409, 35401529100, 6602537740, 7006869778, 6603657495, 7006713116, 24536662300, 9739601700, 23099601700, 35373001000, 25031569200, 8501341500, 26639790400, 8718395200, 7005571906, 54384946500, 35377104200, 9746516300, 7004946765, 7402585423, 7402491215, 6507316054, 55027467100, 6701559644, 7005729118, 35399763300, 7202767717, 6507118437, 55455767400, 6602390376, 7003598700, 56343084400, 7402794359, 7003880315, 7007085436, 7004536701, 35450411900, 6602989440, 6602104707, 26421453700, 6603702151, 57198205831, 7102667150, 7005938062, 15721498000, 7403935120, 7005884819, 22941627800, 7006433689, 57188566938, 55377122200, 7003479971, 36131502500, 6701691307, 55029686700, 6603846061, 6602786222, 26767602100, 22979049400, 7004489148, 22633799100, 57193233854, 7005869503, 6701554631, 7003274699, 36080215500, 54885292500, 7005641179, 7006320091, 35316314600, 35422801900, 35448982000, 57194038258, 6603954675, 35556954100, 7102183421]","United Kingdom",140855
55429556800,"[7004478464, 7103266306, 55644193800, 57197657096, 36049369100, 7006940172, 57194375695, 7005658640, 7007183888, 7004102675, 6603066902, 7004354583, 7003460120, 7102844957, 6701647389, 35355415600, 7005691441, 6701580343, 6701315129, 7102555195, 55429556800, 7102287937, 7007149634, 6506048586, 6603283019, 6602192461, 7202596432, 7101942868, 7006412373, 6603143772, 7004234344, 7003877483, 7102729324, 24452889200, 6507342962, 35495299700, 57202415735, 56210034300, 56205784700, 54994942600, 35466703500, 6603216530, 6506498197, 7003692182, 7006906524, 6603793564, 36119660700, 7201802400, 36818455200, 7005344423, 6602580140, 7006829747, 6701863096, 23009024700, 7402662079, 57004062400, 6602910402, 6507900615, 7202223817, 55526984400, 7101986513, 7005852886, 7004261078, 7102555352, 7004797658, 8877362400, 7006299874, 6602733797, 6701856486, 35219962600, 44361645800, 35447938800, 35241961200, 6602355443, 8135955700, 56157126900, 7004258039, 6701767928, 6505783546, 7006704894, 7005891839, 7003606783, 7003752191, 7101796611, 55865568524, 7006825239, 7005565721, 56408713500, 6507613981, 7004009246, 7006322463, 7402588446, 6603162399, 7006694690, 35271198500, 7004719910, 35452911400, 7102842665, 6602563881, 6507555625, 7006487855, 57201831216, 6507478831, 7004079922, 7402385715, 7003752760, 16232383800, 6602884922, 7005726523, 7006750016, 35971579200, 26021336900, 6603332424, 7006566218, 8734765900, 7005329231, 6603279697, 7005975379, 7003856723, 6603013463, 7004005208, 6603956571, 6603304296, 6602194793, 55710069100, 7004309869, 7102899054, 7101966188, 6602686828, 7003813233, 6701510513, 6603547507, 6602612079, 7801603955, 7005832054, 7202545042, 7003696020, 7006521756, 7003601824, 56850568100, 7005722533, 55447124400, 36045822400, 35547966400, 7004072386, 7202837442, 35797903300, 7004104134, 7006071245, 6701743057, 7005231579, 57203254236, 7003837918, 7103402974, 55310354400, 6603530219, 6602680815, 57190076913, 7006841333, 6603031545]","France",132631
7201774556,"[14021849600, 7201724419, 35415031300, 55237994500, 36952477700, 24069085200, 6505838610, 7005511188, 7103083541, 7006565915, 7203066397, 18835796000, 24611317800, 7202662441, 7004401706, 6603672111, 14021630000, 56225410100, 7005837877, 7403394613, 7005599799, 7004747845, 7005681227, 6603972691, 7102675032, 6602298456, 7004850777, 6506234456, 57201985625, 6603414104, 8126925400, 7103278687, 7005286503, 7102892135, 7006155881, 22951803500, 6603153519, 7003349105, 7004236401, 7004511348, 55702521461, 7004198521, 16033240700, 7004696702, 35403292800, 7201435266, 7005459586, 7005615746, 7006740619, 7003477133, 6603795090, 36042907800, 7006641819, 36765945500, 7102402206, 7003340958, 7101824161, 14068801700, 6603630767, 36762945200, 55730151600, 7006097074, 7004957367, 36943779000, 15055616700, 35377284800, 6508091073, 24764587200, 11241336000, 7102365381, 57195588807, 6603759818, 57203174603, 7005847762, 57191097047, 7003896540, 14021678300, 7005015776, 7005412577, 24764432100, 24597955300, 7003810023, 7402251498, 6603667691, 56058737900, 7005529336, 6701481724, 7005792510, 7102790916, 35478751500, 7005421838, 35390960400, 7005772568, 6602668829, 57201834782, 6506268958, 8976768800, 35809920800, 26421048100, 7005656356, 57192339248, 7102657331, 35083950900, 7005908281, 7005404989, 6603924799, 7003532101, 35391350600, 23485545800, 7005947209, 7003644237, 6602641239, 7003365724, 7004064098, 7005001570, 57194415970, 7006730085, 6602504037, 7006764903, 6602327918, 26643090800, 7006310769, 14021190000, 55366683000, 6602101114, 7003969916, 36049315200, 7102680449, 7004201345, 16156340100, 7005824390, 7004178830, 7005240208, 7003499929, 56526323100, 56276172700, 42561019300, 55965085100, 6505531822, 6506981301, 7006456255, 35420376000, 6603007424, 7005411268, 56049094600, 7003833802, 6507188171, 7005223885, 22938843600, 7006511066, 7201774556, 56209332700, 36845633500, 7202122721, 15019260400, 16303586800, 23767654900, 7102959094, 7006410742, 8928759800]","Italy",108996
56466188600,"[57202594826, 36941085200, 56381985300, 14526292500, 57202027541, 57202563609, 6701580827, 6603123230, 55851940383, 7005567008, 6602731040, 35415422500, 57202560550, 35559388200, 35613148200, 57193065514, 8555279400, 7004427308, 55906494000, 7401455668, 7102568501, 57190082100, 57202558005, 7403948600, 57001239100, 55763795006, 16030619200, 7004039238, 11240321100, 57202554956, 7006683726, 57202094676, 57202557525, 7102675032, 7005226584, 57191591002, 26029163100, 57203894878, 56155004000, 57195918947, 8549393000, 24365793900, 57203859053, 7003824239, 7101875313, 35377339000, 57200587387, 55662488700, 8566800000, 7004830338, 57196315778, 7006262917, 16159998600, 57203777672, 7004813962, 7006098570, 57195049611, 57189254280, 8309390500, 34569951400, 7005307565, 7006806702, 56353204400, 57202570421, 12775885500, 57202808514, 8708335300, 56745638600, 54413849800, 12788526800, 6602811088, 6602529493, 12766122200, 57202032866, 6507109611, 57203935468, 57201800433, 57196028147, 57191594229, 57202555126, 57192523512, 7003501304, 6603681532, 56135699200, 57202564359, 57190083848, 57193912587, 7005059350, 8964933400, 7007017243, 36503428900, 14025305900, 8948057900, 8708334900, 7005433652, 56466188600, 55116820800, 36248136000, 7004610370, 35355625800, 37117200200, 57196965200, 55247644500, 57200115541, 57189839706, 56262948700, 7003628893, 35769124700, 7004040033, 57198904674, 6602512227, 57200867681, 6603145572, 57200690024, 7004558696, 57202570623, 57203080577, 57202553734, 57202824584, 6603694984, 6701365642, 7003782545, 56804702100, 7102816661, 57201490837, 11140036500, 57195602851, 57200084900, 12770281900, 7006079405, 8705044400, 57201492915, 7005119423, 35420376000, 7005197760, 56481931200, 6602912703, 57202568648, 7004576721, 6603063763, 6602974165, 57194696150, 55654192600, 57195139544, 57202553827, 57195048934, 57202220009, 57190521834, 6602766313, 7003628012, 35298654700, 6507646446, 57203519467, 6602959345, 6602673138, 35617421300, 6602565620, 57194083830, 6701770742, 6506968572]","Italy",106737
55854740500,"[7005639170, 7203023363, 6603730948, 55854740500, 11940564500, 56212056600, 9741046300, 7202577948, 7005877289, 7006466092, 7202904117, 7003695158, 7202052668, 7402507837, 24481665600, 7004140099, 6603523140, 7004243524, 36679071300, 54385251400, 7403530827, 9037095500, 6701856846, 35413253200, 7004609106, 57203218517, 6701759577, 7006743137, 37025945700, 7005066853, 7202809447, 13806596200, 56346909800, 26640200300, 16069644400, 15065130100, 8776349300, 45161659000, 7402265724, 37070501500, 57200268929, 6602566280, 57200754314, 6603570826, 11439827600, 16639584400, 7406079634, 8524298900, 36042037400, 56865525400, 6604062873, 7006495387, 7003503772, 55909343900, 16300848800, 7103040673, 24348528300, 35728820400, 7102041780, 7402134709, 26643068600, 56238563000, 7004572860, 7102400703, 7004527808, 12798596800, 7005018303, 7102706884, 6701862084, 6602600147, 8984550100, 6602872534, 6603935963, 14030625500, 7202220266, 7004189931, 35405771500, 55195702000, 54392438000, 7402638581, 7007103224, 56245967100, 56009858300, 7004839680, 57197122818, 55583460100, 23766871300, 24177175300, 37109462800, 35413505300, 24474113300, 26023288600, 36678767900, 16741658400, 7006398244, 50161540900, 7103331624, 7401621801, 36930940200, 6602505516, 6602893102, 8516062000, 7006041395, 8501341500, 7005502782, 6701444418, 24176438600, 7004124496, 7202325844, 14830223700, 57194006358, 8640583000, 7201653595, 14524043100, 24723599200, 55908277600, 36574099300, 8583306600, 7004540275, 57203201911, 35451935100, 7402934658, 6701613447, 15721498000, 7004553105, 7004033941, 7202725784, 34570888600, 7101896604, 54421188000, 7003479971, 16302062500, 7005104549, 23480315300, 8449219500, 6602979252, 7003766203, 14324529600, 34869208000, 15123403200, 26021246400, 7404041158, 23972192200, 15823118800, 55619304406, 6601955799, 56009674200, 6602308570, 6603617242, 10638772700, 23481012700, 7202899431, 24450177000, 24066573800, 7003876844, 22836651500, 21742835700, 23019827700, 7103329271, 23493009400]","United Kingdom",106165
