,cited_by_count,cited_by_count,cited_by_count,cited_by_count,cited_by_count
,count,min,max,mean,std
country_origin,,,,,
Austria,15,5469,62126,34853,16533
Belgium,36,7403,96309,39685,21513
Croatia,2,38011,42491,40251,3167
Cyprus,2,26298,61829,44063,25124
Czech Republic,12,32570,53107,44796,5380
Denmark,16,9396,77477,43939,15155
Finland,11,14111,141773,59175,35025
France,83,10250,145927,46934,20784
Germany,232,5773,150983,44275,18417
Greece,18,38485,91328,49201,12360
Hungary,7,13094,45270,38721,11357
Ireland,3,35295,71547,49795,19183
Italy,190,7951,108996,44634,12903
Netherlands,55,17565,142433,49636,20840
Poland,10,10997,47455,35674,14461
Portugal,9,18250,61107,38591,11729
Slovakia,3,46224,58082,50362,6691
Spain,35,6804,98321,42992,17460
Sweden,26,18802,73553,41769,13810
United Kingdom,188,5507,142001,48455,21708
