"id","co_list","country_origin","cited_by_count"
7202641523,"[37031031300, 7005477388, 36871786000, 7102903313, 55697249300, 25951610900, 7102052374, 15760481300, 36695828500, 35620756500, 35242635300, 6603851819, 7201468460, 7201467952, 13613809200, 6701375540, 24463071800, 7403012669, 47461275200, 54883538500, 6602337862, 7202024521, 7101612105, 6602780747, 35548941900, 7202750545, 57196198482, 6602442324, 7003354197, 22958464600, 57203081819, 7005392995, 7403882084, 6507791461, 7101843559, 56511342700, 37021896700, 7003727472, 7202641523, 6602175098, 7102550659, 25027335300, 7103182981, 7102931078, 6701533833, 6508079244, 36598453900, 6506965651, 6603147415, 7004564124, 25632467100, 57203197599, 6506014367, 7005439651, 7202336423, 35493223600, 48862046900, 7403378360, 35519428800, 6603232964, 6505815750, 15765657800, 56007338700, 7403570893, 22937813200, 6602296529, 7403259606, 7006008023, 36930295000, 6602335966, 23136050400, 7005282532, 7102229224, 35312762600, 24438163700, 37031418100, 6602566391, 7004999929, 57198304507, 15131355900, 23467257600, 16444076800, 55067142400, 6701850891, 8325215500, 6506386187, 15037181200, 8294511900, 35598072100, 23477295400, 36078272300, 36066918700, 7202248496, 6602716467, 6603802932, 35848814900, 7003672380, 6603963197, 15760553800, 55774919500, 56624084300, 7402346322, 6602949974, 6507544408, 7006247772, 6701375328, 39161039200, 6701610341, 7401839463, 6603883368, 7202563947, 21834186100, 55791331700, 7402929527, 14821876100, 12777063300, 36605167500, 25932343700, 23488550300, 8092249500, 55420377500, 35433130400, 8947498400, 56967082400, 56534071200, 16154290600, 6603581352, 57188671913, 38861324200, 57202068397, 35557396400, 56469797300, 7201381301, 6602996150, 25026844600, 56534300600, 24166739900, 7202171843, 6601980870, 55073696200, 36050903500, 7005097427, 7005823446, 26642915800, 55246077400, 6602262490, 15759963100, 24076379100, 6602190308, 36007437800, 12805389800, 55324929000, 54408619500, 7102729198, 6506591732, 23767283700, 7102053368, 57201599481, 7005139451, 15120751100]","Germany",150983
35380287000,"[26643417600, 7102256130, 7004697093, 6603076626, 6602576918, 35380287000, 7004049441, 55731074600, 6602979881, 7801523764, 24473051700, 25723782200, 55934875200, 6603638848, 7003990094, 56374917200, 7403642450, 56521225300, 26633063000, 7005234267, 7005347938, 7102600806, 7202435686, 7006474856, 7201420394, 6602849388, 6701681773, 7102014576, 22235165300, 6506134138, 7005501055, 35371408000, 57202553986, 6701721730, 14833837700, 35738490500, 20035582600, 22636235400, 22233483400, 24067164300, 24468969100, 56036764300, 6701651088, 7202998423, 6701558939, 19934483100, 7006064798, 35460426400, 7004076705, 7006338728, 6506604201, 6603381933, 8754407600, 15826407600, 37026859700, 23396694200, 25622307000, 56549188800, 56273920200, 56705617100, 7005947086, 16647995600, 6701351633, 56978090200, 6603556057, 6602225377, 7006404323, 6603033827, 7006323950, 7003366639, 55259996400, 7005289199, 57201137908, 13610067700, 7004340982, 56083859700, 12240475900, 22944783100, 6701776134, 55466357000, 7003401481, 14326069000, 16140215800, 7004824572, 7202702094, 55249994000, 7003624721, 7003675930, 7402296091, 7003524383, 7004326178, 7202461475, 6603127087, 35571054900, 6602212153, 14028040000, 6603382595, 9275702100, 6602804564, 56208864600, 55754311000, 7403439450, 8949681500, 35363868000, 24438172000, 7005733218, 57202998114, 55318833000, 49461002600, 24475624300, 34879545200, 54891398000, 7003272572, 9237176700, 36638866300, 6701536124, 36524178300, 6603559806, 8414610300, 7005150080, 6602475905, 7006482306, 7103205246, 7102383487, 26649959300, 15752026500, 7004630408, 24338705300, 35407483800, 56047701400, 45061000600, 6701797787, 24577394600, 57197977516, 35199662000, 56622458800, 9273846200, 56289003900, 6701502915, 7003605959, 52164746700, 7005285839, 38663298000, 7102955988, 14034745300, 7202624985, 7005101018, 7102504411, 54899700700, 33068404700, 6602164706, 24450902500, 22235380200, 26431245800, 57197035497, 35419243000, 24773658100, 7003849208, 36461371900, 6603137535]","France",145927
36048731400,"[8509316100, 57201971207, 6603547661, 26648246800, 24329223700, 56920724500, 35231615000, 7005423657, 7006392362, 7402105900, 6602378288, 35273994800, 7006691891, 7005473334, 7003962934, 6602176567, 56841119800, 7003287098, 7006931003, 35446128700, 8703984700, 35418600000, 35351391300, 15135621700, 7003669072, 7202318417, 35380220500, 6506585188, 10043191400, 7004286059, 6701823086, 7006224498, 15926160500, 7005539448, 7202347641, 57195254907, 56284453500, 7102229127, 57202519178, 6508277910, 35273742500, 7004201650, 6602465971, 6602743474, 6701612213, 7004345016, 6506552509, 6701705920, 7202453700, 55665186500, 7006660813, 7007072461, 56998459100, 7004345054, 55400421600, 7006708451, 7101734115, 7103086309, 14120284900, 36037246700, 36042840300, 35378012400, 7005293297, 35354080500, 7004828916, 16023891700, 55239601400, 7101682939, 7004217088, 7006776577, 18535933700, 36048731400, 8232027400, 7003734797, 7402165524, 56357082900, 57195375383, 35374213400, 7003921176, 7003381018, 56424163100, 36076881700, 35374891300, 55138342700, 25824883500, 57189595440, 22954837300, 7003411255, 7005419833, 35375662400, 7102087489, 7004953409, 7006388546, 6603292486, 7006594888, 35235378000, 7103218006, 7003353432, 56830266200, 7402785120, 55147513700, 21634758500, 8739667300, 7006771047, 6701522277, 57203177830, 35435449700, 6603626351, 24339525500, 7005443464, 7004697483, 55800239500, 7202626958, 24553920400, 7801419664, 56662814100, 35068219800, 57201969573, 36039269800, 56393151400, 7005144490, 6602988969, 57202570156, 7006539182, 36043809200, 6603009457, 57201742256, 6602165684, 6603813300, 56687068600, 7102677436, 6701792190, 7402061249, 15062786500, 9938997700, 7004450759, 7102574024, 37121709000, 7003719630, 35369845200, 55630773200, 55800249300, 16189126100, 57203072469, 36012823000, 7004529626, 56813518300, 7004714461, 32867884000, 7005836769, 24167365600, 56521788900, 6701449700, 7007138278, 35402433000, 7004594671, 7005997553, 7006208502, 16067025400, 7005828089]","Netherlands",142433
35354080500,"[56523541000, 7005198349, 7004678671, 26648246800, 56769142800, 24329223700, 7102956565, 56920724500, 35231615000, 7102760992, 7005423657, 7006392362, 7006691891, 7103265845, 7003962934, 34768019000, 7003287098, 35446128700, 36043939900, 7005938237, 56962728000, 35351391300, 57189230664, 7005110344, 36977601100, 7003669072, 7006710354, 7102452820, 7405888600, 7004859481, 7005080154, 13310293600, 7202300001, 57202519139, 6506585188, 7006237290, 36993915500, 6701823086, 7005647985, 7006224498, 6603836017, 15926160500, 13410580600, 7202347641, 7101849722, 57195254907, 26643595900, 6603377285, 55884875400, 6508277910, 26643338400, 57202712224, 36041345700, 7006634151, 16310563500, 6701612213, 6506552509, 6701705920, 7401651927, 7007043802, 7004345054, 7102093023, 55400421600, 8582488800, 7006708451, 36485084900, 6603403494, 7006649063, 36037246700, 7102662382, 35378012400, 35379599600, 35354080500, 7004828916, 7403674871, 57200630008, 55239601400, 7006194937, 47061915900, 55689388800, 24756281600, 7004217088, 18535933700, 36048731400, 8232027400, 7202580243, 7202182932, 56424163100, 7005614368, 34571085600, 56500020000, 55138342700, 7004926261, 7102334774, 35375662400, 7004391239, 7006594888, 57202564940, 35235378000, 7005545809, 7201835346, 7005469522, 7003353432, 35355373400, 56830266200, 8739667300, 6701522277, 7006771047, 7004120938, 56705691500, 24339525500, 57194504574, 7003988354, 57198811524, 7006211976, 7005443464, 7004697483, 55800239500, 7202626958, 7801419664, 20434253200, 7102828944, 7006543768, 7005886887, 36039269800, 57202570156, 7006539182, 56678958000, 56687068600, 56425839100, 7404059581, 57203271614, 36626161600, 7402061249, 9938997700, 6701354952, 7601570762, 55248074700, 7003719630, 35369845200, 55800249300, 36012823000, 55531171800, 7004714461, 24167365600, 56521788900, 35418876900, 7007138278, 7006642150, 35402433000, 55770838500, 57202570731, 7406077936, 7005997553, 35233306100, 7004860406, 6603919352, 24576354300, 7007170557, 7004134399]","United Kingdom",142001
36012823000,"[7006315020, 26648246800, 24329223700, 56920724500, 35402456600, 7403404824, 35231615000, 7102760992, 6701610017, 35372209700, 22952881700, 16067125800, 7005423657, 7402105900, 7003630125, 16679537200, 6602394675, 7003962934, 6602176567, 7003287098, 7005479483, 56188131900, 7003339839, 35378587200, 35351391300, 7007046218, 55646081100, 7003669072, 7006710354, 6701347410, 36062383700, 56341922400, 7410311266, 7005907043, 6602404452, 7004286059, 55706414700, 6701823086, 7403898480, 7005647985, 7006224498, 15926160500, 6602935932, 56284453500, 7004232837, 7102229127, 7202734730, 57203072655, 8546476700, 7402406044, 6506948253, 26643338400, 35273742500, 7003926695, 7004400303, 35377294000, 6701612213, 6506552509, 7101842109, 6701705920, 7005824706, 24175240900, 7004280517, 8970893000, 7007104204, 7004175068, 7004345054, 55400421600, 7006708451, 7005172964, 7103086309, 7403404521, 6701433067, 36037246700, 35378012400, 35379599600, 7401490675, 7004828916, 56489197300, 55239601400, 7101682939, 7004217088, 7006776577, 7402785538, 6603627266, 18535933700, 57191165187, 7005459718, 57201973508, 36048731400, 57202558736, 7402165524, 56424163100, 57200401692, 55313268000, 55122317600, 6602589990, 7202994473, 55138342700, 7403082031, 56965303600, 7005345587, 7003411255, 7202415416, 36078643000, 35375662400, 7102087489, 35393454400, 7004953409, 24318493000, 35235378000, 7005943124, 10339684700, 26643471200, 57191950176, 21634758500, 15052409700, 7006771047, 7005609835, 7004228974, 6602395515, 7401667966, 56253552000, 7003599236, 55031224200, 55338808200, 7005443464, 7004697483, 7202626958, 7402712462, 6508158868, 57203334037, 7102853527, 35373396900, 36039269800, 6602988969, 7005798316, 57202570156, 6603009457, 55356146100, 56687068600, 7402061249, 9938997700, 7005376453, 7003719630, 7005813711, 55574146000, 35369845200, 55801768400, 36012823000, 56676464600, 56813518300, 7004714461, 7202209244, 57202315232, 56521788900, 35371440100, 7007138278, 35402433000, 7005997553]","Finland",141773
36080215500,"[17136524800, 7402529792, 7006366725, 7202889221, 14037413900, 6507199519, 6602501665, 7404597283, 7004940836, 8942129700, 7006466092, 35722647600, 24466698800, 36022338100, 7202904117, 8452639800, 57190977085, 7102375486, 7403135552, 23995713600, 22954126400, 57196955203, 7405772355, 6603693131, 14124097100, 57203176016, 16169805400, 12345357400, 6506379866, 36783783000, 7004572764, 7006674531, 35848524900, 7006914663, 22955383400, 6507903080, 7003926640, 7202571892, 7101880438, 7102178423, 37761031800, 7404362358, 55866315900, 7006879363, 7202142345, 35400736400, 55760151700, 34571632800, 7003996321, 7401893026, 6602927779, 36051252900, 50961268900, 35406239400, 7007072426, 55732148400, 57201454257, 35106770100, 26642159800, 16303496900, 7006246597, 55613233349, 7102799047, 7004453576, 8301636300, 8984550100, 56488742100, 6603266263, 35482832600, 24338679000, 24068820700, 35476748000, 55241104100, 7201501414, 26643348200, 38962379500, 6602268913, 7004558072, 17833640700, 15043112700, 6508225279, 21742214400, 7006483714, 6701712645, 7202374409, 35401529100, 6602537740, 7006869778, 6603657495, 7006713116, 24536662300, 9739601700, 23099601700, 35373001000, 25031569200, 8501341500, 26639790400, 8718395200, 7005571906, 54384946500, 35377104200, 9746516300, 7004946765, 7402585423, 7402491215, 6507316054, 55027467100, 6701559644, 7005729118, 35399763300, 7202767717, 6507118437, 55455767400, 6602390376, 7003598700, 56343084400, 7402794359, 7003880315, 7007085436, 7004536701, 35450411900, 6602989440, 6602104707, 26421453700, 6603702151, 57198205831, 7102667150, 7005938062, 15721498000, 7403935120, 7005884819, 22941627800, 7006433689, 57188566938, 55377122200, 7003479971, 36131502500, 6701691307, 55029686700, 6603846061, 6602786222, 26767602100, 22979049400, 7004489148, 22633799100, 57193233854, 7005869503, 6701554631, 7003274699, 36080215500, 54885292500, 7005641179, 7006320091, 35316314600, 35422801900, 35448982000, 57194038258, 6603954675, 35556954100, 7102183421]","United Kingdom",140855
56466188600,"[57202594826, 36941085200, 56381985300, 14526292500, 57202027541, 57202563609, 6701580827, 6603123230, 55851940383, 7005567008, 6602731040, 35415422500, 57202560550, 35559388200, 35613148200, 57193065514, 8555279400, 7004427308, 55906494000, 7401455668, 7102568501, 57190082100, 57202558005, 7403948600, 57001239100, 55763795006, 16030619200, 7004039238, 11240321100, 57202554956, 7006683726, 57202094676, 57202557525, 7102675032, 7005226584, 57191591002, 26029163100, 57203894878, 56155004000, 57195918947, 8549393000, 24365793900, 57203859053, 7003824239, 7101875313, 35377339000, 57200587387, 55662488700, 8566800000, 7004830338, 57196315778, 7006262917, 16159998600, 57203777672, 7004813962, 7006098570, 57195049611, 57189254280, 8309390500, 34569951400, 7005307565, 7006806702, 56353204400, 57202570421, 12775885500, 57202808514, 8708335300, 56745638600, 54413849800, 12788526800, 6602811088, 6602529493, 12766122200, 57202032866, 6507109611, 57203935468, 57201800433, 57196028147, 57191594229, 57202555126, 57192523512, 7003501304, 6603681532, 56135699200, 57202564359, 57190083848, 57193912587, 7005059350, 8964933400, 7007017243, 36503428900, 14025305900, 8948057900, 8708334900, 7005433652, 56466188600, 55116820800, 36248136000, 7004610370, 35355625800, 37117200200, 57196965200, 55247644500, 57200115541, 57189839706, 56262948700, 7003628893, 35769124700, 7004040033, 57198904674, 6602512227, 57200867681, 6603145572, 57200690024, 7004558696, 57202570623, 57203080577, 57202553734, 57202824584, 6603694984, 6701365642, 7003782545, 56804702100, 7102816661, 57201490837, 11140036500, 57195602851, 57200084900, 12770281900, 7006079405, 8705044400, 57201492915, 7005119423, 35420376000, 7005197760, 56481931200, 6602912703, 57202568648, 7004576721, 6603063763, 6602974165, 57194696150, 55654192600, 57195139544, 57202553827, 57195048934, 57202220009, 57190521834, 6602766313, 7003628012, 35298654700, 6507646446, 57203519467, 6602959345, 6602673138, 35617421300, 6602565620, 57194083830, 6701770742, 6506968572]","Italy",106737
55854740500,"[7005639170, 7203023363, 6603730948, 55854740500, 11940564500, 56212056600, 9741046300, 7202577948, 7005877289, 7006466092, 7202904117, 7003695158, 7202052668, 7402507837, 24481665600, 7004140099, 6603523140, 7004243524, 36679071300, 54385251400, 7403530827, 9037095500, 6701856846, 35413253200, 7004609106, 57203218517, 6701759577, 7006743137, 37025945700, 7005066853, 7202809447, 13806596200, 56346909800, 26640200300, 16069644400, 15065130100, 8776349300, 45161659000, 7402265724, 37070501500, 57200268929, 6602566280, 57200754314, 6603570826, 11439827600, 16639584400, 7406079634, 8524298900, 36042037400, 56865525400, 6604062873, 7006495387, 7003503772, 55909343900, 16300848800, 7103040673, 24348528300, 35728820400, 7102041780, 7402134709, 26643068600, 56238563000, 7004572860, 7102400703, 7004527808, 12798596800, 7005018303, 7102706884, 6701862084, 6602600147, 8984550100, 6602872534, 6603935963, 14030625500, 7202220266, 7004189931, 35405771500, 55195702000, 54392438000, 7402638581, 7007103224, 56245967100, 56009858300, 7004839680, 57197122818, 55583460100, 23766871300, 24177175300, 37109462800, 35413505300, 24474113300, 26023288600, 36678767900, 16741658400, 7006398244, 50161540900, 7103331624, 7401621801, 36930940200, 6602505516, 6602893102, 8516062000, 7006041395, 8501341500, 7005502782, 6701444418, 24176438600, 7004124496, 7202325844, 14830223700, 57194006358, 8640583000, 7201653595, 14524043100, 24723599200, 55908277600, 36574099300, 8583306600, 7004540275, 57203201911, 35451935100, 7402934658, 6701613447, 15721498000, 7004553105, 7004033941, 7202725784, 34570888600, 7101896604, 54421188000, 7003479971, 16302062500, 7005104549, 23480315300, 8449219500, 6602979252, 7003766203, 14324529600, 34869208000, 15123403200, 26021246400, 7404041158, 23972192200, 15823118800, 55619304406, 6601955799, 56009674200, 6602308570, 6603617242, 10638772700, 23481012700, 7202899431, 24450177000, 24066573800, 7003876844, 22836651500, 21742835700, 23019827700, 7103329271, 23493009400]","United Kingdom",106165
56210513900,"[35406173700, 8509226500, 7006868487, 7005194760, 7103182857, 36048831500, 36887226900, 55943982100, 7006834709, 36437536800, 8280224300, 35361563700, 7003287098, 7402772034, 55553733188, 35519668300, 14045338700, 57203050579, 14020386900, 57203374678, 7102304343, 56477875800, 7005578846, 35371857000, 57201562217, 57200747628, 7404092528, 57197012083, 56985194100, 7006043255, 6602671741, 57201305725, 7102381695, 35371216000, 35379996800, 55831380100, 35351525000, 16402494600, 35203173000, 57203103373, 35372614800, 7005352603, 7102815909, 57194555559, 7006338728, 9243581100, 7402056882, 57200994996, 35355123900, 7006249660, 7005566654, 35393105600, 56883384000, 56230728900, 7003751621, 7403541196, 7005841613, 57202554064, 36046783700, 24741153500, 7401472221, 36744609500, 35380197600, 57200436456, 7201790697, 7005917418, 57195450094, 7005234927, 57200156914, 6602660595, 35351200500, 7101751541, 24485728500, 57193297655, 55239601400, 57202558719, 7005558535, 55246366200, 7103287561, 57202553615, 7101772051, 57172024600, 7003885337, 36044041500, 7007024415, 56307751200, 57193559329, 35228962600, 35372403500, 55725465400, 57201663802, 57202558782, 7401534782, 57200742211, 7401836359, 7005399886, 7003618645, 26643309400, 7005575001, 7006442842, 7005637468, 7005520221, 23988930400, 35355842400, 56863042400, 57203082080, 57193752931, 7003363686, 7103147367, 7005900136, 6603241832, 25958636400, 7201384816, 57194507126, 57199399287, 25928274300, 15123039100, 7005139839, 35355376000, 57192408447, 26643307400, 7202960784, 57193645972, 7101746068, 7007011223, 13308155800, 10140706200, 55212159900, 7006796705, 7006533543, 7006092712, 25122806700, 7006092717, 7103091119, 7003642804, 16028171700, 7102400443, 23492858300, 7101793222, 55630773200, 6701852117, 6701853655, 55531171800, 55629821400, 57196045273, 26644234200, 8065204700, 12240193500, 35176436700, 7005957089, 7201444328, 55119553000, 56210513900, 7006308333, 6507077616, 7006905332, 35350605300, 35378880500, 35557252600, 7101805049]","United Kingdom",103279
36041345700,"[7006584328, 7103383561, 6701404689, 8546478100, 8501383700, 35918040600, 35231615000, 16941515800, 55851940383, 16746161700, 35613148200, 35354537000, 55619306030, 57193482287, 7003808306, 57199089204, 7403948600, 55763795006, 7005125183, 35351391300, 7005110344, 7102461515, 35372429900, 7102243403, 7003742800, 7102452820, 22998230100, 7103007834, 26029163100, 7202729055, 7003509345, 57195918947, 7202292837, 8549393000, 6602489961, 24365793900, 37120891500, 57203859053, 7005391472, 7101875313, 7006224498, 55973981300, 34570960500, 55190800500, 7003462266, 57201453691, 57203103358, 26643416200, 57189254280, 7004813962, 57195049611, 7101849746, 11939791000, 57197724313, 7101980830, 36041345700, 26643483300, 6602145456, 7006445748, 57202570421, 57203083453, 35381325000, 56745638600, 57200769233, 7102723796, 57202032866, 35195702500, 7006649063, 26768161000, 35354080500, 7004828916, 57192523512, 6603681532, 18535933700, 36048731400, 55078005000, 57193912587, 7005059350, 7006658328, 7007017243, 7003509019, 35378176800, 39061236000, 35374891300, 36503428900, 7005178155, 14025305900, 8948057900, 35788288300, 56134366000, 7103142193, 8329745200, 6701502772, 6603896632, 7004980542, 36248136000, 37117200200, 7102091083, 16222228300, 57202558797, 7006342478, 7402658638, 12767742800, 7202354001, 57200115541, 7003628893, 7402132317, 24348008800, 57198904674, 7102850916, 7006771047, 7102759272, 57200690024, 7202114407, 56705691500, 15850024300, 7006774139, 7004135804, 7102882171, 6701913980, 55320858500, 7005713798, 57202824584, 7801419664, 34568986000, 7004026769, 7202242451, 7006450580, 7102816661, 12041796500, 57201490837, 7003721620, 35228654500, 7005838760, 7006079405, 14014266800, 7103089586, 57198977463, 7007091128, 6701865402, 36940269500, 7005911998, 7005197760, 35391102400, 7102778825, 7201779154, 7102117843, 7102794196, 14054986200, 55654192600, 57195139544, 57200891874, 7006293475, 57203519467, 7003628012, 35298654700, 35374281200, 35617421300, 7402674679, 7103337983]","United Kingdom",98638
