Id,Name,Country,City,University,Citations
7004149934,Kneringer Emmerich,Austria,Innsbruck,Medizinische Universitat Innsbruck,42780
6603100646,Aletaha Daniel,Austria,Vienna,Medizinische Universitat Wien,15981
7103202523,Smolen Josef Sebastian,Austria,Vienna,Medizinische Universitat Wien,62126
23992788200,Schoels Monika M.,Austria,Vienna,Hietzing Hospital,3961
55379227700,Smolen Josef S.,Austria,Vienna,Medizinische Universitat Wien,2149
36945595500,König Adriaan C.,Austria,Vienna,Institut fur Hochenergiephysik,40008
7004149934,Kneringer Emmerich,Austria,Innsbruck,Medizinische Universitat Innsbruck,42780
6506848768,Zwerina Jochen,Austria,Vienna Vienna,Hanusch-Krankenhaus,6684
6507897643,Kapral Theresa,Austria,Vienna,Medizinische Universitat Wien,165
6602386887,Bobacz Klaus,Austria,Vienna,Medizinische Universitat Wien,82
6602408565,Tohidast-Akrad Makiyeh,Austria,Vienna,Ludwig Boltzmann Cluster for Rheumatology,65
6602448657,Hayer Silvia,Austria,Vienna,Medizinische Universitat Wien,655
6602847532,Petera Peter,Austria,Vienna,Krankenhaus Lainz,265
6603100646,Aletaha Daniel,Austria,Vienna,Medizinische Universitat Wien,15981
6603455601,Stummvoll Georg H.,Austria,Vienna,Medizinische Universitat Wien,382
6603636151,Scheinecker Clemens,Austria,Vienna,Medizinische Universitat Wien,1977
6603858396,Nell Valerie P K,Austria,Vienna Vienna,Medizinische Universitat Wien,346
6603923979,Machold Klaus Peter,Austria,Vienna,Medizinische Universitat Wien,1834
6701442265,Erlacher Ludwig,Austria,Vienna,Karl Landsteiner Institute for Autoimmune Diseases and Rheumatology,109
6701813524,Kiener Hans Peter,Austria,Vienna,Medizinische Universitat Wien,505
7003616782,Eberl Gabriele J.M.,Austria,Vienna,Klinikum Malcherhof Baden,39
7003726444,Fialka-Moser Veronika,Austria,Vienna,Medizinische Universitat Wien,735
7003962135,Grisar Johannes C.,Austria,Vienna,Krankenhaus Barmherzige Schwestern (St. Vincent Hospital),323
7004321698,Stamm Tanja Alexandra,Austria,Vienna,Medizinische Universitat Wien,2511
7005153745,Redlich Kurt,Austria,Vienna,Medizinische Universitat Wien,1834
7005492041,Scherak Othmar,Austria,Baden,Special Hospital SVA Bauern,16
7006829855,Pietschmann Peter,Austria,Vienna,Medizinische Universitat Wien,1276
7101655285,Menzel Ernst Johannes,Austria,Vienna,"Medizinische Universitat Wien, Instituts fur Immunologie",23
7102257760,Steiner Carl Walter,Austria,Vienna,Medizinische Universitat Wien,740
7103156858,Köller Marcus D.,Austria,Vienna,Medizinische Universitat Wien,79
7201592438,Steiner Guenter,Austria,Vienna,Medizinische Universitat Wien,1512
11839471000,Amoyo Love,Austria,Vienna,Medizinische Universitat Wien,114
16304649800,Pflugbeil Stephan,Austria,Vienna,Hietzing Hospital,266
16417357800,Karonitsch Thomas,Austria,Vienna,Medizinische Universitat Wien,665
17136052900,Sunk Ilse Gerlinde,Austria,Vienna,Medizinische Universitat Wien,144
22834593200,Funovits Julia,Austria,Vienna,Medizinische Universitat Wien,5100
23992788200,Schoels Monika M.,Austria,Vienna,Hietzing Hospital,3961
26422414000,Niederreiter Birgit,Austria,Vienna,Medizinische Universitat Wien,742
35240669400,Mayr Wolfgang Richard,Austria,Vienna,Austrian Red Cross,3952
35513455400,Soleiman Afschin,Austria,Innsbruck,Medizinische Universitat Innsbruck,440
35746844400,Radner Helga,Austria,Vienna,Medizinische Universitat Wien,1172
36011565200,Blüml Stephan,Austria,Vienna,Medizinische Universitat Wien,1708
53881036300,Alasti Farideh,Austria,Vienna,Medizinische Universitat Wien,217
55570957800,Stoffer Michaela Alexandra,Austria,Vienna,Medizinische Universitat Wien,518
55827314800,Graninger Winfried B.,Austria,Graz,Medizinische Universitat Graz,1589
56264171000,Kainberger Franz M.,Austria,Vienna,Medizinische Universitat Wien,1752
