Id,Name,Country,City,University,Citations
6701757270,De Vlam Kurt L.,Belgium,3000 Leuven,KU Leuven– University Hospital Leuven,2413
7004196859,De Klerk Erik,Belgium,Leuven,Biostatistical Centre,0
7005186682,Mielants Herman,Belgium,Ghent,Universiteit Gent,3307
7006104930,Van Den Bosch Filip E.,Belgium,Ghent,Universiteit Gent,3421
7003365652,Haustermans Karin M.G.,Belgium,3000 Leuven,KU Leuven– University Hospital Leuven,7586
7005298245,Paridaens Robert J.,Belgium,3000 Leuven,KU Leuven,5602
7005397716,Dirix Luc Yves,Belgium,Antwerpen,Universiteit Antwerpen,7000
7005959932,Van Cutsem Éric J.D.G.,Belgium,3000 Leuven,KU Leuven– University Hospital Leuven,59138
7102982311,Piccart Martine J.,Belgium,Brussels,Institut Jules Bordet,20848
7005187655,Houssiau Frederick A.,Belgium,Brussels,"Cliniques Universitaires Saint-Luc, Brussels",3366
6701310747,Lambrechts Diether,Belgium,3000 Leuven,KU Leuven,9811
35227155800,De Lentdecker Gilles,Belgium,Brussels,Université libre de Bruxelles (ULB),41694
35228112900,Van Remortel Nick,Belgium,Antwerpen,Universiteit Antwerpen,46742
7007131716,Van Doninck Walter K.,Belgium,Elsene,Vrije Universiteit Brussel,42592
8791944600,Vander-Velde C.,Belgium,Brussels,Université libre de Bruxelles (ULB),36995
35227095300,Clerbaux Barbara,Belgium,Brussels,Université libre de Bruxelles (ULB),45428
35228112900,Van Remortel Nick,Belgium,Antwerpen,Universiteit Antwerpen,46742
35227155800,De Lentdecker Gilles,Belgium,Brussels,Université libre de Bruxelles (ULB),41694
35228112900,Van Remortel Nick,Belgium,Antwerpen,Universiteit Antwerpen,46742
7004225833,Vanhees Luc,Belgium,3000 Leuven,KU Leuven,3344
7004984289,Heidbüchel Hein P.,Belgium,Diepenbeek,Universiteit Hasselt,11812
55031224200,Fagard Robert H.,Belgium,3000 Leuven,KU Leuven,10145
56580593700,Brugada Pedro,Belgium,Brussels,Universitair Ziekenhuis Brussel,4072
6506960696,Belmans Ann,Belgium,3000 Leuven,KU Leuven,862
6508100975,Gillijns Hilde,Belgium,3000 Leuven,KU Leuven,469
6602430081,Sinnaeve Peter R.,Belgium,3000 Leuven 3000 Leuven,KU Leuven– University Hospital Leuven,3104
6603404035,Droogné Walter,Belgium,3000 Leuven,KU Leuven– University Hospital Leuven,280
6603806492,DENEF Boudewijn R.,Belgium,3000 Leuven,KU Leuven– University Hospital Leuven,0
6701426477,Dymarkowski Steven,Belgium,3000 Leuven,KU Leuven– University Hospital Leuven,2906
6701596663,Bogaerts Kris,Belgium,Leuven,Leuven Biostatistics and Statistical Bioinformatics Centre,926
7003362883,Rademakers Frank E.M.,Belgium,3000 Leuven,KU Leuven– University Hospital Leuven,1538
7003500481,De Meester Antoine,Belgium,La Louviere,Centres Hospitaliers Jolimont,32
7003570156,Budts Werner I.H.L.,Belgium,3000 Leuven 3000 Leuven,KU Leuven– University Hospital Leuven,2390
7004308496,Nuyts Johan L.,Belgium,3000 Leuven,KU Leuven– University Hospital Leuven,2495
