Country,Source,Target,Year,Weight,Keywords
Italy,35227146300,35228119200,2007,1,['']
Italy,35227146300,35228119200,2008,2,"['Avalanche mode', 'Bakelite resistivity', 'Closed loop gas circulation', 'CMS', 'Gas purification', 'Resistive Plate Chamber', 'Streamer mode', '']"
Italy,35227146300,35228119200,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
Italy,35228119200,35227951800,2007,1,['']
Italy,35228119200,35227951800,2008,1,"['Avalanche mode', 'Bakelite resistivity', 'Closed loop gas circulation', 'CMS', 'Gas purification', 'Resistive Plate Chamber', 'Streamer mode']"
Italy,35228119200,35227951800,2009,2,"['CMS', 'Resistive plate chamber', 'RPC efficiency', 'RPC noise', 'CMS', 'Detector', 'Muon system', 'RPC', 'Trigger']"
Italy,35228119200,35227951800,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
Italy,35228119200,37036023500,2007,1,['']
Italy,35228119200,37036023500,2008,2,"['Avalanche mode', 'Bakelite resistivity', 'Closed loop gas circulation', 'CMS', 'Gas purification', 'Resistive Plate Chamber', 'Streamer mode', '']"
Italy,35228119200,37036023500,2009,3,"['CMS', 'Resistive plate chamber', 'RPC efficiency', 'RPC noise', 'CMS', 'Detector', 'Muon system', 'RPC', 'Trigger', 'CMS', 'MTCC', 'Resistive Plate Chamber', 'RPC']"
Italy,35228119200,37036023500,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
Italy,35228119200,37036023500,2012,1,"['Gaseous detectors', 'Muon spectrometers']"
Italy,35228119200,37036023500,2013,2,"['Gaseous detectors', 'Muon spectrometers', 'Resistive-plate chambers', '']"
Italy,35228119200,35227037600,2007,1,['']
Italy,35228119200,35227037600,2008,1,"['Avalanche mode', 'Bakelite resistivity', 'Closed loop gas circulation', 'CMS', 'Gas purification', 'Resistive Plate Chamber', 'Streamer mode']"
Italy,35228119200,35227037600,2009,2,"['CMS', 'Resistive plate chamber', 'RPC efficiency', 'RPC noise', 'CMS', 'Detector', 'Muon system', 'RPC', 'Trigger']"
Italy,35228119200,35227037600,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
Italy,35285610600,35240572900,2003,1,['']
Italy,35285610600,35240572900,2004,2,"['', '']"
Italy,35285610600,35240572900,2005,1,['']
Italy,35285610600,35240572900,2006,3,"['', '', '']"
Italy,35285610600,35240572900,2007,6,"['', '', '', '', '', '']"
Italy,35285610600,35240572900,2008,2,"['', '']"
Italy,35285610600,35240572900,2009,3,"['', '', '']"
Italy,35285610600,35240572900,2010,1,['']
Italy,35285610600,35240572900,2011,1,"['δS=1 weak NC decay', 'Lepton number violation', 'Rare kaon decay']"
Italy,35285610600,35240572900,2012,1,['']
Italy,35285610600,35240572900,2013,2,"['', '']"
