Source,Target,Year,Weight,Keywords
6508136785,12758684000,1997,1,"['APD', 'CMS', 'Crystal', 'ECAL', 'Electromagnetic calorimeter', 'Energy resolution', 'Lead tungstate']"
6508136785,12758684000,1998,1,['']
6508136785,12758684000,2007,1,['']
6508136785,12758684000,2013,1,"['Cherenkov telescopes', 'Data Quality Check', 'Gamma-ray astronomy', 'Icrc2013']"
6508136785,6602116545,2006,1,['']
8421508800,8232027400,2007,5,"['Croatia', 'Depression', 'EPQ', 'Extraversion', 'Genetics', 'GHQ', 'Heritability', 'Neuroticism', 'Personality', '', 'Croatia', 'Education, medical, undergraduate', 'Specialties, medical - trends', 'Students, medical - psychology', '', '']"
8421508800,8232027400,2008,1,"['C-Reactive Protein (CRP)', 'Cardiovascular risk', 'Croatia', 'D-Dimer (DD)', 'Fibrinogen', 'Hemostasis', 'Heterosis', 'Inbreeding', 'Individual genome-wide heterozygosity', 'Inflammation', 'Isolation', 'Multilocus heterozygosity', 'Tissue Plasminogen Activator (TPA)', 'Von Willebrand Factor (VWF)']"
8421508800,8232027400,2009,6,"['', '', 'Croatia', 'Employment', 'Health', 'Hypertension', 'Migration', 'Obesity', 'Overweight', 'Waist circumference', '', 'Ageing', 'Centenarian', 'Croatia', 'Demography', 'Longevity', 'Nonagenarian', 'Prevalence', '']"
8421508800,8232027400,2010,6,"['', '', '', '', '', '']"
8421508800,8232027400,2011,1,['']
8421508800,8232027400,2012,4,"['', 'arterial stiffness', 'Arteriograph', 'augmentation index', 'central SBP', 'general population', 'SphygmoCor', '', '']"
8421508800,8232027400,2013,1,['']
8421508800,8232027400,2014,1,['']
8421508800,8232027400,2015,2,"['Croatia', 'Health', 'Risk factor', 'Socioeconomic factors', '']"
8421508800,8232027400,2016,3,"['', '', '']"
8421508800,8232027400,2017,1,"['Case–control association analysis', 'free thyroxine', 'genetic variants', ""Hashimoto's thyroiditis"", 'MBIP', 'NR3C2', 'thyroid-stimulating hormone']"
8421508800,8232027400,2018,2,"['', 'Autoimmune thyroid disease', 'Autoimmunity', 'Genetics', 'GWAS', 'Hashimoto’s thyroiditis', 'Hypothyroidism']"
6508136785,12758684000,1997,1,"['APD', 'CMS', 'Crystal', 'ECAL', 'Electromagnetic calorimeter', 'Energy resolution', 'Lead tungstate']"
6508136785,12758684000,1998,1,['']
6508136785,12758684000,2007,1,['']
6508136785,12758684000,2013,1,"['Cherenkov telescopes', 'Data Quality Check', 'Gamma-ray astronomy', 'Icrc2013']"
