Country,Source,Target,Year,Weight,Keywords
Netherlands,24329223700,8232027400,2014,1,['']
Netherlands,24329223700,8232027400,2015,1,"['Alzheimer disease', 'Dementia', 'Epidemiology', 'Genetics', 'Population-based', 'Verbal declarative memory']"
Netherlands,24329223700,8232027400,2016,2,"['', 'gene-environment interaction', 'low-frequency variants', 'meta-analysis']"
Netherlands,35231615000,8232027400,2009,1,['']
Netherlands,35231615000,8232027400,2012,2,"['', '']"
Netherlands,35231615000,8232027400,2013,1,"['Bioinformatics', 'Genome-wide association', 'Genotype-phenotype prioritization', 'Metabolite', 'Pathway databases']"
Netherlands,35231615000,8232027400,2014,1,['']
Netherlands,7102229127,8232027400,2009,2,"['', '']"
Netherlands,7102229127,8232027400,2010,2,"['', '']"
Netherlands,7102229127,8232027400,2012,2,"['indels', 'next-generation DNA sequencing', 'pooling', 'SNP', 'SOLiD', '']"
Netherlands,7102229127,8232027400,2013,1,"['Bioinformatics', 'Genome-wide association', 'Genotype-phenotype prioritization', 'Metabolite', 'Pathway databases']"
Netherlands,7102229127,8232027400,2014,1,['']
Netherlands,7102229127,8232027400,2015,1,"['Alzheimer disease', 'Dementia', 'Epidemiology', 'Genetics', 'Population-based', 'Verbal declarative memory']"
Netherlands,36037246700,8232027400,2009,2,"['', '']"
Netherlands,36037246700,8232027400,2010,3,"['', '', 'genome-wide genotyping', 'population structure', 'principal components']"
Netherlands,36037246700,8232027400,2012,2,"['indels', 'next-generation DNA sequencing', 'pooling', 'SNP', 'SOLiD', '']"
Netherlands,36037246700,8232027400,2013,1,"['Bioinformatics', 'Genome-wide association', 'Genotype-phenotype prioritization', 'Metabolite', 'Pathway databases']"
Netherlands,36037246700,8232027400,2014,1,['']
Netherlands,36037246700,8232027400,2016,1,"['gene-environment interaction', 'low-frequency variants', 'meta-analysis']"
Netherlands,36048731400,8232027400,2009,1,['']
Netherlands,36048731400,8232027400,2012,2,"['', '']"
