Id,Name,Country,City,University,Citations
8232027400,Polašek Ozren,Croatia,Zagreb Split Zagreb,Gen-info Ltd.,2149
35277866900,Brigljević Vuko,Croatia,Zagreb,Institute Ruder Boskovic,42491
6508136785,Godinović Nikola,Croatia,Split,University of Split,37416
6602116545,Antunović Željko,Croatia,Split,University of Split,34691
12758684000,Puljak Ivica,Croatia,Rijeka,Rijeka University,38011
35277866900,Brigljević Vuko,Croatia,Zagreb,Institute Ruder Boskovic,42491
15037645500,Starodumov Andrey A.,Croatia,Zagreb,Institute Ruder Boskovic,34670
35277866900,Brigljević Vuko,Croatia,Zagreb,Institute Ruder Boskovic,42491
8232027400,Polašek Ozren,Croatia,Zagreb Split Zagreb,Gen-info Ltd.,2149
8421508800,Kolcic Ivana,Croatia,Split,University of Split,1549
12758684000,Puljak Ivica,Croatia,Rijeka,Rijeka University,38011
15037645500,Starodumov Andrey A.,Croatia,Zagreb,Institute Ruder Boskovic,34670
6508136785,Godinović Nikola,Croatia,Split,University of Split,37416
6602116545,Antunović Željko,Croatia,Split,University of Split,34691
12758684000,Puljak Ivica,Croatia,Rijeka,Rijeka University,38011
15037645500,Starodumov Andrey A.,Croatia,Zagreb,Institute Ruder Boskovic,34670
35277866900,Brigljević Vuko,Croatia,Zagreb,Institute Ruder Boskovic,42491
6508136785,Godinović Nikola,Croatia,Split,University of Split,37416
12758684000,Puljak Ivica,Croatia,Rijeka,Rijeka University,38011
35277866900,Brigljević Vuko,Croatia,Zagreb,Institute Ruder Boskovic,42491
15037645500,Starodumov Andrey A.,Croatia,Zagreb,Institute Ruder Boskovic,34670
8232027400,Polašek Ozren,Croatia,Zagreb Split Zagreb,Gen-info Ltd.,2149
8421508800,Kolcic Ivana,Croatia,Split,University of Split,1549
8232027400,Polašek Ozren,Croatia,Zagreb Split Zagreb,Gen-info Ltd.,2149
35277866900,Brigljević Vuko,Croatia,Zagreb,Institute Ruder Boskovic,42491
8232027400,Polašek Ozren,Croatia,Zagreb Split Zagreb,Gen-info Ltd.,2149
35277866900,Brigljević Vuko,Croatia,Zagreb,Institute Ruder Boskovic,42491
12758684000,Puljak Ivica,Croatia,Rijeka,Rijeka University,38011
15037645500,Starodumov Andrey A.,Croatia,Zagreb,Institute Ruder Boskovic,34670
35277866900,Brigljević Vuko,Croatia,Zagreb,Institute Ruder Boskovic,42491
6508136785,Godinović Nikola,Croatia,Split,University of Split,37416
6602116545,Antunović Željko,Croatia,Split,University of Split,34691
12758684000,Puljak Ivica,Croatia,Rijeka,Rijeka University,38011
35277866900,Brigljević Vuko,Croatia,Zagreb,Institute Ruder Boskovic,42491
6602357434,Omanovic D.,Croatia,Zagreb,Institute Ruder Boskovic,738
