Source,Target,Year,Weight,Keywords
55520690500,56265392500,2012,1,"['control of grid side converter', 'fault ride through operation', 'interconnected renewable energy systems', 'Phase locked-loop', 'power electronics', 'unbalanced grid faults']"
55520690500,56265392500,2013,5,"['Fault ride through (FRT) operation', 'grid-side converter (GSC)', 'interconnected renewable energy systems (RESs)', 'phase-locked loop (PLL)', 'unbalanced grid faults', 'Frequency rate of change', 'frequency response', 'load-frequency behavior', 'online identification', '', 'current controller', 'fault ride through control', 'grid side converter', 'harmonic distorion', 'multiple sychronous reference frames', 'renewable energy systems', 'unbalanced grid faults', 'distorted voltage', 'fault ride through operation', 'grid side converter', 'grid synchronization', 'interconnected renewable energy systems', 'phase-locked loop', 'unbalanced grid faults']"
55520690500,56265392500,2014,1,"['Commercial building', 'DC link', 'Electric vehicle charging', 'Electric vehicles', 'Loss minimization', 'Optimization', 'Photovoltaic generation', 'Smart charging', 'Smart meter']"
55520690500,56265392500,2015,2,"['Adaptive algorithms', 'dc ac power converters', 'fault ride through (FRT) operation', 'phase-locked loops (PLLs)', 'power system faults', 'renewable energy sources (RES)', 'enhanced PLL (EPLL)', 'inverse park transform PLL', 'multi-harmonic decoupling cell PLL', 'Phase locked loop (PLL)', 'second order generalized integrator PLL (SOGI-PLL)', 'synchronization', 'T/4 delay PLL']"
55520690500,56265392500,2016,3,"['grid tied inverter', 'harmonic distortion', 'phase locked loop', 'photovoltaics', 'synchonization', 'dynamic power system', 'fault ride through', 'power system protection and operation', 'renewable energy sources', 'current sensors', 'education', 'microcontroller', 'monitoring system', 'power system', 'voltage sensors']"
55520690500,56265392500,2017,1,"['current controller', 'grid connected converter', 'Harmonic compensation', 'SRF control']"
55520690500,56265392500,2018,5,"['', 'Electrical installation', 'Energy efficiency', 'Genetic algorithm', 'Multi-objective optimization', 'Controllable loads', 'Grid-connected mode', 'Hierarchical controller', 'Islanding operation', 'Microgrid', 'Peak-shaving', 'Photovoltaics', 'Distribution grid', 'Power system operation', 'Reactive power compensation', 'Residential photovoltaics', 'Voltage regulation', 'Battery storage', 'Mixed-integer linear programming (MILP)', 'Optimization', 'Photovoltaics', 'Scheduling algorithm']"
6603174890,57169980400,2007,1,"['Iron', 'NO reduction', 'TPSR C H 3 6', 'TPSR NO', 'Transient kinetics', 'TWC deactivation', 'XPS']"
6603396254,35495139000,2017,1,"['3D-Reconstruction', 'Magnetic Resonance Imaging', 'Multiple sclerosis disease']"
6603396254,6602642715,2017,1,"['3D-Reconstruction', 'Magnetic Resonance Imaging', 'Multiple sclerosis disease']"
6603396254,6603715948,2017,1,"['3D-Reconstruction', 'Magnetic Resonance Imaging', 'Multiple sclerosis disease']"
24072368800,6602642715,2014,1,['']
35495139000,6602642715,2017,1,"['3D-Reconstruction', 'Magnetic Resonance Imaging', 'Multiple sclerosis disease']"
35495139000,6506817851,2018,1,"[""Alzheimer's disease"", 'classification', 'entorhinal cortex', 'hippocampus', 'mild cognitive impairment', 'prediction']"
35495139000,6603715948,2017,1,"['3D-Reconstruction', 'Magnetic Resonance Imaging', 'Multiple sclerosis disease']"
6602642715,6603715948,2017,1,"['3D-Reconstruction', 'Magnetic Resonance Imaging', 'Multiple sclerosis disease']"
7004133189,35189101400,2009,1,"['Bragg grating', 'Femtosecond laser', 'Microstructure fibre', 'Sensing']"
7004133189,35189101400,2010,1,['']
7004133189,35189101400,2011,1,"['Fiber Bragg gratings', 'fiber optic dosimetry', 'ionizing radiation effects']"
7004133189,35189101400,2012,5,"['', 'Fiber Bragg gratings', 'fiber optic dosimetry', 'ionizing radiation effects', 'Diffraction grating', 'Femtosecond laser inscription', 'Fibre coupler', 'Fibre end devices', 'Fibre sensors', 'Fibre splitter', 'Fourier optics', 'Fiber Bragg gratings', 'Fiber optic dosimetry', 'Ionizing radiation effects', 'Femtosecond laser', 'Fibre Bragg gratings', 'Inscription', 'Laser-material interaction', 'Phase masks', 'Talbot effect']"
7004133189,35189101400,2013,2,"['Interfaces', 'Inverted organic solar cells', 'PEDOT:PSS buffer layers', 'Printed electronics', 'Processing additives', 'Solution based electronic materials', 'Fluid flow', 'Heat flux', 'Microfluidics', 'Microstructure optical fiber']"
7004133189,35189101400,2014,1,['']
7004133189,35189101400,2015,5,"['Bragg gratings', 'Optical fiber sensors', 'polymer optical fibers', 'Nanophotonics', 'Networks-on-Chips', 'Photonic Interconnects', 'Silicon-in-Silica', 'Bragg gratings', 'Optical fibre sensor', 'Polymer optical fibres', '', 'On-chip nanophotonics', 'Silicon-in-silica', 'Topology']"
7004133189,35189101400,2016,1,"['Femtosecond laser', 'fibre Bragg grating', 'multi-core fibre', 'waveguide inscription']"
7004133189,35189101400,2017,2,"['Adaptive routing algorithm', 'flow-control', 'nanophotonic network-on-chip (PNoC)', 'silicon-in-silica (SiS)', 'topology', 'fiber optics sensors', 'Fibre Bragg gratings', 'optical sensing and sensors', 'polymer waveguides']"
7004133189,34869499300,2010,1,['']
