Country,Source,Target,Year,Weight,Keywords
Australia,7003842049,57194780971,2012,1,['']
Australia,7003842049,57194780971,2013,2,"['', '']"
Australia,7003842049,57194780971,2014,1,['']
Australia,7003842049,57194780971,2015,1,['']
Australia,7003842049,57194780971,2016,7,"['Association study', 'Common variants', 'Ductal carcinoma in situ', 'Genetic predisposition', '', '', '', '', '', 'Association studies', 'Breast cancer', 'Cis-regulatory variants', 'Differential allelic expression', 'Genetic susceptibility']"
Australia,7003842049,57194780971,2017,2,"['Anthracycline', 'Breast cancer', 'SNP', 'Survival', 'TP53', 'breast cancer', 'Breast Cancer Association Consortium', 'gene–environment', 'interaction', 'single nucleotide polymorphism']"
Australia,7201924128,57194780971,2012,1,['']
Australia,7201924128,57194780971,2013,3,"['', '', '']"
Australia,7201924128,57194780971,2014,1,['']
Australia,7201924128,57194780971,2015,1,['']
Australia,7201924128,57194780971,2016,15,"['CYP19A1', 'Endometrial cancer', 'Estradiol', 'Association study', 'Common variants', 'Ductal carcinoma in situ', 'Genetic predisposition', '', '', 'Breast cancer', 'Epidemiology', 'Genetic susceptibility', 'GWAS', 'Type 2 diabetes', '', '8q24', 'breast cancer', 'fine-mapping', 'genetic susceptibility', 'single nucleotide polymorphism', 'BRAC1 mutation carriers', 'Breast cancer', 'CCDC91', 'Fine-scale mapping', 'Genetic risk factor', 'PTHLH', '', '', '', '', '', '', 'Association studies', 'Breast cancer', 'Cis-regulatory variants', 'Differential allelic expression', 'Genetic susceptibility']"
Australia,7201924128,57194780971,2017,3,"['Anthracycline', 'Breast cancer', 'SNP', 'Survival', 'TP53', 'breast cancer', 'Breast Cancer Association Consortium', 'gene–environment', 'interaction', 'single nucleotide polymorphism', 'Familial breast cancer', 'Linkage analysis', 'Risk haplotype', 'Sequencing']"
Australia,57193910834,57194780971,2013,1,['']
Australia,57193910834,57194780971,2015,1,['']
Australia,57193910834,57194780971,2016,1,['']
Australia,57193910834,57194780971,2017,3,"['BRD4', 'Breast cancer risk', 'Chromatin', 'Functional annotation', 'Genome-wide association studies', 'Prostate cancer risk', 'Risk loci', 'Schizophrenia', 'SNPs', 'Super-enhancer', 'breast cancer', 'Breast Cancer Association Consortium', 'gene–environment', 'interaction', 'single nucleotide polymorphism', 'Familial breast cancer', 'Linkage analysis', 'Risk haplotype', 'Sequencing']"
Australia,7005348926,57194780971,2011,1,['']
Australia,7005348926,57194780971,2013,2,"['', '']"
Australia,7005348926,57194780971,2016,3,"['', '', '']"
Australia,7005348926,57194780971,2015,1,['']
Australia,7005348926,57194780971,2014,1,['']
Australia,7005348926,57194780971,2017,2,"['Anthracycline', 'Breast cancer', 'SNP', 'Survival', 'TP53', 'BRD4', 'Breast cancer risk', 'Chromatin', 'Functional annotation', 'Genome-wide association studies', 'Prostate cancer risk', 'Risk loci', 'Schizophrenia', 'SNPs', 'Super-enhancer']"
Australia,57194780971,7103396821,2015,4,"['', '', '', 'Breast cancer', 'NF-κB pathway', 'SNP-SNP interaction', 'Survival analysis']"
Australia,57194780971,7103396821,2016,2,"['', '']"
Australia,57194780971,16021347300,2011,1,['']
Australia,57194780971,16021347300,2013,1,['']
Australia,57194780971,16021347300,2014,1,['']
Australia,57194780971,16021347300,2015,6,"['', '', '', '', '', '']"
Australia,57194780971,16021347300,2016,6,"['', '8q24', 'breast cancer', 'fine-mapping', 'genetic susceptibility', 'single nucleotide polymorphism', '', '', '', '']"
Australia,57194780971,16021347300,2017,3,"['Anthracycline', 'Breast cancer', 'SNP', 'Survival', 'TP53', '', '']"
Australia,7003842049,57194780971,2012,1,['']
Australia,7003842049,57194780971,2013,2,"['', '']"
Australia,7003842049,57194780971,2014,1,['']
Australia,7003842049,57194780971,2015,1,['']
Australia,7003842049,57194780971,2016,7,"['Association study', 'Common variants', 'Ductal carcinoma in situ', 'Genetic predisposition', '', '', '', '', '', 'Association studies', 'Breast cancer', 'Cis-regulatory variants', 'Differential allelic expression', 'Genetic susceptibility']"
Australia,7003842049,57194780971,2017,2,"['Anthracycline', 'Breast cancer', 'SNP', 'Survival', 'TP53', 'breast cancer', 'Breast Cancer Association Consortium', 'gene–environment', 'interaction', 'single nucleotide polymorphism']"
Australia,7201924128,57194780971,2012,1,['']
Australia,7201924128,57194780971,2013,3,"['', '', '']"
Australia,7201924128,57194780971,2014,1,['']
Australia,7201924128,57194780971,2015,1,['']
Australia,7201924128,57194780971,2016,15,"['CYP19A1', 'Endometrial cancer', 'Estradiol', 'Association study', 'Common variants', 'Ductal carcinoma in situ', 'Genetic predisposition', '', '', 'Breast cancer', 'Epidemiology', 'Genetic susceptibility', 'GWAS', 'Type 2 diabetes', '', '8q24', 'breast cancer', 'fine-mapping', 'genetic susceptibility', 'single nucleotide polymorphism', 'BRAC1 mutation carriers', 'Breast cancer', 'CCDC91', 'Fine-scale mapping', 'Genetic risk factor', 'PTHLH', '', '', '', '', '', '', 'Association studies', 'Breast cancer', 'Cis-regulatory variants', 'Differential allelic expression', 'Genetic susceptibility']"
Australia,7201924128,57194780971,2017,3,"['Anthracycline', 'Breast cancer', 'SNP', 'Survival', 'TP53', 'breast cancer', 'Breast Cancer Association Consortium', 'gene–environment', 'interaction', 'single nucleotide polymorphism', 'Familial breast cancer', 'Linkage analysis', 'Risk haplotype', 'Sequencing']"
Australia,57193910834,57194780971,2013,1,['']
Australia,57193910834,57194780971,2015,1,['']
Australia,57193910834,57194780971,2016,1,['']
Australia,57193910834,57194780971,2017,3,"['BRD4', 'Breast cancer risk', 'Chromatin', 'Functional annotation', 'Genome-wide association studies', 'Prostate cancer risk', 'Risk loci', 'Schizophrenia', 'SNPs', 'Super-enhancer', 'breast cancer', 'Breast Cancer Association Consortium', 'gene–environment', 'interaction', 'single nucleotide polymorphism', 'Familial breast cancer', 'Linkage analysis', 'Risk haplotype', 'Sequencing']"
Australia,7005348926,57194780971,2011,1,['']
Australia,7005348926,57194780971,2013,2,"['', '']"
Australia,7005348926,57194780971,2016,3,"['', '', '']"
Australia,7005348926,57194780971,2015,1,['']
Australia,7005348926,57194780971,2014,1,['']
Australia,7005348926,57194780971,2017,2,"['Anthracycline', 'Breast cancer', 'SNP', 'Survival', 'TP53', 'BRD4', 'Breast cancer risk', 'Chromatin', 'Functional annotation', 'Genome-wide association studies', 'Prostate cancer risk', 'Risk loci', 'Schizophrenia', 'SNPs', 'Super-enhancer']"
Australia,57194780971,57202373513,2012,1,['']
Australia,57194780971,57202373513,2013,1,['']
Australia,57194780971,57202373513,2014,1,['']
Australia,57194780971,57202373513,2015,4,"['', '', '', '']"
Australia,57194780971,7103396821,2015,4,"['', '', '', 'Breast cancer', 'NF-κB pathway', 'SNP-SNP interaction', 'Survival analysis']"
Australia,57194780971,7103396821,2016,2,"['', '']"
Australia,57194780971,16021347300,2011,1,['']
Australia,57194780971,16021347300,2013,1,['']
Australia,57194780971,16021347300,2014,1,['']
Australia,57194780971,16021347300,2015,6,"['', '', '', '', '', '']"
Australia,57194780971,16021347300,2016,6,"['', '8q24', 'breast cancer', 'fine-mapping', 'genetic susceptibility', 'single nucleotide polymorphism', '', '', '', '']"
Australia,57194780971,16021347300,2017,3,"['Anthracycline', 'Breast cancer', 'SNP', 'Survival', 'TP53', '', '']"
Australia,34570089500,7004641432,2010,1,"['Genome-wide association', 'Meta-analysis', ""Parkinson's disease""]"
Australia,7202285140,55881690200,2012,1,"['Aqua Regia', 'Extractability', 'GEMAS', 'Geochemical Mapping', 'XRF']"
Australia,7202285140,55881690200,2013,2,"['', '']"
Australia,7202285140,55881690200,2014,2,"['', '']"
Australia,7202285140,55881690200,2015,4,"['European soil', 'Geochemical mapping', 'Mafic-ultramafic rocks', 'Metals', 'Soil guidelines', 'Agricultural soil', 'Continental-scale', 'Europe', 'Geochemistry', 'Grazing land soil', 'Indium', 'Anthropogenic anomalies', 'Bioavailability', 'GEMAS', 'Geochemical mapping', 'Geogenic patterns', 'ICP-MS', 'MMI® extraction', 'Agricultural soil', 'Geochemistry', 'Parent material', 'Upper continental crust UCC', 'Weathering']"
Australia,7202285140,54921741800,2012,1,"['Aqua Regia', 'Extractability', 'GEMAS', 'Geochemical Mapping', 'XRF']"
Australia,7202285140,54921741800,2013,2,"['', '']"
Australia,7202285140,54921741800,2014,1,['']
Australia,7202285140,54921741800,2015,2,"['Anthropogenic anomalies', 'Bioavailability', 'GEMAS', 'Geochemical mapping', 'Geogenic patterns', 'ICP-MS', 'MMI® extraction', 'Agricultural soil', 'Geochemistry', 'Parent material', 'Upper continental crust UCC', 'Weathering']"
Australia,7003524094,55881690200,2012,1,"['Geochemistry', 'Major elements', 'Quality control', 'Regolith', 'Topsoil', 'Trace elements']"
Australia,7003524094,55881690200,2015,1,"['Anthropogenic anomalies', 'Bioavailability', 'GEMAS', 'Geochemical mapping', 'Geogenic patterns', 'ICP-MS', 'MMI® extraction']"
Australia,7003524094,55881690200,2018,1,"['Agricultural soil', 'Background variation', 'Continental scale', 'Europe', 'Geochemical threshold']"
Australia,7003524094,54921741800,2012,1,"['Geochemistry', 'Major elements', 'Quality control', 'Regolith', 'Topsoil', 'Trace elements']"
Australia,7003524094,54921741800,2015,1,"['Anthropogenic anomalies', 'Bioavailability', 'GEMAS', 'Geochemical mapping', 'Geogenic patterns', 'ICP-MS', 'MMI® extraction']"
Australia,7003524094,54921741800,2018,1,"['Agricultural soil', 'Background variation', 'Continental scale', 'Europe', 'Geochemical threshold']"
Australia,55881690200,35112452700,2012,1,"['Aqua Regia', 'Extractability', 'GEMAS', 'Geochemical Mapping', 'XRF']"
Australia,55881690200,35112452700,2013,1,['']
Australia,55881690200,35112452700,2014,2,"['', '']"
Australia,55881690200,35112452700,2015,4,"['European soil', 'Geochemical mapping', 'Mafic-ultramafic rocks', 'Metals', 'Soil guidelines', 'Agricultural soil', 'Continental-scale', 'Europe', 'Geochemistry', 'Grazing land soil', 'Indium', 'Anthropogenic anomalies', 'Bioavailability', 'GEMAS', 'Geochemical mapping', 'Geogenic patterns', 'ICP-MS', 'MMI® extraction', 'Agricultural soil', 'Geochemistry', 'Parent material', 'Upper continental crust UCC', 'Weathering']"
Australia,55881690200,35112452700,2018,3,"['Agricultural soil', 'Background variation', 'Continental scale', 'Europe', 'Geochemical threshold', 'Agricultural soil', 'Geochemistry', 'Thorium', 'Uranium', 'Weathering', 'Arable soil', 'Carbon', 'GEMAS project', 'Nitrogen', 'Spatial distribution', 'Sulphur', 'Total organic carbon (TOC)']"
Australia,55881690200,7202384127,2012,1,"['Aqua Regia', 'Extractability', 'GEMAS', 'Geochemical Mapping', 'XRF']"
Australia,55881690200,7202384127,2013,2,"['', '']"
Australia,55881690200,7202384127,2014,2,"['', '']"
Australia,55881690200,7202384127,2015,4,"['European soil', 'Geochemical mapping', 'Mafic-ultramafic rocks', 'Metals', 'Soil guidelines', 'Agricultural soil', 'Continental-scale', 'Europe', 'Geochemistry', 'Grazing land soil', 'Indium', 'Anthropogenic anomalies', 'Bioavailability', 'GEMAS', 'Geochemical mapping', 'Geogenic patterns', 'ICP-MS', 'MMI® extraction', 'Agricultural soil', 'Geochemistry', 'Parent material', 'Upper continental crust UCC', 'Weathering']"
Australia,55881690200,7202384127,2018,3,"['Agricultural soil', 'Background variation', 'Continental scale', 'Europe', 'Geochemical threshold', 'Agricultural soil', 'Geochemistry', 'Thorium', 'Uranium', 'Weathering', 'Arable soil', 'Carbon', 'GEMAS project', 'Nitrogen', 'Spatial distribution', 'Sulphur', 'Total organic carbon (TOC)']"
Australia,55881690200,6603651344,2012,1,"['Aqua Regia', 'Extractability', 'GEMAS', 'Geochemical Mapping', 'XRF']"
Australia,55881690200,6603651344,2013,1,['']
Australia,55881690200,6603651344,2014,2,"['', '']"
Australia,55881690200,6603651344,2015,4,"['European soil', 'Geochemical mapping', 'Mafic-ultramafic rocks', 'Metals', 'Soil guidelines', 'Agricultural soil', 'Continental-scale', 'Europe', 'Geochemistry', 'Grazing land soil', 'Indium', 'Anthropogenic anomalies', 'Bioavailability', 'GEMAS', 'Geochemical mapping', 'Geogenic patterns', 'ICP-MS', 'MMI® extraction', 'Agricultural soil', 'Geochemistry', 'Parent material', 'Upper continental crust UCC', 'Weathering']"
Australia,55881690200,6603651344,2018,3,"['Agricultural soil', 'Background variation', 'Continental scale', 'Europe', 'Geochemical threshold', 'Agricultural soil', 'Geochemistry', 'Thorium', 'Uranium', 'Weathering', 'Arable soil', 'Carbon', 'GEMAS project', 'Nitrogen', 'Spatial distribution', 'Sulphur', 'Total organic carbon (TOC)']"
Australia,55881690200,35247459100,2012,1,"['Geochemistry', 'Major elements', 'Quality control', 'Regolith', 'Topsoil', 'Trace elements']"
Australia,55881690200,57203104088,2018,3,"['Agricultural soil', 'Background variation', 'Continental scale', 'Europe', 'Geochemical threshold', 'Agricultural soil', 'Geochemistry', 'Thorium', 'Uranium', 'Weathering', 'Arable soil', 'Carbon', 'GEMAS project', 'Nitrogen', 'Spatial distribution', 'Sulphur', 'Total organic carbon (TOC)']"
