Source,Target,Year,Weight,Keywords
24759171600,24536744000,2008,1,['']
24759171600,24536744000,2015,1,['']
24759171600,24536744000,2016,1,['']
24759171600,11040657000,2003,1,['']
26326826900,28167597500,2014,2,"['', '']"
26326826900,28167597500,2016,2,"['Front-end electronics for detector readout', 'Particle tracking detectors (Solid-state detectors); Radiation-hard electronics', 'VLSI circuits', '']"
26326826900,28167597500,2018,2,"['Front-end electronics for detector readout', 'Pixelated detectors and associated VLSI electronics', 'Radiation damage to electronic components', 'X-ray detectors', 'Front-end electronics for detector readout', 'Pixelated detectors and associated VLSI electronics', 'X-ray detectors']"
24759171600,8791928600,2007,1,['']
24759171600,8301003700,1994,1,['']
35359975500,55941728700,2007,1,"['Advanced glycation end-product (AGE)', 'Anti-CCP antibodies', 'Cartilage oligomeric matrix protein (COMP)', 'Pentosidine', 'Rheumatoid arthritis']"
35359975500,55941728700,2008,2,"['', 'Cytokine', 'IL-IRN gene', 'Knee osteoarthritis', 'Susceptibility', 'VNTR polymorphism']"
35359975500,55941728700,2009,7,"['Biological therapy', 'Radiographic progression', 'Rheumatoid arthritis', 'Immunodeficiency', 'Systemic lupus erythematosus', '', 'Abatacept', 'Anti-TNF therapy', 'Infections', 'Rheumatoid arthritis', 'Rituximab', 'Tocilizumab', 'Tuberculosis', 'Tumours', 'Biological therapy', 'Clinical trials', 'Monoclonal antibodies', 'Rheumatoid arthritis', 'Small molecules', 'Inflammation', 'Rheumatoid arthritis', 'S100A4 protein', 'TNF-α inhibitor', 'Ankylosing spondylitis', 'Anti-TNF therapy']"
35359975500,55941728700,2010,4,"['', 'Functional ability', 'Health Assesment Questionare (HAQ)', 'Rheumatoid arthritis', 'Translation and adaptation of a questionnaire', 'Biological therapy', 'Rheumatoid arthritis', 'Treatment', 'Disease activity', 'Hormones', 'Prolactin', 'Rheumatoid arthritis']"
35359975500,55941728700,2011,5,"['γδ T lymphocytes', 'Disease activity', 'NK cells', 'NKT lymphocytes', 'Rheumatoid arthritis', 'Rituximab', 'BAFF', 'Disease activity', 'Rheumatoid arthritis', 'Rituximab', 'Visfatin', 'Disease activity', 'Relapse', 'Rheumatoid arthritis', 'S100 proteins', 'Infections', 'Rheumatic diseases', 'TNF alpha blocking agents', '']"
35359975500,55941728700,2012,1,"['Adipokines', 'Disease activity', 'Fibroblast growth factor-21', 'Lipid profile', 'Rheumatoid arthritis']"
35359975500,55941728700,2013,3,"['Arthritis', 'Ifn-γ', 'TNF inhibition', 'Tuberculosis', 'FABP4', 'Inflammation', 'Lipid profile', 'Rheumatoid arthritis', 'Antitumour necrosis factor drugs', 'Biologic disease-modifying anti-rheumatic drugs', 'Health-related quality of life', 'Registry', 'Rheumatoid arthritis', 'SF-36']"
35359975500,55941728700,2014,1,"['Anti-tumour necrosis factor drugs', 'Biologic disease-modifying anti-rheumatic drugs', 'EQ-5D', 'Health-related quality of life', 'Registry', 'Rheumatoid arthritis']"
35359975500,55941728700,2015,1,"['Capillaroscopy', 'Disease duration', 'Interleukin-35', 'Systemic sclerosis', 'TGF-β']"
35359975500,55941728700,2016,2,"['', 'activity indices', 'biological therapy of PsA', 'dactylitis', 'early treatment', 'enthesitis', 'Psoriatic arthritis', 'targets for therapy', 'treatment recommendations', 'treatment strategy']"
35359975500,55941728700,2017,4,"['Calgizzarin', 'Disease activity', 'Inflammation', 'Rheumatoid arthritis', 'S100 proteins', 'Disease activity', 'Inflammation', 'Interleukin-20', 'Rheumatoid arthritis', 'Diseasemodifying anti-rheumatic drugs', 'Recommendations', 'Remission', 'Rheumatoid arthritis', '']"
7003829865,55048755500,2008,1,['']
7003829865,55048755500,2012,1,"['Neutron imaging, neutron physics', 'Neutron spectroscopy', 'Sources of neutrons']"
26326826900,28167597500,2014,2,"['', '']"
26326826900,28167597500,2016,2,"['Front-end electronics for detector readout', 'Particle tracking detectors (Solid-state detectors); Radiation-hard electronics', 'VLSI circuits', '']"
