Country,Source,Target,Year,Weight,Keywords
Germany,35373857800,35359975500,2011,1,['']
Germany,16067018800,35359975500,2011,1,['']
Germany,16067018800,35359975500,2012,1,['']
Germany,35379799100,35359975500,2007,1,['']
Germany,35379799100,35359975500,2010,2,"['', '']"
Germany,35379799100,35359975500,2011,3,"['', '', '']"
Germany,35379799100,35359975500,2013,1,['']
Germany,35379799100,35359975500,2014,2,"['', 'Biological antirheumatic drugs', 'Disease-modifying antirheumatic drugs', 'EULAR recommendations', 'Managements of rheumatoid arthritis', 'Synthetic antirheumatic drugs']"
Germany,35379799100,35359975500,2016,1,['']
Germany,7403051583,35359975500,2006,1,['']
Germany,7403051583,35359975500,2008,1,['']
Germany,35359975500,7403053263,2010,1,['']
Germany,35359975500,7403053263,2011,1,['']
Germany,35359975500,7403053263,2012,2,"['Ankylosing spondylitis', 'Disease management', 'Disease-modifying antirheumatic drugs', 'Etanercept', 'Sulfasalazine', 'Tumor necrosis factor-α', '']"
Germany,35359975500,7403053263,2016,1,['']
Germany,35359975500,55408491300,2006,1,['']
Germany,35359975500,55408491300,2008,1,['']
Germany,35359975500,55408491300,2011,1,['']
Germany,35359975500,55408491300,2012,1,['']
Germany,35359975500,55408491300,2013,1,['']
Germany,35359975500,55408491300,2016,1,['']
Germany,35359975500,7006480193,2010,2,"['', '']"
Germany,35359975500,7006480193,2011,1,['']
Germany,35359975500,7006480193,2015,1,['']
Germany,35359975500,7006480193,2016,1,['']
Germany,35359975500,10043334000,2011,1,['']
Germany,35359975500,10043334000,2012,1,['']
Germany,14826956800,10042971200,2016,5,"['ATLAS ITk', 'HL-LHC', 'Inter-strip capacitance', 'Inter-strip resistance', 'Micro-strip sensor', 'Punch-through protection', 'Radiation resistance', 'Surface properties', 'ATLAS ITk', 'Depletion', 'HL-LHC', 'Leakage current', 'Micro-strip sensor', 'Strip test', 'ATLAS upgrade', 'HL-LHC', 'ITk', 'Pitch adapters', 'Silicon radiation detectors', 'Strip sensors', 'Charge collection', 'Edge transient current technique', 'Field profile', 'High luminosity Large Hadron Collider', 'Microstrip sensor', 'ATLAS Inner Tracker', 'Charge collection', 'HL-LHC', 'Irradiated silicon strip sensor']"
Germany,14826956800,10042971200,2014,1,"['HL-LHC', 'n -in-p +', 'P-type', 'PTP', 'Radiation-tolerant', 'Silicon strip']"
Germany,14826956800,34570415800,2016,5,"['ATLAS ITk', 'HL-LHC', 'Inter-strip capacitance', 'Inter-strip resistance', 'Micro-strip sensor', 'Punch-through protection', 'Radiation resistance', 'Surface properties', 'ATLAS ITk', 'Depletion', 'HL-LHC', 'Leakage current', 'Micro-strip sensor', 'Strip test', 'ATLAS upgrade', 'HL-LHC', 'ITk', 'Pitch adapters', 'Silicon radiation detectors', 'Strip sensors', 'Charge collection', 'Edge transient current technique', 'Field profile', 'High luminosity Large Hadron Collider', 'Microstrip sensor', 'ATLAS Inner Tracker', 'Charge collection', 'HL-LHC', 'Irradiated silicon strip sensor']"
Germany,14826956800,34570415800,2014,1,"['HL-LHC', 'n -in-p +', 'P-type', 'PTP', 'Radiation-tolerant', 'Silicon strip']"
