Id,Name,Country,City,University,Citations
35227626300,Lysak R.,Czech Republic,Prague,Institute of Physics of the Academy of Sciences of the Czech Republic,29923
35359975500,Pavelka Karel,Czech Republic,Prague,Institute of Rheumatology,7976
11040657000,Dolejší Jiší,Czech Republic,Prague Praha,Charles University,33593
14826956800,Kodys Peter,Czech Republic,Prague Praha,Charles University,37217
24536744000,Chudoba Jiří,Czech Republic,Prague,Institute of Physics of the Academy of Sciences of the Czech Republic,42885
24759171600,Lokajíček Miloš V.,Czech Republic,Prague,Institute of Physics of the Academy of Sciences of the Czech Republic,52358
26326826900,Havránek Miroslav,Czech Republic,Prague,Ceske vysoke uceni technicke v Praze,33728
28167597500,Marčišovský Michal,Czech Republic,Prague,Institute of Physics of the Academy of Sciences of the Czech Republic,33427
8301003700,Vrba Václav,Czech Republic,Prague,Ceske vysoke uceni technicke v Praze,53107
11040657000,Dolejší Jiší,Czech Republic,Prague Praha,Charles University,33593
14826956800,Kodys Peter,Czech Republic,Prague Praha,Charles University,37217
24536744000,Chudoba Jiří,Czech Republic,Prague,Institute of Physics of the Academy of Sciences of the Czech Republic,42885
8301003700,Vrba Václav,Czech Republic,Prague,Ceske vysoke uceni technicke v Praze,53107
8791928600,Němeček Sabine,Czech Republic,Prague,Institute of Physics of the Academy of Sciences of the Czech Republic,37971
24759171600,Lokajíček Miloš V.,Czech Republic,Prague,Institute of Physics of the Academy of Sciences of the Czech Republic,52358
35359975500,Pavelka Karel,Czech Republic,Prague,Institute of Rheumatology,7976
55941728700,Vencovsky Jiri,Czech Republic,Prague,Institute of Rheumatology,6640
24759171600,Lokajíček Miloš V.,Czech Republic,Prague,Institute of Physics of the Academy of Sciences of the Czech Republic,52358
35227626300,Lysak R.,Czech Republic,Prague,Institute of Physics of the Academy of Sciences of the Czech Republic,29923
24759171600,Lokajíček Miloš V.,Czech Republic,Prague,Institute of Physics of the Academy of Sciences of the Czech Republic,52358
35227364000,Hubacek Zdenek,Czech Republic,Prague,Ceske vysoke uceni technicke v Praze,44162
35227510800,Kupčo Alexander,Czech Republic,Prague,Institute of Physics of the Academy of Sciences of the Czech Republic,47365
35227533500,Kvita Jiří,Czech Republic,Olomouc,Univerzita Palack&amp;eacute;ho v Olomouci,38348
35227995300,Šimák Vladislav,Czech Republic,Prague,Ceske vysoke uceni technicke v Praze,48909
35235459100,Vokáč P.,Czech Republic,Prague,Ceske vysoke uceni technicke v Praze,42855
56362669800,Widimsky Petr,Czech Republic,Prague Praha,Charles University,16858
