Source,Target,Year,Weight,Keywords
35355952300,56978532600,2001,1,['']
35355952300,56978532600,2000,1,['']
35355952300,56978532600,1998,1,['']
35355952300,56978532600,2002,4,"['', '', '', '']"
35355952300,56978532600,2003,4,"['', '', '', '']"
35355952300,56978532600,2004,4,"['', '', '', '']"
35355952300,56978532600,2005,1,['']
35355952300,56978532600,2006,3,"['', '', '']"
35355952300,56978532600,2008,1,"['Large detector systems for particle and astroparticle physics', 'Particle tracking detectors', 'Transition radiation detectors']"
7005401205,7005052706,2007,2,"['Ankylosing', 'Magnetic resonance imaging', 'Spondylitis', 'Validation studies', 'Ankylosing spondylitis', 'Imaging', 'Magnetic resonance imaging', 'Methodology', 'Spine']"
7005401205,7005052706,2008,1,['']
7005401205,7005052706,2009,2,"['', '']"
7005401205,7005052706,2010,4,"['Autoantibodies', 'Cartilage', 'Collagen', 'Rheumatoid arthritis', 'Synovitis', '', '', '']"
7005401205,7005052706,2011,2,"['', '']"
7005401205,7005052706,2012,1,['']
7005401205,7005052706,2013,1,['']
7005401205,7005052706,2014,1,['']
7005401205,7005052706,2015,1,['']
7005401205,7005052706,2016,3,"['Ankylosing Spondylitis', 'Magnetic Resonance Imaging', 'Spondyloarthritis', '', '']"
7005401205,7005052706,2017,3,"['', '', '']"
7005401205,7005052706,2018,2,"['Bone marrow edema', 'Magnetic resonance imaging', 'Sacroiliac joint', 'Semiaxial scoring semicoronal scoring', '']"
36043939900,7005078154,2007,8,"['Genetic correlation', 'Heritability', 'Twin study', 'Apolipoprotein', 'Bivariate analysis', 'Heritability', 'Lipid', 'Twins', '', 'Bivariate analyses', 'Thyroid hormones', 'Thyroid-stimulating hormone', 'Twin study', '', 'Correlation', 'Genetic', 'Heritability', 'Insulin resistance', 'Metabolic syndrome', 'Multivariate', 'Obesity', 'Asthma', 'Environment', 'Genetics', 'Obesity', 'Twin study', '']"
36043939900,7005078154,2008,2,"['', '']"
36043939900,7005078154,2009,1,"['Body mass index', 'Dizygotic twins', 'Genetic linkage', 'Heritability', 'Quantitative trait locus']"
36043939900,7005078154,2010,1,"['Food frequency questionnaire', 'Metabolomics', 'Metabonomics', 'Partial least squares-discriminant analysis', 'Principal component analysis']"
36043939900,7005078154,2011,1,['']
36043939900,7005078154,2014,1,"['Adiposity', 'BMI', 'Exercise', 'Fitness', 'Gene-environment interaction and correlation', 'Genetic and environmental influences']"
36043939900,56266405100,2010,1,"['cause of death', 'genetics', 'infection', 'twins']"
36043939900,56266405100,2011,1,['']
36043939900,7202687730,2007,2,"['Genetic correlation', 'Heritability', 'Twin study', '']"
36043939900,7202687730,2009,1,"['Body mass index', 'Dizygotic twins', 'Genetic linkage', 'Heritability', 'Quantitative trait locus']"
