Id,Name,Country,City,University,Citations
8047243900,Xella Stefania M.,Denmark,Copenhagen,Niels Bohr Institute,38106
35355952300,Hansen Jorgen Beck,Denmark,Copenhagen,Niels Bohr Institute,43583
56978532600,Hansen JØrgen D.,Denmark,Copenhagen,Niels Bohr Institute,43985
7005052706,Jurik Anne Grethe,Denmark,Arhus,Arhus Universitetshospital,2456
7005401205,Östergaard Mikkel,Denmark,Copenhagen,Rigshospitalet,8741
7005078154,Kyvik Kirsten Ohm,Denmark,Odense,Syddansk Universitet,2922
7202687730,Christensen Kaare J.S.,Denmark,Odense,Syddansk Universitet,7372
36043939900,Sørensen T. I. A.,Denmark,Copenhagen,Frederiksberg Hospital,33134
56266405100,Skytthe Axel E.,Denmark,Odense,Syddansk Universitet,1744
35222916500,Alonso Alejandro,Denmark,Copenhagen,Niels Bohr Institute,30765
35355952300,Hansen Jorgen Beck,Denmark,Copenhagen,Niels Bohr Institute,43583
56978532600,Hansen JØrgen D.,Denmark,Copenhagen,Niels Bohr Institute,43985
7102845895,Dam Mogens,Denmark,Copenhagen,Niels Bohr Institute,39295
8047243900,Xella Stefania M.,Denmark,Copenhagen,Niels Bohr Institute,38106
7103236448,Westendorp Rudi G.J.,Denmark,Copenhagen,Kobenhavns Universitet,36533
6506527936,Bojesen Stig Egil,Denmark,Hellerup Copenhagen Hellerup,Amtssygehuset i Gentofte,6951
7007170557,Nordestgaard Børge Grønne Rge G. Grønne Rge G.,Denmark,Hellerup,Amtssygehuset i Gentofte,50630
56612171900,Nielsen Sune Fallgaard,Denmark,Copenhagen,Kobenhavns Universitet,2572
57202624262,Flyger Henrik Lavlund,Denmark,Hellerup,Amtssygehuset i Gentofte,392
7102525297,Christiansen Michael,Denmark,Copenhagen,Statens Serum Institut,2257
17534387200,Köber Lars Valeur,Denmark,Copenhagen,Rigshospitalet,12133
7102315536,Frederiksen Jette Lautrup,Denmark,Copenhagen,Rigshospitalet,2240
35233694400,Gøtzsche Peter Christian,Denmark,Copenhagen,Nordic Cochrane Centre,57253
6602161207,Van-Hylckama Vlieg Johan Et,Denmark,Horsholm,Chr. Hansen AS,2978
8705029400,Arumugam Manimozhiyan,Denmark,Copenhagen,Kobenhavns Universitet,1687
35373396900,Pedersen Oluf Borbye,Denmark,Copenhagen,Kobenhavns Universitet,55160
6701738296,Werge Thomas M.,Denmark,Copenhagen Copenhagen Copenhagen,H. Lundbeck A/S,3289
7003632207,Hougaard David Michael,Denmark,Copenhagen,Statens Serum Institut,4660
7004609664,Børglum Anders Dupont,Denmark,Aarhus Aarhus Arhus,Aarhus Universitet,1416
7102903327,Mortensen Preben Bo,Denmark,Aarhus Arhus Aarhus Aarhus,Aarhus Universitet,5730
8636730800,Mattheisen Manuel,Denmark,Aarhus Aarhus Arhus,Aarhus Universitet,3210
8648239600,Olsen Line,Denmark,Arhus,Lundbeck Foundation Initiative for Integrative Psychiatric Research,428
21135869800,Rasmussen Henrik Berg,Denmark,Arhus,Lundbeck Foundation Initiative for Integrative Psychiatric Research,1903
35765453400,Hansen Thomas Folkmann,Denmark,Arhus,Lundbeck Foundation Initiative for Integrative Psychiatric Research,1779
7201975456,Olsen Tom Skyhøj Ø J.,Denmark,Copenhagen,Kobenhavns Universitet,2
57199406043,Krieger Derk Wolfgang,Denmark,Copenhagen,Rigshospitalet,1379
7005078154,Kyvik Kirsten Ohm,Denmark,Odense,Syddansk Universitet,2922
36043939900,Sørensen T. I. A.,Denmark,Copenhagen,Frederiksberg Hospital,33134
35355952300,Hansen Jorgen Beck,Denmark,Copenhagen,Niels Bohr Institute,43583
56978532600,Hansen JØrgen D.,Denmark,Copenhagen,Niels Bohr Institute,43985
7402503073,Christensen Jørn Bolstad,Denmark,Copenhagen,Kobenhavns Universitet,942
7003862507,Ewertz Marianne,Denmark,Odense,Odense Universitetshospital,1208
7003934712,Clemmensen Peter Michael,Denmark,Nykobing Falster Odense Hamburg,Nykobing F. Sygehus,5976
35355952300,Hansen Jorgen Beck,Denmark,Copenhagen,Niels Bohr Institute,43583
56978532600,Hansen JØrgen D.,Denmark,Copenhagen,Niels Bohr Institute,43985
8047243900,Xella Stefania M.,Denmark,Copenhagen,Niels Bohr Institute,38106
35355952300,Hansen Jorgen Beck,Denmark,Copenhagen,Niels Bohr Institute,43583
56978532600,Hansen JØrgen D.,Denmark,Copenhagen,Niels Bohr Institute,43985
6701331806,Ejlertsen Bent,Denmark,Copenhagen Copenhagen,Rigshospitalet,1474
7102510521,Mouridsen Henning T.,Denmark,Copenhagen,Rigshospitalet,6222
7005158870,Monk James W.,Denmark,Copenhagen,Niels Bohr Institute,32448
7102845895,Dam Mogens,Denmark,Copenhagen,Niels Bohr Institute,39295
6506822715,Mouritzen Ulrik,Denmark,Bagsvard,Novo Nordisk AS,135
6507180993,Hartnack BIRGITTE,Denmark,Copenhagen Copenhagen Copenhagen,Kobenhavns Universitet,0
6508137785,Hadberg Aksel,Denmark,Copenhagen,Kobenhavns Universitet,0
6601991830,Kiilerich Søren,Denmark,Hillerod,Hillerod Hospital,0
6602506854,Karsdal Morten Asser,Denmark,Herlev,Nordic Bioscience AS,6814
6602858263,Rickers Hans,Denmark,Aalborg,Aalborg University Hospital,0
6603088892,Fledelius Christian,Denmark,Bagsvard,Novo Nordisk AS,340
6603098149,Marslew Ulla,Denmark,Ballerup,Center for Clinical and Basic Research AS,0
6603217162,STOCKLUND KNUD ERIK,Denmark,Copenhagen,Kobenhavns Universitet,0
6603264146,Als Orla Skibsted,Denmark,Copenhagen,Kobenhavns Universitet,0
6603467826,Vester-Andersen T.,Denmark,Copenhagen,Rigshospitalet,0
6603748680,De Bruijne Marleen,Denmark,Copenhagen,Kobenhavns Universitet,2052
6603809586,Hetland Merete Lund,Denmark,Copenhagen Copenhagen,Rigshospitalet,4316
