Country,Source,Target,Year,Weight,Keywords
Finland,56523541000,26648246800,2016,2,"['', '']"
Finland,56523541000,57191987814,2016,2,"['', '']"
Finland,56523541000,57191987814,2017,1,['']
Finland,56523541000,7004697483,2016,3,"['', '', '']"
Finland,56523541000,56813518300,2016,2,"['', '']"
Finland,7004678671,26648246800,2013,1,['']
Finland,7004678671,7004697483,2013,1,['']
Finland,26648246800,7006708451,2011,1,['']
Finland,26648246800,7006708451,2016,2,"['electrocardiogram', 'genetic association study', 'heart failure', 'left ventricular hypertrophy', 'QRS', '']"
Finland,26648246800,6701433067,2011,1,['']
Finland,26648246800,7004828916,2016,2,"['', '']"
Finland,26648246800,7004443919,2016,1,['']
Finland,26648246800,7003478852,2016,1,['']
Finland,26648246800,37117860200,2011,1,['']
Finland,26648246800,37117860200,2016,1,['']
Finland,26648246800,7202626958,2012,2,"['Aging', 'Anxiety', 'Depressive symptoms', 'Genetics', 'IPIP personality', 'NEO personality', '']"
Finland,26648246800,7202626958,2016,1,['']
Finland,26648246800,6602534283,2016,1,['']
Finland,26648246800,7006539182,2011,1,['']
Finland,26648246800,6603009457,2013,1,['']
Finland,26648246800,6603009457,2016,1,['']
Finland,26648246800,6603009457,2017,1,['']
Finland,26648246800,7003719630,2011,1,['']
Finland,26648246800,7003719630,2015,1,['']
Finland,26648246800,7003719630,2017,1,['']
Finland,26648246800,7006330833,2011,1,['']
Finland,26648246800,7004714461,2016,2,"['', '']"
Finland,57191987814,7006708451,2016,1,['']
Finland,57191987814,7006708451,2017,1,['']
Finland,57191987814,6701433067,2017,1,['']
Finland,57191987814,7004828916,2016,1,['']
Finland,57191987814,7004828916,2017,1,['']
Finland,57191987814,7004443919,2016,1,['']
Finland,57191987814,7003478852,2016,1,['']
Finland,57191987814,37117860200,2016,1,['']
Finland,57191987814,7202626958,2016,1,['']
Finland,57191987814,7202626958,2017,1,['']
Finland,57191987814,6602534283,2016,1,['']
Finland,57191987814,7004714461,2016,1,['']
Finland,57191987814,7004714461,2017,1,['']
Finland,7006708451,7403154309,2014,1,['']
Finland,7006708451,7004697483,2011,1,['']
Finland,7006708451,7004697483,2014,1,['']
Finland,7006708451,7004697483,2016,2,"['', '']"
Finland,7006708451,56813518300,2016,1,['']
Finland,6701433067,7403154309,2014,2,"['Cardiovascular disease', 'Harmonization', 'Metabolic syndrome', 'Metabolically healthy', 'Obesity', '']"
Finland,6701433067,7004697483,2011,1,['']
Finland,6701433067,7004697483,2014,2,"['Cardiovascular disease', 'Harmonization', 'Metabolic syndrome', 'Metabolically healthy', 'Obesity', '']"
Finland,7004828916,7403154309,2014,1,['']
Finland,7004828916,7004697483,2014,2,"['', '']"
Finland,7004828916,7004697483,2016,2,"['', '']"
Finland,7004828916,56813518300,2016,1,['']
Finland,7004443919,7004697483,2016,1,['']
Finland,7004443919,56813518300,2016,1,['']
Finland,7003478852,7004697483,2016,1,['']
Finland,7003478852,56813518300,2016,1,['']
Finland,36051313500,7004697483,1997,1,['']
Finland,36051313500,7004697483,2010,1,"['Data pooling', 'Data quality', 'Data synthesis', 'DataSHaPER', 'Harmonization', 'Metaanalysis', 'Prospective harmonization', 'Retrospective harmonization']"
Finland,36051313500,7004697483,2011,1,['']
Finland,37117860200,7004697483,2011,1,['']
Finland,37117860200,7004697483,2016,1,['']
Finland,37117860200,56813518300,2016,2,"['', '']"
Finland,7403154309,7202626958,2012,1,['']
Finland,7403154309,7202626958,2014,1,['']
Finland,7403154309,7006539182,2014,1,['']
Finland,7403154309,7003719630,2014,2,"['Cardiovascular disease', 'Harmonization', 'Metabolic syndrome', 'Metabolically healthy', 'Obesity', '']"
Finland,7403154309,7003719630,2015,1,['']
Finland,7403154309,7003719630,2017,1,['']
Finland,7403154309,7004714461,2014,2,"['Cardiovascular disease', 'Harmonization', 'Metabolic syndrome', 'Metabolically healthy', 'Obesity', '']"
Finland,7403154309,7004714461,2016,1,"['genetic association studies', 'genetic variation', 'regression analysis', 'risk assessment', 'risk factors']"
Finland,7004697483,7202626958,2012,1,"['Aging', 'Anxiety', 'Depressive symptoms', 'Genetics', 'IPIP personality', 'NEO personality']"
Finland,7004697483,7202626958,2014,1,['']
Finland,7004697483,7202626958,2016,1,['']
Finland,7004697483,6602534283,2016,1,['']
Finland,7004697483,7006539182,2011,1,['']
Finland,7004697483,7006539182,2014,1,['']
Finland,7004697483,6603009457,2013,1,['']
Finland,7004697483,6603009457,2014,2,"['', '']"
Finland,7004697483,6603009457,2016,1,['']
Finland,7004697483,6603009457,2017,1,['']
Finland,7004697483,7003719630,2010,1,"['Data pooling', 'Data quality', 'Data synthesis', 'DataSHaPER', 'Harmonization', 'Metaanalysis', 'Prospective harmonization', 'Retrospective harmonization']"
Finland,7004697483,7003719630,2011,2,"['', '']"
Finland,7004697483,7003719630,2014,3,"['Cardiovascular disease', 'Harmonization', 'Metabolic syndrome', 'Metabolically healthy', 'Obesity', '', '']"
Finland,7004697483,7003719630,2015,1,['']
Finland,7004697483,7003719630,2016,1,"['Caenorhabditis elegans', 'Healthspan', 'Longevity Nutraceuticals', 'Medicinal plants', 'Natural products']"
Finland,7004697483,7003719630,2017,1,['']
Finland,7004697483,7006330833,2011,1,['']
Finland,7004697483,7004714461,2014,4,"['Cardiovascular disease', 'Harmonization', 'Metabolic syndrome', 'Metabolically healthy', 'Obesity', '', '', '']"
Finland,7004697483,7004714461,2016,2,"['', '']"
Finland,7202626958,56813518300,2016,1,['']
Finland,6602534283,56813518300,2016,2,"['', '']"
Finland,6603009457,56813518300,2013,1,['']
Finland,6603009457,56813518300,2017,1,['']
Finland,7003719630,56813518300,2015,1,['']
Finland,56813518300,7004714461,2013,1,['']
Finland,56813518300,7004714461,2016,2,"['', '']"
Finland,56813518300,56425839100,2013,1,['']
Finland,56523541000,26648246800,2016,2,"['', '']"
Finland,56523541000,57191987814,2016,2,"['', '']"
Finland,56523541000,57191987814,2017,1,['']
Finland,56523541000,7004697483,2016,3,"['', '', '']"
Finland,56523541000,56813518300,2016,2,"['', '']"
Finland,7004678671,26648246800,2013,1,['']
Finland,7004678671,7004697483,2013,1,['']
Finland,26648246800,35446128700,2011,1,['']
Finland,26648246800,7006708451,2011,1,['']
Finland,26648246800,7006708451,2016,2,"['electrocardiogram', 'genetic association study', 'heart failure', 'left ventricular hypertrophy', 'QRS', '']"
Finland,26648246800,6701433067,2011,1,['']
Finland,26648246800,35379599600,2011,1,['']
Finland,26648246800,35379599600,2016,1,['']
Finland,26648246800,7004828916,2016,2,"['', '']"
Finland,26648246800,7202626958,2012,2,"['Aging', 'Anxiety', 'Depressive symptoms', 'Genetics', 'IPIP personality', 'NEO personality', '']"
Finland,26648246800,7202626958,2016,1,['']
Finland,26648246800,6603009457,2013,1,['']
Finland,26648246800,6603009457,2016,1,['']
Finland,26648246800,6603009457,2017,1,['']
Finland,26648246800,7003719630,2011,1,['']
Finland,26648246800,7003719630,2015,1,['']
Finland,26648246800,7003719630,2017,1,['']
Finland,26648246800,7004714461,2016,2,"['', '']"
Finland,35446128700,57191987814,2017,1,['']
Finland,35446128700,7004697483,2011,1,['']
Finland,57191987814,7006708451,2016,1,['']
Finland,57191987814,7006708451,2017,1,['']
Finland,57191987814,6701433067,2017,1,['']
Finland,57191987814,35379599600,2016,1,['']
Finland,57191987814,7004828916,2016,1,['']
Finland,57191987814,7004828916,2017,1,['']
Finland,57191987814,7202626958,2016,1,['']
Finland,57191987814,7202626958,2017,1,['']
Finland,57191987814,7004714461,2016,1,['']
Finland,57191987814,7004714461,2017,1,['']
Finland,7006708451,7004697483,2011,1,['']
Finland,7006708451,7004697483,2014,1,['']
Finland,7006708451,7004697483,2016,2,"['', '']"
Finland,7006708451,56813518300,2016,1,['']
Finland,6701433067,7004697483,2011,1,['']
Finland,6701433067,7004697483,2014,2,"['Cardiovascular disease', 'Harmonization', 'Metabolic syndrome', 'Metabolically healthy', 'Obesity', '']"
Finland,35379599600,7004697483,2011,1,['']
Finland,35379599600,7004697483,2014,1,['']
Finland,35379599600,7004697483,2016,1,['']
Finland,35379599600,56813518300,2016,1,['']
Finland,7004828916,7004697483,2014,2,"['', '']"
Finland,7004828916,7004697483,2016,2,"['', '']"
Finland,7004828916,56813518300,2016,1,['']
Finland,36051313500,7004697483,1997,1,['']
Finland,36051313500,7004697483,2010,1,"['Data pooling', 'Data quality', 'Data synthesis', 'DataSHaPER', 'Harmonization', 'Metaanalysis', 'Prospective harmonization', 'Retrospective harmonization']"
Finland,36051313500,7004697483,2011,1,['']
Finland,7004697483,7202626958,2012,1,"['Aging', 'Anxiety', 'Depressive symptoms', 'Genetics', 'IPIP personality', 'NEO personality']"
Finland,7004697483,7202626958,2014,1,['']
Finland,7004697483,7202626958,2016,1,['']
Finland,7004697483,6603009457,2013,1,['']
Finland,7004697483,6603009457,2014,2,"['', '']"
Finland,7004697483,6603009457,2016,1,['']
Finland,7004697483,6603009457,2017,1,['']
Finland,7004697483,7003719630,2010,1,"['Data pooling', 'Data quality', 'Data synthesis', 'DataSHaPER', 'Harmonization', 'Metaanalysis', 'Prospective harmonization', 'Retrospective harmonization']"
Finland,7004697483,7003719630,2011,2,"['', '']"
Finland,7004697483,7003719630,2014,3,"['Cardiovascular disease', 'Harmonization', 'Metabolic syndrome', 'Metabolically healthy', 'Obesity', '', '']"
Finland,7004697483,7003719630,2015,1,['']
Finland,7004697483,7003719630,2016,1,"['Caenorhabditis elegans', 'Healthspan', 'Longevity Nutraceuticals', 'Medicinal plants', 'Natural products']"
Finland,7004697483,7003719630,2017,1,['']
Finland,7004697483,7004714461,2014,4,"['Cardiovascular disease', 'Harmonization', 'Metabolic syndrome', 'Metabolically healthy', 'Obesity', '', '', '']"
