Source,Target,Year,Weight,Keywords
7003630084,35425466000,2007,1,"['Anthropometry', 'Body mass index', 'Neoplasm', 'Twin cohort']"
7003630084,35425466000,2009,1,"['Body mass index', 'Leukaemia', 'Lymphoma', 'Myeloma', 'Obesity', 'Risk factors']"
7003630084,35425466000,2012,1,"['Cancer', 'Cohort study', 'Finnish', 'Stress', 'Survival']"
7003630084,7102452915,2007,1,"['Anthropometry', 'Body mass index', 'Neoplasm', 'Twin cohort']"
7003630084,7102452915,2008,2,"['', 'Accidents', 'Causes of death', 'Dietary fish', 'Dioxins', 'Diseases', 'Mortality', 'Omega-3 fatty acids', 'Polychlorinated biphenyls']"
7003630084,7102452915,2009,1,"['Body mass index', 'Leukaemia', 'Lymphoma', 'Myeloma', 'Obesity', 'Risk factors']"
7003630084,7102452915,2012,2,"['Cancer', 'Cohort study', 'Finnish', 'Stress', 'Survival', '']"
7003630084,7102452915,2014,2,"['chernobyl nuclear accident', 'cohort studies', 'epidemiology', 'ionizing', 'neoplasms', 'radiation', 'Cancers', 'Contaminants', 'Fatty acids', 'Fish', 'Fishermen', 'Incidence']"
7003630084,7006708451,2013,1,"['Atherosclerosis', 'Environmental contaminants', 'Fish', 'Inflammation', 'Omega-3']"
7003630084,6701433067,2008,1,"['Accidents', 'Causes of death', 'Dietary fish', 'Dioxins', 'Diseases', 'Mortality', 'Omega-3 fatty acids', 'Polychlorinated biphenyls']"
7003630084,6701433067,2010,3,"['Biomarkers', 'Dioxins', 'Fish', 'Methyl mercury', 'Omega-3 fatty acids', 'Polychlorinated biphenyls', 'Epidemiology', 'Fish consumption', 'Mental well-being', 'National survey', 'Polyunsaturated fatty acids (PUFAs)', '']"
7003630084,6701433067,2013,1,"['Atherosclerosis', 'Environmental contaminants', 'Fish', 'Inflammation', 'Omega-3']"
56523541000,7103360008,2015,1,['']
56523541000,7005647985,2018,2,"['disease aggregation', 'familial aggregation', 'families', 'genome-wide association study', 'GWAS', 'hemiplegic migraine', 'migraine', 'migraine with aura', 'polygenic risk score', 'PRS', '']"
