Id,Name,Country,City,University,Citations
7005197367,Sokka Tuulikki M.,Finland,Jyvaskyla Kuopio,Jyvaskyla Central Hospital,6642
6507668542,Broms Ulla,Finland,Helsinki Helsinki,National Institute for Health and Welfare,832
6602534283,Kallela Mikko,Finland,Helsinki,Helsinki University Hospital,1031
6603009457,Ripatti Samuli O.,Finland,Helsinki,Helsingin Yliopisto,5927
6603314188,Keski-Rahkonen Anna,Finland,Helsinki,Helsingin Yliopisto,801
6603559691,Loukola Anu,Finland,Helsinki,Helsingin Yliopisto,776
6603802971,Pietiläinen Kirsi Hannele,Finland,Helsinki Helsinki,Helsinki University Hospital,2598
6603957862,Silventoinen Karri,Finland,Helsinki,Helsingin Yliopisto,2775
6701433067,Jula Antti M.,Finland,Helsinki,National Institute for Health and Welfare,6327
6701721757,Kovanen Vuokko M.,Finland,Jyvaskyla,University of Jyvaskyla,1310
7003433840,Alén Markku,Finland,Oulu,Oulu University Hospital,2080
7003478852,Wessman Maija,Finland,Helsinki Helsinki,Helsingin Yliopisto,932
7003490617,Sipilä Sarianna,Finland,Jyvaskyla,University of Jyvaskyla,1756
7003630084,Verkasalo Pia K.,Finland,Kuopio,Kuopio University Hospital,419
7003719630,Perola Markus,Finland,Helsinki,Helsingin Yliopisto,6346
7004052115,Räihä Ismo J.,Finland,Abo (Turku),Turun yliopisto,193
7004443919,Heikkilä Katriina V.,Finland,Helsinki,Helsingin Yliopisto,2054
7004678671,Hartikainen - Anna Liisa,Finland,Oulu,Oulun Yliopisto,4176
7004714461,Salomaa Veikko V.,Finland,Helsinki,National Institute for Health and Welfare,12495
7004828916,Raitakari Olli T.,Finland,Abo (Turku),Turun yliopisto,40032
7005647985,Jousilahti Pekka J.,Finland,Helsinki,National Institute for Health and Welfare,8804
7006330833,Rantanen Taina,Finland,Jyvaskyla,Jyvaskylan Yliopisto,3646
7006539182,Lehtimäki Terho J.,Finland,Tampere,Tampereen Yliopisto,8346
7006708451,Kähönen Mika,Finland,Tampere,University Hospital of Tampere,7438
7006756308,Videman Tapio,Finland,Pietarsaari,Koulukatu 7 as 11,1321
7007114725,Partinen Markku Mikael,Finland,Helsinki,Vitalmed Research Center,2878
7007162803,Pulkkinen Lea R.,Finland,Jyvaskyla,University of Jyvaskyla,1669
7102452915,Pukkala Eero I.,Finland,Tampere,Tampereen Yliopisto,37294
7103058531,Sarna Seppo J.,Finland,Helsinki,Helsingin Yliopisto,1419
7103360008,Korhonen Tellervo,Finland,Kuopio Helsinki Helsinki,Ita-Suomen yliopisto,1009
7202626958,Eriksson Johan Gunnar,Finland,Helsinki,National Institute for Health and Welfare,53983
8916476500,Hublin Christer,Finland,Helsinki,Tyoterveyslaitos,1648
13410204400,Vuoksimaa Eero P.,Finland,Helsinki,Helsingin Yliopisto,444
14033383900,Raevuori Anu H.,Finland,Helsinki,Helsingin Yliopisto,588
19336958600,Aaltonen Sari,Finland,Helsinki,Helsingin Yliopisto,257
26435411800,Latvala Antti,Finland,Helsinki,Helsingin Yliopisto,392
26654479000,Surakka Ida L.,Finland,Helsinki,Helsingin Yliopisto,4162
35085793300,Bogl Leonie Helen,Finland,Helsinki,Institute for Molecular Medicine FIMM,181
35217924900,Huttunen Matti O.,Finland,Helsinki,National Institute for Health and Welfare,990
35235635600,Tuulio-Henriksson Annamari,Finland,Helsinki,Helsingin Yliopisto,2990
35261973900,Kujala U. M.,Finland,Jyvaskyla,University of Jyvaskyla,2481
35425466000,Koskenvuo Markku J.,Finland,Helsinki,University of Helsinki Faculty of Medicine,3638
36012823000,Tuomilehto Jaakko Jaako I.,Finland,Helsinki,National Institute for Health and Welfare,141773
36051313500,Peltonen Leena Johanna,Finland,Helsinki,Helsingin Yliopisto,92384
36078643000,Laakso M.,Finland,Kuopio,Kuopio University Hospital,81810
36519545100,Rissanen Aila M.,Finland,Helsinki,Helsingin Yliopisto,4146
37117860200,Sarin Antti Pekka,Finland,Helsinki Helsinki,Helsingin Yliopisto,751
55923195200,Lundbom Nina M.I.,Finland,Helsinki,Helsinki University Hospital,1614
55941626300,Lönnqvist Jouko Jouko,Finland,Helsinki,National Institute for Health and Welfare,7563
56425839100,Widén Elisabeth I.M.,Finland,Helsinki,Helsingin Yliopisto,1892
56523541000,Lehtima¨ki Terho J.,Finland,Tampere,Tampereen Yliopisto,1280
57202034762,Langinvainio Heimo,Finland,Helsinki,Helsingin Yliopisto,0
7005197367,Sokka Tuulikki M.,Finland,Jyvaskyla Kuopio,Jyvaskyla Central Hospital,6642
6603885868,Schleutker Johanna,Finland,Tampere,Tampereen Yliopisto,2034
7003355623,Kataja Vesa V.,Finland,Jyvaskyla,Central Finland Health Care District,6309
7003508848,Mannermaa Arto J.,Finland,Kuopio,Ita-Suomen yliopisto,3278
7004087733,Aittomäki Kristiina A.U.,Finland,Helsinki,Helsinki University Hospital,5323
7004551802,Nevanlinna Heli A.,Finland,Helsinki,Helsinki University Hospital,8632
7004554012,Winqvist Robert,Finland,Oulu,Oulun Yliopisto,1525
7102060674,Hakulinen Timo R.,Finland,Helsinki,Finnish Cancer Registry,6986
7102092260,Kosma Veli Matti,Finland,Kuopio,Ita-Suomen yliopisto,4634
12767449500,Jukkola-Vuorinen Arja,Finland,Oulu,Oulun Yliopisto,1305
35373975300,Blomqvist Carl Peter,Finland,Helsinki,Helsinki University Hospital,6664
57202063768,Pylkäs Katri,Finland,Oulu,Oulun Yliopisto,1249
57202439442,Hartikainen Jaana M.,Finland,Kuopio,Ita-Suomen yliopisto,862
35228151800,Voutilainen Mikko,Finland,Helsinki,Helsingin Yliopisto,40898
55995576100,Eerola Paula A.M.,Finland,Helsinki,Helsingin Yliopisto,38540
35228151800,Voutilainen Mikko,Finland,Helsinki,Helsingin Yliopisto,40898
12759080100,Karimäki Veikko,Finland,Helsinki,Helsinki Institute of Physics,40558
6505817089,Lassila- Perini Kati,Finland,Helsinki,Helsinki Institute of Physics,37705
6506147325,Von Ossowski Ingemar,Finland,Helsinki,Helsingin Yliopisto,1186
6507953070,Kankainen Matti,Finland,Helsinki,Helsingin Yliopisto,1177
6603626190,Satokari Reetta M.,Finland,Helsinki,University of Helsinki Faculty of Medicine,2029
6603912132,Reunanen Justus,Finland,Oulu,Oulun Yliopisto,1383
6603951574,Tynkkynen Soile S.H.,Finland,Helsinki,Valio Ltd.,1343
7003433888,Von Wright Atte Johannes,Finland,Kuopio,Ita-Suomen yliopisto,742
7005149835,Palva Airi M.,Finland,Helsinki,Helsingin Yliopisto,4294
7006544191,Saarela M. H.,Finland,Espoo,VTT Technical Research Centre of Finland,859
7006639820,Paulín Lars G.,Finland,Helsinki,University of Helsinki Institute of Biotechnology,4637
7102912002,Salminen Seppo Jaakko,Finland,Abo (Turku),Turun yliopisto,9173
12140977600,Salojärvi Jarkko T.,Finland,Helsinki,Helsingin Yliopisto,2617
16233873000,Kekkonen Riina A.,Finland,Helsinki,Valio Ltd.,1681
22935234500,Salonen Anne H.,Finland,Helsinki,Helsingin Yliopisto,2095
26221913400,Ritari Jarmo,Finland,Helsinki,Finnish Red Cross Blood Service,865
26643108800,Isolauri Erika,Finland,Abo (Turku),Turun yliopisto,8604
27967658400,Douillard Franc¸ois P.,Finland,Helsinki,Helsingin Yliopisto,621
35724343800,Jalanka-Tuovinen Jonna,Finland,Helsinki,Helsingin Yliopisto,564
