Id,Name,Country,City,University,Citations
35226930400,Bachacou Henri,France,Gif-sur-Yvette,Institut de Recherche sur les Lois Fondamentales de l'Univers,39751
35227157400,Donini Julien,France,Clermont-Ferrand,Universite d' Auvergne Clermont-FD 1,41351
35227159800,De Cecco Sandro D.,France,Paris,Universite Paris Sorbonne - Paris IV,44650
56808144900,Crescioli Francesco,France,Paris,Universite Paris Sorbonne - Paris IV,39761
56978862300,Mastrandrea Paolo,France,Grenoble,Universite Grenoble Alpes,38553
6506883851,Zerwas Dirk,France,Orsay,Laboratoire de l'Accelerateur Lineaire,38444
6602325806,Serin L.,France,Orsay,Laboratoire de l'Accelerateur Lineaire,38158
7004441173,Lucotte Arnaud,France,Grenoble,Universite Grenoble Alpes,41499
8546457000,Rousseau David,France,Orsay,Laboratoire de l'Accelerateur Lineaire,44553
16019601700,Jézéquel Stephane,France,Grenoble,Universite Grenoble Alpes,39071
24504469200,Malaescu Bogdan,France,Paris,Universite Paris Sorbonne - Paris IV,31483
35226995100,Bomben Marco,France,Paris,Universite Paris Sorbonne - Paris IV,39659
35227176800,Duflot L.,France,Orsay,Laboratoire de l'Accelerateur Lineaire,52321
35227278400,Grivaz Jean François,France,Orsay,Laboratoire de l'Accelerateur Lineaire,73101
35227516500,Laplace Sandrine,France,Paris,Universite Paris Sorbonne - Paris IV,38955
35227785300,Pallin Dominique,France,Clermont-Ferrand,Universite d' Auvergne Clermont-FD 1,46733
35227857000,Roos L.,France,Paris,Universite Paris Sorbonne - Paris IV,49277
35227983700,Schwindling J.,France,Gif-sur-Yvette,Institut de Recherche sur les Lois Fondamentales de l'Univers,40944
35228011700,Stark Jan,France,Grenoble,Universite Grenoble Alpes,47704
35228068400,Talby Mossadek,France,Marseille,Centre de Physique des Particules de Marseille,49711
35228107600,Trincaz- Duvoid Sophie,France,Paris,Universite Paris Sorbonne - Paris IV,39285
35273234200,Ocariz José,France,Paris,Universite Paris Sorbonne - Paris IV,52634
35278272300,Escalier Marc,France,Orsay,Laboratoire de l'Accelerateur Lineaire,39651
35350563300,Kozanecki W. A.,France,Gif-sur-Yvette,Institut de Recherche sur les Lois Fondamentales de l'Univers,63335
36148386200,Schwemling Ph H.,France,Gif-sur-Yvette,Institut de Recherche sur les Lois Fondamentales de l'Univers,38140
45261037300,Giraud Pierre François,France,Gif-sur-Yvette,Institut de Recherche sur les Lois Fondamentales de l'Univers,39805
55856929200,Marchiori Giovanni,France,Paris,Universite Paris Sorbonne - Paris IV,51365
55957278700,Calvet Denis,France,Clermont-Ferrand,Universite d' Auvergne Clermont-FD 1,40985
56978875400,Simion S.,France,Orsay,Laboratoire de l'Accelerateur Lineaire,35660
57203051099,Kado Marumi M.,France,Orsay,Laboratoire de l'Accelerateur Lineaire,47639
6602254276,Gossec Laure,France,Paris,Hopital Pitie Salpetriere,9353
7003489187,Claudepierre Pascal,France,Marne-la-Vallee,Universite Paris-Est,1709
7004802753,Mariette Xavier,France,Le Kremlin-Bicetre,Faculte de Medecine Paris-Sud,7616
7005496707,Combe Bernard G.,France,Montpellier,Universite de Montpellier,15248
7202226107,Pham Thao T.,France,Marseille Marseille,Hopital Sainte Marguerite,1217
16239042200,Lukas Cédric,France,Montpellier,Universite de Montpellier,1770
26643055600,D'Agostino Maria Antonietta,France,Boulogne-Billancourt Torino,"Hopital Ambroise Pare, Boulogne-Billancourt",3307
34976591800,Guillemin Francis,France,Vandoeouvre-les-Nancy,"Universite de Lorraine, Faculte de Medecine",3215
35377488600,Dougados Maxime R.,France,Paris,Universite Paris Descartes,69080
56251722900,Feydy Antoine,France,Paris,Universite Paris Descartes,1186
7004315004,Fayard Louis,France,Orsay,Laboratoire de l'Accelerateur Lineaire,38073
8546457000,Rousseau David,France,Orsay,Laboratoire de l'Accelerateur Lineaire,44553
8977995200,Formica Andrea,France,Gif-sur-Yvette,Institut de Recherche sur les Lois Fondamentales de l'Univers,34107
24347545500,Iconomidou- Fayard Lydia,France,Orsay,Laboratoire de l'Accelerateur Lineaire,35964
35226990500,Calderini Giovanni,France,Paris,Universite Paris Sorbonne - Paris IV,62970
35227157400,Donini Julien,France,Clermont-Ferrand,Universite d' Auvergne Clermont-FD 1,41351
35227670800,Lounis Abdenour,France,Orsay,Laboratoire de l'Accelerateur Lineaire,38837
35278310400,Derue Frederick,France,Paris,Universite Paris Sorbonne - Paris IV,35220
36124235000,Trocmé Benjamin,France,Grenoble,Universite Grenoble Alpes,38337
56261416800,Monnier Emmanuel,France,Marseille,Centre de Physique des Particules de Marseille,38302
6506883851,Zerwas Dirk,France,Orsay,Laboratoire de l'Accelerateur Lineaire,38444
6601965244,Wingerter- Seez Isabelle,France,Grenoble,Universite Grenoble Alpes,34469
6602325806,Serin L.,France,Orsay,Laboratoire de l'Accelerateur Lineaire,38158
7004315004,Fayard Louis,France,Orsay,Laboratoire de l'Accelerateur Lineaire,38073
7004441173,Lucotte Arnaud,France,Grenoble,Universite Grenoble Alpes,41499
7201489423,Fournier Daniel,France,Orsay,Laboratoire de l'Accelerateur Lineaire,35753
8546457000,Rousseau David,France,Orsay,Laboratoire de l'Accelerateur Lineaire,44553
8977995200,Formica Andrea,France,Gif-sur-Yvette,Institut de Recherche sur les Lois Fondamentales de l'Univers,34107
16019601700,Jézéquel Stephane,France,Grenoble,Universite Grenoble Alpes,39071
16428620600,Guyot Claude,France,Gif-sur-Yvette,Institut de Recherche sur les Lois Fondamentales de l'Univers,35142
24347545500,Iconomidou- Fayard Lydia,France,Orsay,Laboratoire de l'Accelerateur Lineaire,35964
35226990500,Calderini Giovanni,France,Paris,Universite Paris Sorbonne - Paris IV,62970
35227176800,Duflot L.,France,Orsay,Laboratoire de l'Accelerateur Lineaire,52321
35227278400,Grivaz Jean François,France,Orsay,Laboratoire de l'Accelerateur Lineaire,73101
35227785300,Pallin Dominique,France,Clermont-Ferrand,Universite d' Auvergne Clermont-FD 1,46733
35227857000,Roos L.,France,Paris,Universite Paris Sorbonne - Paris IV,49277
35227983700,Schwindling J.,France,Gif-sur-Yvette,Institut de Recherche sur les Lois Fondamentales de l'Univers,40944
35228068400,Talby Mossadek,France,Marseille,Centre de Physique des Particules de Marseille,49711
35278176800,Boonekamp Maarten,France,Gif-sur-Yvette,Institut de Recherche sur les Lois Fondamentales de l'Univers,39951
35278310400,Derue Frederick,France,Paris,Universite Paris Sorbonne - Paris IV,35220
35285663700,Besson Nathalie,France,Gif-sur-Yvette,Institut de Recherche sur les Lois Fondamentales de l'Univers,38439
35350563300,Kozanecki W. A.,France,Gif-sur-Yvette,Institut de Recherche sur les Lois Fondamentales de l'Univers,63335
36124235000,Trocmé Benjamin,France,Grenoble,Universite Grenoble Alpes,38337
36148386200,Schwemling Ph H.,France,Gif-sur-Yvette,Institut de Recherche sur les Lois Fondamentales de l'Univers,38140
55957278700,Calvet Denis,France,Clermont-Ferrand,Universite d' Auvergne Clermont-FD 1,40985
56261416800,Monnier Emmanuel,France,Marseille,Centre de Physique des Particules de Marseille,38302
56978875400,Simion S.,France,Orsay,Laboratoire de l'Accelerateur Lineaire,35660
57203051099,Kado Marumi M.,France,Orsay,Laboratoire de l'Accelerateur Lineaire,47639
6701856410,Ouraou Ahmimed,France,Gif-sur-Yvette,Institut de Recherche sur les Lois Fondamentales de l'Univers,45855
7004537381,Di Ciaccio Lucia,France,Grenoble,Universite Grenoble Alpes,44381
24504469200,Malaescu Bogdan,France,Paris,Universite Paris Sorbonne - Paris IV,31483
35226990500,Calderini Giovanni,France,Paris,Universite Paris Sorbonne - Paris IV,62970
35226995100,Bomben Marco,France,Paris,Universite Paris Sorbonne - Paris IV,39659
35227516500,Laplace Sandrine,France,Paris,Universite Paris Sorbonne - Paris IV,38955
35227857000,Roos L.,France,Paris,Universite Paris Sorbonne - Paris IV,49277
35228011700,Stark Jan,France,Grenoble,Universite Grenoble Alpes,47704
35273234200,Ocariz José,France,Paris,Universite Paris Sorbonne - Paris IV,52634
35278176800,Boonekamp Maarten,France,Gif-sur-Yvette,Institut de Recherche sur les Lois Fondamentales de l'Univers,39951
35278272300,Escalier Marc,France,Orsay,Laboratoire de l'Accelerateur Lineaire,39651
35350563300,Kozanecki W. A.,France,Gif-sur-Yvette,Institut de Recherche sur les Lois Fondamentales de l'Univers,63335
36148386200,Schwemling Ph H.,France,Gif-sur-Yvette,Institut de Recherche sur les Lois Fondamentales de l'Univers,38140
45261037300,Giraud Pierre François,France,Gif-sur-Yvette,Institut de Recherche sur les Lois Fondamentales de l'Univers,39805
55856929200,Marchiori Giovanni,France,Paris,Universite Paris Sorbonne - Paris IV,51365
56225278200,Bourdarios Claire Adam,France,Orsay,Laboratoire de l'Accelerateur Lineaire,37218
56870902200,Chevalier Laurent,France,Gif-sur-Yvette,Institut de Recherche sur les Lois Fondamentales de l'Univers,39652
56978846100,Nicolaidou Rosy,France,Gif-sur-Yvette,Institut de Recherche sur les Lois Fondamentales de l'Univers,42277
57202559221,Djama F.,France,Marseille,Centre de Physique des Particules de Marseille,38435
34572721500,Tisserand Vincent,France,Clermont-Ferrand,Universite d' Auvergne Clermont-FD 1,36956
