Id,Name,Country,City,University,Citations
7005344981,Brock Ian C.,Germany,Bonn,Universitat Bonn,52213
8212770000,Große-Knetter Joern,Germany,Gottingen,Universitat Gottingen,37773
8293419700,Stonjek Stefan,Germany,Munich,Max Planck Institut fur Physik (Werner-Heisenberg-Institut),37747
12781680300,Ferrando James,Germany,Hamburg,Deutsche Elektronen-Synchrotron,36374
13612869700,Bindi Marcello,Germany,Gottingen,Universitat Gottingen,32751
13612881400,Łobodzińska Ewelina Maria,Germany,Hamburg,Deutsche Elektronen-Synchrotron,38207
34570415800,Gregor Ingrid Maria,Germany,Hamburg,Deutsche Elektronen-Synchrotron,38200
35227087300,Cortiana Giorgio,Germany,Munich,Max Planck Institut fur Physik (Werner-Heisenberg-Institut),41775
35227370400,Hirschbuehl D.,Germany,Wuppertal,Bergische Universitat Wuppertal,43872
35227385300,Heinemann Beate,Germany,Hamburg,Deutsche Elektronen-Synchrotron,44799
35227836300,Quadt Arnulf,Germany,Gottingen,Universitat Gottingen,84436
35227958000,Stanitzki Marcel M.,Germany,Hamburg,Deutsche Elektronen-Synchrotron,37784
35228094600,Wagner Wolfgang,Germany,Aachen,Medizinische Fakultat und Universitats Klinikum Aachen,47323
35313911400,Kind Oliver Maria,Germany,Berlin,Humboldt-Universitat zu Berlin,34916
57202562075,Trefzger Thomas,Germany,Wurzburg,Julius-Maximilians-Universitat Wurzburg,48471
7004705753,Hanke P.,Germany,Heidelberg,Universitat Heidelberg,47344
7103219883,Kluge Edgar E.,Germany,Heidelberg,Universitat Heidelberg,49898
8719356400,Kroha Hubert,Germany,Munich,Max Planck Institut fur Physik (Werner-Heisenberg-Institut),40969
13906348600,Peters Klaus J.,Germany,Darmstadt,GSI Helmholtz Centre for Heavy Ion Research GmbH,52250
14634400100,Menke Sven,Germany,Munich,Max Planck Institut fur Physik (Werner-Heisenberg-Institut),42671
16020503000,Zeitnitz Christian,Germany,Wuppertal,Bergische Universitat Wuppertal,51966
31967524300,Berger Niklaus B.,Germany,Mainz,Johannes Gutenberg Universitat Mainz,47970
34975054600,Kluth Stefan,Germany,Munich,Max Planck Institut fur Physik (Werner-Heisenberg-Institut),46614
35226939400,Bechtle Philip,Germany,Bonn,Universitat Bonn,44323
35227035800,Cristinziani Markus,Germany,Bonn,Universitat Bonn,41971
35227134400,Dingfelder Jochen C.,Germany,Bonn,Universitat Bonn,45276
35227374900,Jakobs Karl,Germany,Freiburg im Breisgau,Universitat Freiburg im Breisgau,66489
35227648200,Mader Wolfgang F.,Germany,Dresden,Technische Universitat Dresden,48202
35227752800,Nagel Markus,Germany,Freiburg im Breisgau,Universitat Freiburg im Breisgau,34955
35228092800,Sundermann J. E.,Germany,Freiburg im Breisgau,Universitat Freiburg im Breisgau,40421
35230028400,Kobel Michael J.,Germany,Dresden,Technische Universitat Dresden,54294
35277690600,Walkowiak Wolfgang,Germany,Siegen,Universitat Siegen,57023
35314541700,Blum Walter,Germany,Mainz,Johannes Gutenberg Universitat Mainz,42707
36026370800,Barillari Teresa,Germany,Munich,Max Planck Institut fur Physik (Werner-Heisenberg-Institut),38113
36148386500,Schäfer Ulrich F.,Germany,Mainz,Johannes Gutenberg Universitat Mainz,39761
56024254100,Kleinknècht Konrad,Germany,Mainz,Johannes Gutenberg Universitat Mainz,62617
56438990000,Lacker H. M.,Germany,Berlin,Humboldt-Universitat zu Berlin,46687
56439016700,Kroseberg Jürgen,Germany,Bonn,Universitat Bonn,49245
56808166600,Büscher Volker,Germany,Mainz,Johannes Gutenberg Universitat Mainz,36909
56978868600,Tackmann Kerstin,Germany,Hamburg,Deutsche Elektronen-Synchrotron,37978
6603956815,Listing Joachim,Germany,Berlin,Deutsches Rheuma-Forschungszentrum,8196
7004621925,Rudwaleit Martín,Germany,Bielefeld,Klinikum Bielefeld Rosenhöhe,9909
7006480193,Zink Angela,Germany,Berlin,Charité – Universitätsmedizin Berlin,5466
7403051583,Braun Juergen,Germany,Herne,Rheumazentrum Ruhrgebiet St. Josefs-Krankenhaus,4726
7403053263,Braun Jürgen R.,Germany,Bochum,Ruhr-Universitat Bochum,10021
8545446400,Brandt Jan,Germany,Berlin,Charité – Universitätsmedizin Berlin,3364
10043334000,Baraliakos Xenofon,Germany,Bochum,Ruhr-Universitat Bochum,6215
16067018800,Kiltz Uta,Germany,Bochum,Ruhr-Universitat Bochum,1352
35373857800,Kalden Joachim Robert,Germany,Erlangen,Friedrich-Alexander-Universität Erlangen-Nürnberg,39917
35379799100,Burmester Gerd Rüdiger,Germany,Berlin,Charité – Universitätsmedizin Berlin,19380
35459714500,Hermann Kay Geert Armin,Germany,Berlin,Charité – Universitätsmedizin Berlin,2970
55408491300,Sieper Joachim,Germany,Berlin,Charité – Universitätsmedizin Berlin,16987
6508158868,Tönjes Anke,Germany,Leipzig,Universitat Leipzig,1454
6701823086,Illig Thomas,Germany,Neuherberg,Helmholtz Center Munich German Research Center for Environmental Health,11094
7102574024,Wichmann Heinz-Erich,Germany,Neuherberg,Helmholtz Center Munich German Research Center for Environmental Health,78517
16067125800,Grallert Harald,Germany,Oberschleissheim,German Center for Diabetes Research (DZD),3108
24339525500,Teumer Alexander,Germany,Greifswald,University Medicine Greifswald,1081
28267579000,Albrecht Eva,Germany,Neuherberg,Helmholtz Center Munich German Research Center for Environmental Health,445
55138342700,Gieger Christian,Germany,Neuherberg,Helmholtz Center Munich German Research Center for Environmental Health,10848
56662814100,Völzke Henry,Germany,Greifswald,University Medicine Greifswald,29330
56965303600,Stumvoll Michael W.,Germany,Leipzig,Universitat Leipzig,8825
6508236368,Macchiolo Anna,Germany,Munich,Max Planck Institut fur Physik (Werner-Heisenberg-Institut),39438
7006875836,Biebel Otmar,Germany,Munich,Ludwig-Maximilians-Universitat Munchen,84228
10042971200,Bloch Ingo,Germany,Hamburg,Deutsche Elektronen-Synchrotron,37900
12781680300,Ferrando James,Germany,Hamburg,Deutsche Elektronen-Synchrotron,36374
13612881400,Łobodzińska Ewelina Maria,Germany,Hamburg,Deutsche Elektronen-Synchrotron,38207
14056186400,Kroeninger K.,Germany,Dortmund,TU Dortmund University,30783
16401910700,Lantzsch Kerstin,Germany,Bonn,Universitat Bonn,33251
22996961300,Beck Hans Peter,Germany,Heidelberg,Universitat Heidelberg,48234
23033821300,Coniavitis Elias,Germany,Freiburg im Breisgau,Universitat Freiburg im Breisgau,33128
31967524300,Berger Niklaus B.,Germany,Mainz,Johannes Gutenberg Universitat Mainz,47970
31967708800,Lenz Teresa,Germany,Hamburg,Deutsche Elektronen-Synchrotron,41540
34570415800,Gregor Ingrid Maria,Germany,Hamburg,Deutsche Elektronen-Synchrotron,38200
34975054600,Kluth Stefan,Germany,Munich,Max Planck Institut fur Physik (Werner-Heisenberg-Institut),46614
