Source,Target,Year,Weight,Keywords
12759158300,57202563228,1992,1,['']
12759158300,57202563228,1994,1,['']
12759158300,57202563228,1995,2,"['', '']"
12759158300,57202563228,1996,1,['']
12759158300,57202563228,2002,1,"['ATLAS detector', 'Drift chambers', 'Drift tubes', 'Muon spectrometer']"
12759158300,57202563228,2009,1,"['Muon spectrometers; Micropattern gaseous detectors (MSGC, GEM, THGEM, RETHGEM, MICROMEGAS, InGrid, etc)', 'Particle tracking detectors (Gaseous detectors)', 'Trigger detetectors']"
12759158300,57202563228,2010,1,"['ATLAS experiment', 'Gas detectors', 'Micromegas', 'Muon system']"
12759158300,8086252800,1992,1,['']
12759158300,8086252800,1994,1,['']
12759158300,8086252800,1995,2,"['', '']"
12759158300,8086252800,1996,1,['']
12759158300,8086252800,2002,1,"['ATLAS detector', 'Drift chambers', 'Drift tubes', 'Muon spectrometer']"
12759158300,8086252800,2009,1,"['Muon spectrometers; Micropattern gaseous detectors (MSGC, GEM, THGEM, RETHGEM, MICROMEGAS, InGrid, etc)', 'Particle tracking detectors (Gaseous detectors)', 'Trigger detetectors']"
12759158300,8086252800,2010,1,"['ATLAS experiment', 'Gas detectors', 'Micromegas', 'Muon system']"
12759158300,6701389778,1992,1,['']
12759158300,6701389778,1995,2,"['', '']"
12759158300,6701389778,1996,1,['']
12759158300,6701389778,1994,1,['']
12759158300,55139879900,1992,1,['']
12759158300,55139879900,1994,1,['']
12759158300,55139879900,1995,2,"['', '']"
12759158300,55139879900,1996,1,['']
12759158300,55139879900,2002,1,"['ATLAS detector', 'Drift chambers', 'Drift tubes', 'Muon spectrometer']"
12759158300,55139879900,2007,2,"['ATLAS', 'Geant4', 'MDT chamber', 'Neutron background radiation', 'Neutron response', '']"
12759158300,55139879900,2009,1,"['Muon spectrometers; Micropattern gaseous detectors (MSGC, GEM, THGEM, RETHGEM, MICROMEGAS, InGrid, etc)', 'Particle tracking detectors (Gaseous detectors)', 'Trigger detetectors']"
12759158300,55139879900,2010,1,"['ATLAS experiment', 'Gas detectors', 'Micromegas', 'Muon system']"
12759158300,35227290100,1992,1,['']
12759158300,35227290100,1994,1,['']
12759158300,35227290100,1995,2,"['', '']"
12759158300,35227290100,1996,1,['']
12759158300,44861256700,1992,1,['']
12759158300,44861256700,1994,1,['']
12759158300,44861256700,1995,2,"['', '']"
12759158300,44861256700,1996,1,['']
12759158300,44861256700,2002,1,"['ATLAS detector', 'Drift chambers', 'Drift tubes', 'Muon spectrometer']"
12759158300,44861256700,2009,1,"['Muon spectrometers; Micropattern gaseous detectors (MSGC, GEM, THGEM, RETHGEM, MICROMEGAS, InGrid, etc)', 'Particle tracking detectors (Gaseous detectors)', 'Trigger detetectors']"
12759158300,44861256700,2010,1,"['ATLAS experiment', 'Gas detectors', 'Micromegas', 'Muon system']"
57202563228,8086252800,1992,1,['']
57202563228,8086252800,1994,1,['']
57202563228,8086252800,1995,2,"['', '']"
57202563228,8086252800,1996,1,['']
