Id,Name,Country,City,University,Citations
35227287700,Giokaris Nikolaos D.,Greece,Athens,University of Athens,62089
6701705920,Dedoussis George V.Z.,Greece,Athens,Harokopio University,3354
55210029300,Alexopoulos Theodoros A.,Greece,Athens,National Technical University of Athens,36577
57202563228,Fassouliotis Dimitrios,Greece,Athens,University of Athens,43353
6701389778,Papadopoulou Th D.D.,Greece,Athens,National Technical University of Athens,47519
8086252800,Kourkoumelis Christine,Greece,Athens,University of Athens,45595
12759158300,Dris Manolis A.,Greece,Athens,National Technical University of Athens,44473
35227290100,Gazis Ev N.,Greece,Athens,National Technical University of Athens,44698
44861256700,Ioannou Pavlos D.,Greece,Athens,University of Athens,37581
55139879900,Maltezos Stavros,Greece,Athens,National Technical University of Athens,39879
57202563228,Fassouliotis Dimitrios,Greece,Athens,University of Athens,43353
7007164817,Markopoulos Christos J.,Greece,Athens,University of Athens,1078
7007045263,Βoumpas Dimitrios T.,Greece,Athens Athens,Academy of Athens,6337
23473678200,Kollias George,Greece,Vari,Biomedical Sciences Research Center - Alexander Fleming,3053
35407911100,Moutsopoulos Haralampos M.,Greece,Athens,University of Athens,3851
35275841400,Manousakis-Katsikakis A.,Greece,Athens,University of Athens,38329
35228101000,Strologas John,Greece,Ioannina,Panepistimion Ioanninon,26190
14056004100,Geralis Theodoros,Greece,Athens,Demokritos National Centre for Scientific Research,42441
35227566400,Kyriakis Aristotelis,Greece,Athens,Demokritos National Centre for Scientific Research,45655
55538128300,Loukas Dimitris,Greece,Athens,Demokritos National Centre for Scientific Research,46985
35228101000,Strologas John,Greece,Ioannina,Panepistimion Ioanninon,26190
6602234471,Protonotarios Nikos I.,Greece,Athens,University of Athens Medical School,2019
6602607198,Tsatsopoulou Adalena A.,Greece,,Yannis Protonotarios Medical Centre,1983
7003501457,Deligiannis Asterios P.,Greece,Thessaloniki,Aristotle University of Thessaloniki,870
16234596700,Sevdalis Elias,Greece,Athens,University of Athens Medical School,462
35391927700,Vardas Panos E.,Greece,Ioannina,University Hospital of Ioannina,5848
35425945900,Anastasakis Aris N.,Greece,Athens,University of Athens Medical School,1122
7003787662,Filippatos Gerasimos S.,Greece,Athens,University of Athens,17981
14056004100,Geralis Theodoros,Greece,Athens,Demokritos National Centre for Scientific Research,42441
35227566400,Kyriakis Aristotelis,Greece,Athens,Demokritos National Centre for Scientific Research,45655
35285430400,Daskalakis Georgios,Greece,Athens,Demokritos National Centre for Scientific Research,38817
35285477800,Anagnostou Georgios,Greece,Athens,Demokritos National Centre for Scientific Research,38934
55538128300,Loukas Dimitris,Greece,Athens,Demokritos National Centre for Scientific Research,46985
35227287700,Giokaris Nikolaos D.,Greece,Athens,University of Athens,62089
35228101000,Strologas John,Greece,Ioannina,Panepistimion Ioanninon,26190
35584962800,Stefanis Nikos,Greece,Athens,Eginition Hospital,964
6701705920,Dedoussis George V.Z.,Greece,Athens,Harokopio University,3354
35227287700,Giokaris Nikolaos D.,Greece,Athens,University of Athens,62089
7003787662,Filippatos Gerasimos S.,Greece,Athens,University of Athens,17981
55765000752,Richter Dimitrios J.,Greece,Athens,Athens Euroclinic,373
14056004100,Geralis Theodoros,Greece,Athens,Demokritos National Centre for Scientific Research,42441
12759158300,Dris Manolis A.,Greece,Athens,National Technical University of Athens,44473
6602698033,Evangelou Ioannis,Greece,Ioannina,Panepistimion Ioanninon,37178
6603900870,Manthos Nikolaos,Greece,Ioannina,Panepistimion Ioanninon,37041
7006806499,Papadopoulos. Ioannis M.,Greece,Ioannina,Panepistimion Ioanninon,39011
14056004100,Geralis Theodoros,Greece,Athens,Demokritos National Centre for Scientific Research,42441
35227566400,Kyriakis Aristotelis,Greece,Athens,Demokritos National Centre for Scientific Research,45655
35278009000,Kokkas Panagiotis,Greece,Ioannina,Panepistimion Ioanninon,35981
35285430400,Daskalakis Georgios,Greece,Athens,Demokritos National Centre for Scientific Research,38817
35285477800,Anagnostou Georgios,Greece,Athens,Demokritos National Centre for Scientific Research,38934
55538128300,Loukas Dimitris,Greece,Athens,Demokritos National Centre for Scientific Research,46985
55210029300,Alexopoulos Theodoros A.,Greece,Athens,National Technical University of Athens,36577
55345956400,Chouridou Sofia,Greece,Thessaloniki,Aristotle University of Thessaloniki,33242
55210029300,Alexopoulos Theodoros A.,Greece,Athens,National Technical University of Athens,36577
35227287700,Giokaris Nikolaos D.,Greece,Athens,University of Athens,62089
35275841400,Manousakis-Katsikakis A.,Greece,Athens,University of Athens,38329
35228088700,Vlachos Sotirios,Greece,Athens,National Technical University of Athens,40789
