Source,Target,Year,Weight,Keywords
35228078600,56470930000,2009,1,"['Alignment', 'CMS', 'Detectors']"
35228078600,56470930000,2012,1,"['Alignment systems', 'CMS', 'Proximity sensors', 'Tiltmeters']"
35228078600,56470930000,2016,1,"['Alignment', 'CMS', 'Stability']"
35228078600,36146605800,1997,1,['']
35228078600,36146605800,1998,2,"['', '']"
35228078600,36146605800,2002,1,['']
35228078600,36146605800,1993,1,['']
35228078600,36146605800,2004,1,['']
35228078600,36146605800,1996,1,['']
35228078600,36146605800,1995,2,"['', '']"
35228078600,36146605800,2009,1,"['Alignment', 'CMS', 'Detectors']"
35228078600,36146605800,2010,1,"['Calorimeters', 'Cherenkov and transition radiation', 'Cherenkov detectors', 'Photon detectors for UV, visible and IR photons (vacuum) (photomultipliers, HPDs, others)']"
35228078600,36146605800,2012,1,"['Alignment systems', 'CMS', 'Proximity sensors', 'Tiltmeters']"
35228078600,36146605800,2016,1,"['Alignment', 'CMS', 'Stability']"
35228078600,8984628000,2009,1,"['Alignment', 'CMS', 'Detectors']"
35228078600,8984628000,2012,1,"['Alignment systems', 'CMS', 'Proximity sensors', 'Tiltmeters']"
35228078600,8984628000,2016,1,"['Alignment', 'CMS', 'Stability']"
56470930000,36146605800,2009,1,"['Alignment', 'CMS', 'Detectors']"
56470930000,36146605800,2012,1,"['Alignment systems', 'CMS', 'Proximity sensors', 'Tiltmeters']"
56470930000,36146605800,2008,1,['']
56470930000,36146605800,2007,2,"['', '']"
56470930000,36146605800,2016,1,"['Alignment', 'CMS', 'Stability']"
56470930000,8984628000,2009,1,"['Alignment', 'CMS', 'Detectors']"
56470930000,8984628000,2012,1,"['Alignment systems', 'CMS', 'Proximity sensors', 'Tiltmeters']"
56470930000,8984628000,2008,1,['']
56470930000,8984628000,2007,2,"['', '']"
56470930000,8984628000,2016,1,"['Alignment', 'CMS', 'Stability']"
36146605800,8984628000,2009,1,"['Alignment', 'CMS', 'Detectors']"
36146605800,8984628000,2012,1,"['Alignment systems', 'CMS', 'Proximity sensors', 'Tiltmeters']"
36146605800,8984628000,2008,1,['']
36146605800,8984628000,2007,2,"['', '']"
36146605800,8984628000,2016,1,"['Alignment', 'CMS', 'Stability']"
6701489743,11042324300,2009,1,"['Alignment', 'CMS', 'Detectors']"
6701489743,11042324300,2012,1,"['Alignment systems', 'CMS', 'Proximity sensors', 'Tiltmeters']"
6701489743,11042324300,2016,1,"['Alignment', 'CMS', 'Stability']"
6701489743,14719607800,2014,1,"['detectors', 'experiments', 'mass measurement', 'Neutrinos', 'short baseline']"
6701489743,14719607800,2016,1,"['CERN', 'Moving exhibiton', 'National teachers programme', 'Virtual visits']"
35278066400,14719607800,2002,1,['']
35278066400,14719607800,2003,1,['']
35278066400,14719607800,2004,1,['']
35278066400,14719607800,2005,1,['']
35278066400,14719607800,2006,7,"['', '', '', '', '', '', '']"
