Country,Source,Target,Year,Weight,Keywords
Italy,23134685200,55723305200,2016,1,"['Breast cancer', 'Low-dose maintenance chemotherapy', 'Prognosis', 'Triple negative', 'Tumor-infiltrating lymphocytes']"
Italy,8301040700,55723305200,2013,1,"['Adjuvant treatment', 'Breast cancer', 'Chemotherapy', 'Elderly', 'Endocrine nonresponsive', 'Pegylated liposomal doxorubicin']"
Italy,36046785100,55723305200,2007,1,"['Adjuvant endocrine therapy', 'Aromatase inhibitor', 'Breast cancer', 'Early relapse', 'Letrozole', 'Prognostic factors']"
Italy,36046785100,55723305200,2008,1,"['Adjuvant chemotherapy', 'Breast cancer', 'Central nervous system', 'Meningeal carcinomatosis', 'Taxane', 'Trastuzumab']"
Italy,36046785100,55723305200,2011,1,"['Aromatase inhibitor', 'Breast cancer', 'Prognostic factor', 'Tamoxifen']"
Italy,36046785100,55723305200,2014,1,['']
Italy,36046785100,55723305200,2016,3,"['', '', 'Breast cancer', 'Low-dose maintenance chemotherapy', 'Prognosis', 'Triple negative', 'Tumor-infiltrating lymphocytes']"
Italy,19833965700,55723305200,2016,1,"['Breast cancer', 'Low-dose maintenance chemotherapy', 'Prognosis', 'Triple negative', 'Tumor-infiltrating lymphocytes']"
Italy,8847473300,55723305200,2016,1,"['Breast cancer', 'Low-dose maintenance chemotherapy', 'Prognosis', 'Triple negative', 'Tumor-infiltrating lymphocytes']"
Italy,6603909294,55723305200,2011,1,"['Aromatase inhibitor', 'Breast cancer', 'Prognostic factor', 'Tamoxifen']"
Italy,7006986931,55723305200,2011,1,"['Aromatase inhibitor', 'Breast cancer', 'Prognostic factor', 'Tamoxifen']"
Italy,55723305200,7004815101,2007,1,['']
Italy,55723305200,7004815101,2008,1,['']
Italy,55723305200,7004815101,2009,1,"['Aromatase inhibitor', 'Bone fracture', 'Hormonal therapy', 'Letrozole', 'Tamoxifen']"
Italy,55723305200,7004815101,2011,2,"['', 'Aromatase inhibitor', 'Breast cancer', 'Prognostic factor', 'Tamoxifen']"
Italy,55723305200,7004815101,2012,1,['']
Italy,55723305200,7004815101,2013,1,"['Adjuvant treatment', 'Breast cancer', 'Chemotherapy', 'Elderly', 'Endocrine nonresponsive', 'Pegylated liposomal doxorubicin']"
Italy,55723305200,7004815101,2014,2,"['Aromatase inhibitor', 'Breast cancer', 'Endocrine therapy', 'Side effects', '']"
Italy,55723305200,7004815101,2016,3,"['', 'Breast cancer', 'Low-dose maintenance chemotherapy', 'Prognosis', 'Triple negative', 'Tumor-infiltrating lymphocytes', '']"
Italy,55723305200,57203175231,2013,1,"['Adjuvant treatment', 'Breast cancer', 'Chemotherapy', 'Elderly', 'Endocrine nonresponsive', 'Pegylated liposomal doxorubicin']"
