Source,Target,Year,Weight,Keywords
7005116419,7006564124,2010,3,"['Cardiac device infection', 'Cardiac-device endocarditis', 'Endocarditis', 'Implantable cardioverter-defibrillator infection', 'Pacemaker infection', '', '']"
7005116419,7006564124,2011,1,"['Automated-external defibrillators', 'Cardiopulmonary resuscitation', 'Out-of-hospital cardiac arrest Sudden cardiac death', 'Pre-hospital emergency care', 'Resuscitation', 'Ventricular fibrillation']"
7005116419,7006564124,2012,1,"['consent', 'ICD', 'patient comprehension', 'patient education']"
7005116419,7006564124,2013,2,"['Cost analysis of troponin testing', 'Duplicate troponin testing', 'Inappropriate troponin testing', 'Troponin T', '']"
7403471036,7006564124,2007,1,"['Antibodies', 'Cardiomyopathy', 'Immunology', 'Inflammation']"
6701433479,7201506609,2007,3,"['Ireland', 'Variant Creutzfeldt-Jakob disease', '', 'Consultation', 'Discharge', 'In-patient', 'Management', 'Neurology', 'Referral']"
6701433479,7201506609,2008,4,"['', 'Disability scales', 'Multiple sclerosis', 'Multiple sclerosis functional composite', 'Multiple sclerosis impact scale', 'Self-report measures', '', 'Alternative', 'Clinic', 'Complementary', 'Cost', 'Neurological', 'Therapy']"
6701433479,7201506609,2009,5,"['', '', 'Cost', 'Disease-modifying therapies', 'Progressive multiple sclerosis', 'Stopping criteria', '', 'BK virus', 'Multiple sclerosis', 'Natalizumab', 'Reactivation']"
6701433479,7201506609,2010,4,"['Consults', 'Emergency department', 'Inpatient', 'Neurology', 'Outpatient', 'Referrals', 'Attention', 'Cognition', 'Event-related potentials, auditory', 'Event-related potentials, visual', 'Multiple sclerosis', 'Neuropsychology', 'Auditory', 'Cognition', 'Evoked potentials', 'Multiple sclerosis', 'Neuropsychology', 'Visual', '']"
6701433479,7201506609,2011,4,"['', 'Attention', 'Auditory event-related potentials', 'Cognition', 'Multiple sclerosis', 'Neuropsychology', 'Visual event-related potentials', 'Auditory event-related potentials', 'Cognition', 'Longitudinal', 'Multiple sclerosis', 'Neuropsychology', 'Visual event-related potentials', 'lumbar puncture', 'magnetic resonance imaging (MRI)', 'multiple sclerosis', 'neuroinflammation clinic', 'NICE guidelines', 'time to diagnosis']"
6701433479,7201506609,2012,6,"['', 'Blood patch', 'CSF', 'Headache', 'Lumbar puncture', 'disease modifying therapies', 'immunology', 'multiple sclerosis', '', '', '']"
6701433479,7201506609,2013,4,"['', 'CSF oligoclonal bands', 'McDonald criteria', 'Primary-progressive multiple sclerosis', 'Cholecalciferol', 'Clinical trial', 'Clinically isolated syndrome', 'Immunomodulation', 'Multiple sclerosis', 'Vitamin D', 'anxiety', 'Beck Anxiety Inventory', 'Multiple sclerosis', 'neuropsychology', 'symptom overlap']"
6701433479,7201506609,2015,1,"['Brief International Cognitive Assessment in MS (BICAMS)', 'Cognition', 'Cognitive impairment', 'Multiple sclerosis', 'Neuropsychological assessment']"
6701433479,7201506609,2014,1,"['Direct cost', 'Economic cost', 'Indirect cost', 'Multiple sclerosis', 'Relapse']"
6701433479,7201506609,2016,1,['']
6701433479,7201506609,2017,1,"['Age of onset', 'Epidemiology', 'Incidence', 'Multiple sclerosis', 'Sex-ratio']"
6701433479,7201506609,2018,2,"['Cognitive function', 'Electroencephalography', 'Longitudinal', 'Machine learning', 'Multiple sclerosis', 'Oddball paradigm', 'Multiple sclerosis', 'outcome measurement']"
54384980500,7403952214,2007,5,"['Attention', 'Dysbindin', 'Memory', 'Schizophrenia', 'BDNF', 'Cognition', 'Memory', 'Schizophrenia', '', 'DAO', 'Depression/anxiety', 'Psychosis', 'Susceptibility genes', 'Association', 'DAO', 'DAOA', 'Epistasis', 'Schizophrenia']"
