Country,Source,Target,Year,Weight,Keywords
Germany,8545446400,7006631752,2016,1,['']
Germany,35379799100,7006631752,2012,1,['']
Germany,35379799100,7006631752,2016,1,['']
Germany,7403051583,7006631752,2007,1,"['Clinical measurements', 'Core set', 'Domains', 'Instruments', 'Psoriatic arthritis']"
Germany,7004621925,7006631752,2014,2,"['', '']"
Germany,7004621925,7006631752,2016,1,['']
Germany,7403053263,7006631752,2012,1,['']
Germany,7403053263,7006631752,2014,2,"['', '']"
Germany,7403053263,7006631752,2016,2,"['', '']"
Germany,55408491300,7006631752,2012,1,['']
Germany,55408491300,7006631752,2014,2,"['', '']"
Germany,55408491300,7006631752,2016,2,"['', '']"
Germany,7006480193,7006631752,2012,1,['']
Germany,7006480193,7006631752,2016,1,['']
Germany,7006631752,10043334000,2014,1,['']
Germany,57191195175,26631163000,2011,2,"['', 'Association study', 'Genetic susceptibility', 'Neoplasms']"
Germany,57191195175,26631163000,2012,2,"['', '']"
Germany,57191195175,26631163000,2013,1,['']
Germany,57191195175,26631163000,2015,2,"['', '']"
Germany,57191195175,26631163000,2016,1,"['Association study', 'Common variants', 'Ductal carcinoma in situ', 'Genetic predisposition']"
Germany,57191195175,26631163000,2014,1,['']
Germany,57203175471,26631163000,2011,1,"['Association study', 'Genetic susceptibility', 'Neoplasms']"
Germany,57203175471,26631163000,2012,4,"['', '11q13', 'Breast cancer susceptibility', 'Genome-wide association', 'Hormone receptor status', 'Polymorphisms', 'Risk factors', '', '']"
Germany,57203175471,26631163000,2013,1,['']
Germany,57203175471,26631163000,2015,2,"['', '']"
Germany,57203175471,26631163000,2016,1,"['Association study', 'Common variants', 'Ductal carcinoma in situ', 'Genetic predisposition']"
Germany,57203175471,26631163000,2014,1,['']
Germany,57194781271,26631163000,2015,4,"['', '', '', '']"
Germany,57194781271,26631163000,2014,1,['']
Germany,7003320928,26631163000,2011,2,"['', 'Association study', 'Genetic susceptibility', 'Neoplasms']"
Germany,7003320928,26631163000,2012,4,"['', '11q13', 'Breast cancer susceptibility', 'Genome-wide association', 'Hormone receptor status', 'Polymorphisms', 'Risk factors', '', '']"
Germany,7003320928,26631163000,2013,1,['']
Germany,7003320928,26631163000,2014,1,['']
Germany,7003320928,26631163000,2015,3,"['', '', '']"
Germany,7003320928,26631163000,2016,1,"['Association study', 'Common variants', 'Ductal carcinoma in situ', 'Genetic predisposition']"
Germany,57201387616,26631163000,2015,1,['']
Germany,18535786100,26631163000,2015,2,"['', '']"
Germany,26631163000,57190092965,2014,1,['']
Germany,26631163000,57190092965,2015,3,"['', '', '']"
Germany,26631163000,7004145329,2012,3,"['', '11q13', 'Breast cancer susceptibility', 'Genome-wide association', 'Hormone receptor status', 'Polymorphisms', 'Risk factors', '']"
Germany,26631163000,7004145329,2013,1,['']
Germany,26631163000,7004145329,2015,3,"['', '', '']"
Germany,26631163000,10040157900,2011,1,['']
Germany,26631163000,10040157900,2012,4,"['', '11q13', 'Breast cancer susceptibility', 'Genome-wide association', 'Hormone receptor status', 'Polymorphisms', 'Risk factors', '', '']"
Germany,26631163000,10040157900,2013,1,['']
Germany,26631163000,10040157900,2014,1,['']
Germany,26631163000,57191367893,2011,1,['']
Germany,26631163000,57191367893,2012,3,"['', '11q13', 'Breast cancer susceptibility', 'Genome-wide association', 'Hormone receptor status', 'Polymorphisms', 'Risk factors', '']"
Germany,26631163000,57191367893,2013,1,['']
Germany,26631163000,57191367893,2015,1,['']
Germany,26631163000,57191367893,2014,1,['']
Germany,26631163000,57191367893,2016,1,"['Association study', 'Common variants', 'Ductal carcinoma in situ', 'Genetic predisposition']"
Germany,26631163000,57191367893,2018,1,['']
Germany,26631163000,7006619880,2011,2,"['', 'Association study', 'Genetic susceptibility', 'Neoplasms']"
Germany,26631163000,7006619880,2012,2,"['11q13', 'Breast cancer susceptibility', 'Genome-wide association', 'Hormone receptor status', 'Polymorphisms', 'Risk factors', '']"
Germany,26631163000,7006619880,2013,1,['']
Germany,26631163000,7006619880,2014,1,['']
Germany,26631163000,7006619880,2015,3,"['', '', '']"
Germany,26631163000,7006619880,2016,1,"['Association study', 'Common variants', 'Ductal carcinoma in situ', 'Genetic predisposition']"
Germany,26631163000,7006409966,2011,2,"['', 'Association study', 'Genetic susceptibility', 'Neoplasms']"
Germany,26631163000,7006409966,2012,3,"['', '11q13', 'Breast cancer susceptibility', 'Genome-wide association', 'Hormone receptor status', 'Polymorphisms', 'Risk factors', '']"
Germany,26631163000,7006409966,2014,1,['']
Germany,26631163000,7006409966,2015,2,"['', '']"
Germany,26631163000,7004306193,2011,2,"['', 'Association study', 'Genetic susceptibility', 'Neoplasms']"
Germany,26631163000,7004306193,2012,2,"['11q13', 'Breast cancer susceptibility', 'Genome-wide association', 'Hormone receptor status', 'Polymorphisms', 'Risk factors', '']"
Germany,26631163000,7004306193,2014,1,['']
Germany,26631163000,7004306193,2015,1,['']
Germany,26631163000,7004306193,2016,1,"['Association study', 'Common variants', 'Ductal carcinoma in situ', 'Genetic predisposition']"
Germany,26631163000,55581184800,2011,2,"['', 'Association study', 'Genetic susceptibility', 'Neoplasms']"
Germany,26631163000,55581184800,2012,4,"['', '11q13', 'Breast cancer susceptibility', 'Genome-wide association', 'Hormone receptor status', 'Polymorphisms', 'Risk factors', '', '']"
Germany,26631163000,55581184800,2013,1,['']
Germany,26631163000,55581184800,2014,1,['']
Germany,26631163000,55581184800,2015,3,"['', '', '']"
