Country,Source,Target,Year,Weight,Keywords
Italy,57109998600,6602540690,2017,1,"['1,3,4-oxadiazole', 'docking', 'hCA', 'human carbonic anhydrase', 'hybrids', 'N-acylbenzenesulfonamide']"
Italy,57109998600,6602540690,2018,1,"['Anticancer', 'Carbonic anhydrases', 'Dental cells', 'Pyrazoline', 'Sulfonamide']"
Italy,57109998600,55556260600,2017,1,"['1,3,4-oxadiazole', 'docking', 'hCA', 'human carbonic anhydrase', 'hybrids', 'N-acylbenzenesulfonamide']"
Italy,57109998600,55556260600,2018,1,"['Anticancer', 'Carbonic anhydrases', 'Dental cells', 'Pyrazoline', 'Sulfonamide']"
Italy,57109998600,35518184300,2017,1,"['1,3,4-oxadiazole', 'docking', 'hCA', 'human carbonic anhydrase', 'hybrids', 'N-acylbenzenesulfonamide']"
Italy,57109998600,35518184300,2018,1,"['Anticancer', 'Carbonic anhydrases', 'Dental cells', 'Pyrazoline', 'Sulfonamide']"
Italy,8089976900,6602540690,2017,1,"['Carbonic anhydrase', 'Inhibitor', 'Isoform selectivity', 'Saccharin', 'Secondary/tertiary sulfonamide']"
Italy,8089976900,55556260600,2017,1,"['Carbonic anhydrase', 'Inhibitor', 'Isoform selectivity', 'Saccharin', 'Secondary/tertiary sulfonamide']"
Italy,8089976900,6504802560,2015,1,['']
Italy,8089976900,6504802560,2017,1,"['Carbonic anhydrase', 'Inhibitor', 'Isoform selectivity', 'Saccharin', 'Secondary/tertiary sulfonamide']"
Italy,8089976900,35518184300,2017,1,"['Carbonic anhydrase', 'Inhibitor', 'Isoform selectivity', 'Saccharin', 'Secondary/tertiary sulfonamide']"
Italy,7103393363,6504802560,2015,1,['']
Italy,7103393363,6504802560,2014,1,['']
Italy,7007008860,6504802560,2015,1,['']
Italy,7007008860,6504802560,2014,1,['']
Italy,8897816700,6504802560,2015,1,['']
Italy,8897816700,6504802560,2014,1,['']
Italy,6602540690,35413953700,2013,1,['']
Italy,6602540690,6602185425,2013,1,['']
Italy,6602540690,6602185425,2017,2,"['Carbonic anhydrase', 'Inhibitor', 'Mercaptan', 'Thiophene-2-sulfonamide', 'Carbonic anhydrase', 'Inhibitor', 'Isoform selectivity', 'Saccharin', 'Secondary/tertiary sulfonamide']"
Italy,6602540690,57190377177,2018,1,"['Carbonic anhydrase', 'Conjugate', 'Dipeptide', 'Homosulfanilamide', 'Inhibitor']"
Italy,6602540690,55655757600,2015,1,['']
Italy,6602540690,35876383700,2018,1,"['Carbonic anhydrase', 'Conjugate', 'Dipeptide', 'Homosulfanilamide', 'Inhibitor']"
Italy,35413953700,55556260600,2013,1,['']
