Id,Name,Country,City,University,Citations
6504802560,Žalubovskis Raivis,Latvia,Riga,Latvian Institute of Organic Synthesis,352
6602540690,Kazaks Andris,Latvia,Riga,Latvian Biomedical Research and Study Centre,389
35518184300,Tars Kaspars,Latvia,Riga,Latvian Biomedical Research and Study Centre,766
55556260600,Leitans Janis,Latvia,Riga,Latvian Biomedical Research and Study Centre,189
7004154334,Piskunov Sergei N.,Latvia,Riga,Institute of Solid State Physics University of Latvia,644
7004188422,Zhukovskii Yu F.,Latvia,Riga,Institute of Solid State Physics University of Latvia,924
7005635365,Eglitis R. I.,Latvia,Riga,Institute of Solid State Physics University of Latvia,484
7402986699,Popov A. I.,Latvia,Riga,Institute of Solid State Physics University of Latvia,587
8514048300,Mastrikov Yuri A.,Latvia,Riga,Institute of Solid State Physics University of Latvia,871
55935859300,Gryaznov Denis,Latvia,Riga,Institute of Solid State Physics University of Latvia,518
25641355500,Laucevičius Alexandras,Latvia,,Latvian Society of Cardiology,64
26535963800,Jaudzems Kristaps,Latvia,Riga,Latvian Institute of Organic Synthesis,423
56109412700,Otikovs Martins,Latvia,Riga,Latvian Institute of Organic Synthesis,0
6507498589,Pilmane Māra,Latvia,Riga,Riga Stradins University,177
57201274512,Leja Mārcis,Latvia,Riga,University of Latvia,173
16417489700,Pahnke Jens,Latvia,Riga,University of Latvia,2597
6602259794,Erglis Andrejs,Latvia,Riga,University of Latvia,9888
6602551090,Kalnins Uldis V.,Latvia,Riga,University of Latvia,2345
6603455162,Jurika Edite,Latvia,Riga,University of Latvia,82
6701366586,Rudzite Vera K.,Latvia,Riga,University of Latvia,281
8049349300,Trusinskis Karlis,Latvia,Riga,Pauls Stradins Clinical University Hospital,130
7003465789,Linē A.,Latvia,Riga,Latvian Biomedical Research and Study Centre,804
55229724500,Lukss Arita,Latvia,Jelgava,Latvia University of Life Sciences and Technologies,33
6506521858,Nikodemus Oļģerts,Latvia,Riga,University of Latvia,41
6508140615,Tabors Guntis,Latvia,Riga,University of Latvia,41
36056464400,Frolova Marina,Latvia,Riga,Latvian Environment,325
