Source,Target,Year,Weight,Keywords
14056134900,12645157700,2018,2,"['', 'App', 'ARIA', 'Asthma', 'Care pathways', 'MASK', 'mHealth', 'Rhinitis']"
14056134900,12778353500,2011,1,"['Atopic dermatitis', 'Candida', 'Malassezia', 'Yeast']"
14056134900,12778353500,2018,1,"['App', 'ARIA', 'Asthma', 'Care pathways', 'MASK', 'mHealth', 'Rhinitis']"
12645157700,12778353500,2011,1,"['Allergic asthma', 'Children', 'Exacerbation', 'Remission', 'T-regulatory cells']"
12645157700,12778353500,2018,1,"['App', 'ARIA', 'Asthma', 'Care pathways', 'MASK', 'mHealth', 'Rhinitis']"
8947481600,8947481500,2018,1,['']
6701740640,35584466700,2008,1,['']
14056134900,12645157700,2018,2,"['', 'App', 'ARIA', 'Asthma', 'Care pathways', 'MASK', 'mHealth', 'Rhinitis']"
14056134900,12778353500,2011,1,"['Atopic dermatitis', 'Candida', 'Malassezia', 'Yeast']"
14056134900,12778353500,2018,1,"['App', 'ARIA', 'Asthma', 'Care pathways', 'MASK', 'mHealth', 'Rhinitis']"
12645157700,12778353500,2011,1,"['Allergic asthma', 'Children', 'Exacerbation', 'Remission', 'T-regulatory cells']"
12645157700,12778353500,2018,1,"['App', 'ARIA', 'Asthma', 'Care pathways', 'MASK', 'mHealth', 'Rhinitis']"
14066310500,55984928700,2008,1,"['Angle', 'Circular scale', 'Information', 'Measurement', 'Simulation']"
14066310500,55984928700,2009,1,['']
14066310500,55984928700,2010,2,"['Angle standard', 'etalon', 'measurement', 'traceability', 'uncertainty', '']"
14066310500,55984928700,2011,1,"['Angle', 'Calibration', 'Circular scales', 'Reference measure']"
14066310500,55984928700,2013,1,"['Accuracy', 'Angle measuring system', 'Circular scales', 'Measurement', 'Mechatronic information systems', 'Rotary encoders']"
14066310500,55984928700,2012,1,['']
10039632900,26635600400,2012,1,"['Intelligent system', 'Model', 'Multiple criteria analysis', 'Passive House']"
10039632900,54409388600,2009,1,"['Ecology', 'Energy sector', 'Environment factors', 'Infrastructure', 'Model', 'Multiple criteria method', 'Valuation']"
10039632900,35113865300,2009,1,"['Ecology', 'Energy sector', 'Environment factors', 'Infrastructure', 'Model', 'Multiple criteria method', 'Valuation']"
10039632900,23398089400,2012,1,"['Intelligent system', 'Model', 'Multiple criteria analysis', 'Passive House']"
10039632900,8986372800,2012,1,"['Intelligent system', 'Model', 'Multiple criteria analysis', 'Passive House']"
10039632900,8862380800,2013,1,"['alternatives', 'construction', 'crisis management', 'forecasting', 'global development trends', 'Lithuania', 'Model', 'quantitative and qualitative methods', 'real estate', 'System']"
10039632900,55511650100,2013,1,"['alternatives', 'construction', 'crisis management', 'forecasting', 'global development trends', 'Lithuania', 'Model', 'quantitative and qualitative methods', 'real estate', 'System']"
10039632900,8837264700,2013,1,"['alternatives', 'construction', 'crisis management', 'forecasting', 'global development trends', 'Lithuania', 'Model', 'quantitative and qualitative methods', 'real estate', 'System']"
10039632900,55926913900,2009,1,"['Ecology', 'Energy sector', 'Environment factors', 'Infrastructure', 'Model', 'Multiple criteria method', 'Valuation']"
10039632900,55926913900,2012,1,"['Intelligent system', 'Model', 'Multiple criteria analysis', 'Passive House']"
10039632900,55926913900,2013,1,"['alternatives', 'construction', 'crisis management', 'forecasting', 'global development trends', 'Lithuania', 'Model', 'quantitative and qualitative methods', 'real estate', 'System']"
10039632900,42161424300,2012,1,"['Intelligent system', 'Model', 'Multiple criteria analysis', 'Passive House']"
10039632900,23095801300,2013,1,"['alternatives', 'construction', 'crisis management', 'forecasting', 'global development trends', 'Lithuania', 'Model', 'quantitative and qualitative methods', 'real estate', 'System']"
25932253700,11139054200,2016,1,"['Aggregate weights', 'Entropy', 'Integrated method', 'Ranking']"
25932253700,31168159100,2016,1,"['Aggregate weights', 'Entropy', 'Integrated method', 'Ranking']"
25932253700,55569886600,2016,1,"['Aggregate weights', 'Entropy', 'Integrated method', 'Ranking']"
26635600400,35113865300,2010,1,"['e-Examination', 'e-Learning', 'e-Self-assessment', 'Historical information', 'Intelligent system', 'Reliability of results', 'Voice stress analysis']"
26635600400,23008827500,2010,1,"['e-Examination', 'e-Learning', 'e-Self-assessment', 'Historical information', 'Intelligent system', 'Reliability of results', 'Voice stress analysis']"
26635600400,36493878900,2011,1,"['Decision support system', 'Historical information', ""Maslow's Hierarchy of Needs"", 'Negative stress', 'Recommendations', 'Stress recognition', 'Voice stress analysis']"
26635600400,23398089400,2012,1,"['Intelligent system', 'Model', 'Multiple criteria analysis', 'Passive House']"
26635600400,8986372800,2012,1,"['Intelligent system', 'Model', 'Multiple criteria analysis', 'Passive House']"
26635600400,6603800874,2011,1,"['Decision support system', 'Historical information', ""Maslow's Hierarchy of Needs"", 'Negative stress', 'Recommendations', 'Stress recognition', 'Voice stress analysis']"
26635600400,55926913900,2010,1,"['e-Examination', 'e-Learning', 'e-Self-assessment', 'Historical information', 'Intelligent system', 'Reliability of results', 'Voice stress analysis']"
26635600400,55926913900,2011,1,"['Decision support system', 'Historical information', ""Maslow's Hierarchy of Needs"", 'Negative stress', 'Recommendations', 'Stress recognition', 'Voice stress analysis']"
26635600400,55926913900,2012,1,"['Intelligent system', 'Model', 'Multiple criteria analysis', 'Passive House']"
26635600400,42161424300,2012,1,"['Intelligent system', 'Model', 'Multiple criteria analysis', 'Passive House']"
26635600400,23134318000,2010,1,"['e-Examination', 'e-Learning', 'e-Self-assessment', 'Historical information', 'Intelligent system', 'Reliability of results', 'Voice stress analysis']"
26635600400,57197894065,2010,1,"['e-Examination', 'e-Learning', 'e-Self-assessment', 'Historical information', 'Intelligent system', 'Reliability of results', 'Voice stress analysis']"
26635600400,57197894065,2011,1,"['Decision support system', 'Historical information', ""Maslow's Hierarchy of Needs"", 'Negative stress', 'Recommendations', 'Stress recognition', 'Voice stress analysis']"
26635600400,36137569200,2010,1,"['e-Examination', 'e-Learning', 'e-Self-assessment', 'Historical information', 'Intelligent system', 'Reliability of results', 'Voice stress analysis']"
26635600400,43761520600,2011,1,"['Decision support system', 'Historical information', ""Maslow's Hierarchy of Needs"", 'Negative stress', 'Recommendations', 'Stress recognition', 'Voice stress analysis']"
26635600400,43761686500,2011,1,"['Decision support system', 'Historical information', ""Maslow's Hierarchy of Needs"", 'Negative stress', 'Recommendations', 'Stress recognition', 'Voice stress analysis']"
25927559700,8932012000,2008,1,"['Construction', 'MCDA', 'Project', 'Synthesis method']"
41862377500,11139054200,2011,1,"['Additive ratio assessment', 'Alternative', 'ARAS', 'Decision making', 'Entropy', 'Foundation', 'MCDM', 'Multiple criteria', 'Operation research', 'Pile-columns', 'Weights']"
41862377500,11139054200,2012,2,"['construction site', 'indicators', 'pile-columns', 'regression analysis', 'technology', 'AHP', 'ARAS', 'Construction site', 'COPRAS', 'Integrated weights', 'MCDM', 'Multiple criteria', 'Pile-columns', 'Technology', 'The expert judgement method', 'TOPSIS']"
41862377500,8986372800,2012,2,"['construction site', 'indicators', 'pile-columns', 'regression analysis', 'technology', 'AHP', 'ARAS', 'Construction site', 'COPRAS', 'Integrated weights', 'MCDM', 'Multiple criteria', 'Pile-columns', 'Technology', 'The expert judgement method', 'TOPSIS']"
41862377500,24330207000,2012,2,"['construction site', 'indicators', 'pile-columns', 'regression analysis', 'technology', 'AHP', 'ARAS', 'Construction site', 'COPRAS', 'Integrated weights', 'MCDM', 'Multiple criteria', 'Pile-columns', 'Technology', 'The expert judgement method', 'TOPSIS']"
11139049000,23148421200,2007,1,"['Lithuania', 'Multi-objective optimization', 'Normalized ratios', 'Poland', 'Reference point theory', 'The MOORA method', 'Transition economy']"
11139049000,55956587100,2010,1,"['Construction management', 'Correlation', 'Criteria', 'Euclidean distance', 'Mahalanobis distance', 'MCDM', 'TOPSIS', 'TOPSIS-M']"
11139049000,55956587100,2011,1,"['congruence of ranking results', 'COPRAS', 'MCDM', 'TOPSIS', 'VIKOR']"
11139049000,55956587100,2012,2,"['', 'Comparison of ranking results', 'COPRAS-F', 'Fuzzy sets', 'MCDM', 'Rank correlation', 'Redevelopment of derelict buildings', 'TOPSIS-F', 'VIKOR-F']"
11139049000,11139054200,2012,1,['']
11139049000,11139054200,2013,2,"['Building design', 'MCDM', 'MOORA', 'MULTIMOORA', 'Robustness', 'WASPAS', 'Building facade', 'MCDM', 'MOORA', 'WASPAS']"
11139049000,11139054200,2015,2,"['AHP', 'Construction site', 'Fuzzy AHP', 'Key performance attributes', 'Multi-attribute decision making (MADM)', 'Shopping centre', 'WASPAS-F', 'Contractor selection', 'Grey relations', 'Multiple attribute decision making (MADM)', 'WASPAS-G', 'Weighted aggregated sum product assessment (WASPAS)']"
11139049000,11139054200,2016,3,"['CODAS', 'Euclidean distance', 'MADM', 'MCDM', 'Multi-criteria decision-making', 'Taxicab distance', 'Decision-making', 'Engineering', 'Engineering economic', 'Hybrid MCDM', 'Industrial engineering', 'Literature review', 'MCDM', 'Decision-making', 'Hybrid MCDM HMCDM', 'Multiple criteria decision-making (MCDM)', 'Sustainability']"
11139049000,11139054200,2017,2,"['EDAS method', 'Environmental criteria', 'Interval type-2 fuzzy sets', 'Multi-criteria decision-making', 'Order allocation', 'Supplier evaluation', 'EDAS', 'MCDM', 'Multi-criteria decision-making', 'normal distribution', 'stochastic MCDM']"
11139049000,11139054200,2018,2,"['Fuzzy EDAS', 'Fuzzy sets', 'Group decision-making', 'MADM', 'MCDM', 'Multi-criteria decision-making', 'Subcontractor evaluation', 'Criteria weights', 'Group decision-making', 'Interval type-2 fuzzy set (IT2FS)', 'Multi-criteria decision-making (MCDM)', 'Step-wise Weight Assessment Ratio Analysis (SWARA)', 'Subjective weights']"
11139049000,6507778176,2017,1,"['Cost estimation', 'Hybrid model', 'Multivariate regression', 'Neural network', 'Shovel machine']"
