Country,Source,Target,Year,Weight,Keywords
Netherlands,6604023299,12778353500,2008,1,"['ARIA', 'Asthma', 'Guideline', 'Management', 'Rhinitis']"
Netherlands,35355799700,6506815732,2012,1,"['allergy', 'asthma', 'inhalant', 'rhinitis', 'skin prick test']"
Netherlands,35355799700,12645157700,2017,2,"['Allergic rhinitis', 'practice guideline', 'Advocacy', 'Allergy', 'Asthma', 'EUFOREA', 'Mobile health technology']"
Netherlands,6701740640,7007048331,2008,1,['']
Netherlands,6701740640,24437068500,2017,1,['']
Netherlands,6701740640,6603049309,2018,1,"['Europe', 'Financial crisis', 'Health inequalities', 'Morbidity', 'Mortality']"
Netherlands,6701740640,55762742200,2018,1,"['Europe', 'Financial crisis', 'Health inequalities', 'Morbidity', 'Mortality']"
Netherlands,7007048331,35584466700,2008,1,['']
Netherlands,6604023299,12778353500,2008,1,"['ARIA', 'Asthma', 'Guideline', 'Management', 'Rhinitis']"
Netherlands,35355799700,6506815732,2012,1,"['allergy', 'asthma', 'inhalant', 'rhinitis', 'skin prick test']"
Netherlands,35355799700,12645157700,2017,2,"['Allergic rhinitis', 'practice guideline', 'Advocacy', 'Allergy', 'Asthma', 'EUFOREA', 'Mobile health technology']"
Netherlands,6602244946,7005712245,2009,1,"['Biomonitoring', 'Evaluation procedures', 'Spatiotemporal analyses', 'Statistics']"
Romania,57201020933,14056134900,2018,1,['']
Romania,57201020933,12645157700,2017,2,"['Allergic rhinitis', 'practice guideline', 'Advocacy', 'Allergy', 'Asthma', 'EUFOREA', 'Mobile health technology']"
Romania,57201020933,12645157700,2018,1,['']
Romania,57201020933,12778353500,2010,1,"['ARIA', 'asthma', 'EAACI', 'EFA', 'IPCRG', 'rhinitis']"
Romania,57201020933,14056134900,2018,1,['']
Romania,57201020933,12645157700,2017,2,"['Allergic rhinitis', 'practice guideline', 'Advocacy', 'Allergy', 'Asthma', 'EUFOREA', 'Mobile health technology']"
Romania,57201020933,12645157700,2018,1,['']
Romania,57201020933,12778353500,2010,1,"['ARIA', 'asthma', 'EAACI', 'EFA', 'IPCRG', 'rhinitis']"
France,55160889400,14056134900,2018,1,"['App', 'ARIA', 'Asthma', 'Care pathways', 'MASK', 'mHealth', 'Rhinitis']"
France,55160889400,12645157700,2018,1,"['App', 'ARIA', 'Asthma', 'Care pathways', 'MASK', 'mHealth', 'Rhinitis']"
France,55160889400,12778353500,2018,1,"['App', 'ARIA', 'Asthma', 'Care pathways', 'MASK', 'mHealth', 'Rhinitis']"
France,55369561800,6506815732,2013,1,"['Actinidin', 'allergens', 'component resolved diagnosis', 'diagnosis', 'food allergy', 'ImmunoCAP', 'kiwifruit', 'skin prick test']"
