Source,Target,Year,Weight,Keywords
54391080500,8920285000,2013,1,"['Hepatitis', 'Liver cell damage', 'ROS', 'Virus']"
54391080500,8920285000,2017,2,"['Gclc', 'glutathione', 'glycolysis', 'GSH', 'metabolic reprogramming', 'metabolism', 'mTOR', 'Myc', 'NFAT', 'reactive oxygen species', 'ROS', 'T cells', '']"
54391080500,8920285000,2018,1,"['B cell', 'HIF-1α', 'immunometabolism', 'lymphoma', 'Myc']"
54391080500,55555422100,2013,1,"['Hepatitis', 'Liver cell damage', 'ROS', 'Virus']"
54391080500,55555422100,2014,1,"['BATF', 'hepatitis', 'immunopathology', 'IRF4', 'LCMV']"
54391080500,55555422100,2015,1,"['Chronic infection', 'Humoral immunity', 'LCMV', 'STAT3', 'T follicular helper cells']"
8920285000,55555422100,2013,1,"['Hepatitis', 'Liver cell damage', 'ROS', 'Virus']"
8920285000,55555422100,2016,1,"['Innate immunity', 'IRF7', 'RAIDD', 'TLR']"
8920285000,55555422100,2018,1,"['Innate immunity', 'Innate immunity', 'Interferon', 'Interferons', 'MALT1', 'NF-κB', 'TNF', 'Tumor necrosis factor']"
56992899600,7005513302,2008,1,"['Genotypes', 'Hepatitis C virus', 'Luxembourg', 'Prisons', 'Risk factors', 'Substance abuse']"
56992899600,7005513302,2018,1,"['antiretroviral therapy-experienced patients', 'antiretroviral therapy-naïve patients', 'atazanavir/ritonavir', 'darunavir/ritonavir', 'lopinavir/ritonavir']"
24077315700,6506592719,2015,1,['']
24077315700,6506592719,2016,1,"['Composites', 'Enhancement', 'Mechanisms', 'Thermal conductivity']"
6507107585,55745592300,2018,1,"['crazing', 'drawing', 'plasticization', 'polylactide', 'SAXS']"
56992899600,7005513302,2008,1,"['Genotypes', 'Hepatitis C virus', 'Luxembourg', 'Prisons', 'Risk factors', 'Substance abuse']"
56992899600,7005513302,2018,1,"['antiretroviral therapy-experienced patients', 'antiretroviral therapy-naïve patients', 'atazanavir/ritonavir', 'darunavir/ritonavir', 'lopinavir/ritonavir']"
6603280387,55853916800,2017,1,['']
