Id,Name,Country,City,University,Citations
6701920016,Mühlschlegel Fritz A.,Luxembourg,Luxembourg,Laboratoire National de Sante Luxembourg,1137
7006491219,Dicato Mario,Luxembourg,Luxembourg,Hopital Kirchberg,4940
8920285000,Brenner Dirk,Luxembourg,Luxembourg,Luxembourg Institute of Health,1649
54391080500,Grusdat Melanie,Luxembourg,Luxembourg,Luxembourg Institute of Health,481
55555422100,Pozdeev Vitaly I.,Luxembourg,Luxembourg Dusseldorf Heidelberg,Luxembourg Institute of Health,144
7003551007,Beyenburg Stefan,Luxembourg,Luxembourg,Centre Hospitalier de Luxembourg,243
7005513302,Hemmer Robert J.P.,Luxembourg,Luxembourg,Centre Hospitalier,5132
56992899600,Staub Thérèse,Luxembourg,Luxembourg,Centre Hospitalier de Luxembourg,2587
6506592719,Toniazzo V.,Luxembourg,Esch-sur-Alzette,Luxembourg Institute of Science and Technology,159
6507107585,Addiégo Frédéric,Luxembourg,Esch-sur-Alzette,Luxembourg Institute of Science and Technology,0
22950742500,Habibi Youssef,Luxembourg,Esch-sur-Alzette,Luxembourg Institute of Science and Technology,0
24077315700,Ruch David,Luxembourg,Esch-sur-Alzette,Luxembourg Institute of Science and Technology,276
24832305200,Verge Pierre,Luxembourg,Esch-sur-Alzette,Luxembourg Institute of Science and Technology,0
55657570300,Ershov Sergey,Luxembourg,Esch-sur-Alzette,Luxembourg Institute of Science and Technology,0
55745592300,Brüster Berit,Luxembourg,Esch-sur-Alzette,Luxembourg Institute of Science and Technology,0
56650802100,Torun Engin,Luxembourg,Luxembourg,University of Luxembourg,0
6701839221,Kallenbach Klaus C.,Luxembourg,Luxembourg,INCCI,15
7005513302,Hemmer Robert J.P.,Luxembourg,Luxembourg,Centre Hospitalier,5132
56992899600,Staub Thérèse,Luxembourg,Luxembourg,Centre Hospitalier de Luxembourg,2587
7007005676,Ottersten Björn,Luxembourg,Luxembourg,University of Luxembourg,5313
7006704921,Carius Reinhard,Luxembourg,Luxembourg,Physics and Materials Science Research Unit,810
12139371400,Boscher Nicolas D.,Luxembourg,Esch-sur-Alzette,Luxembourg Institute of Science and Technology,250
7102741185,Max Martin,Luxembourg,Luxembourg,Centre Hospitalier,3
7004024772,Gerich Thorsten G.,Luxembourg,Luxembourg,Centre Hospitalier de Luxembourg,1108
55346159500,De Beaufort Carine E.,Luxembourg,Luxembourg,Centre Hospitalier de Luxembourg,2959
24512061400,Chatzinotas Symeon,Luxembourg,Luxembourg,University of Luxembourg,2341
35552708400,Lera Francisco Rodriguez,Luxembourg,Luxembourg,University of Luxembourg,90
7801642430,Skraber Sylvain,Luxembourg,Esch-sur-Alzette,Luxembourg Institute of Science and Technology,52
56186726200,Kantor Mirosław,Luxembourg,Luxembourg,University of Luxembourg,55
17434167500,Glinšek Sebastjan,Luxembourg,Esch-sur-Alzette,Luxembourg Institute of Science and Technology,51
6503955598,Pecero Johnatan E.,Luxembourg,Luxembourg,University of Luxembourg,118
6505849246,Khadraoui Djamel,Luxembourg,Esch-sur-Alzette,Luxembourg Institute of Science and Technology,32
6508125036,Danoy Grégoire,Luxembourg,Luxembourg,University of Luxembourg,324
6603280387,Voos Holger,Luxembourg,Luxembourg,University of Luxembourg,9
6603458224,Leprévost Franck,Luxembourg,Luxembourg,University of Luxembourg,0
6603573094,Sorger Ulrich K.,Luxembourg,Luxembourg,University of Luxembourg,11
7201781759,Peters Bernhard J.,Luxembourg,Luxembourg,Université de Luxembourg,1
8726069400,Kliazovich Dzmitry,Luxembourg,Luxembourg,ExaMotive,1025
12753413600,Hogie L.,Luxembourg,Luxembourg,University of Luxembourg,52
14021692000,Klein Gilbert,Luxembourg,Luxembourg,University of Luxembourg,0
15058427500,Tantar Alexandru Adrian,Luxembourg,Luxembourg,University of Luxembourg,37
15061114300,Brust Matthias R.,Luxembourg,Luxembourg,University of Luxembourg,17
19639537800,Tantar Emilia,Luxembourg,Luxembourg,University of Luxembourg,27
23098235400,Schneider Reinhard,Luxembourg,Luxembourg,University of Luxembourg,2292
26029317800,Dunlop Dominic,Luxembourg,Luxembourg,University of Luxembourg,6
35198141100,Herbiet Guillaume Jean,Luxembourg,Luxembourg,University of Luxembourg,22
35307821100,Schleich Julien,Luxembourg,Luxembourg,University of Luxembourg,43
35590418200,Olivares-Méndez Miguel Angel,Luxembourg,Luxembourg,University of Luxembourg,5
35729032500,Pinel Frédéric,Luxembourg,Luxembourg,University of Luxembourg,295
36496723300,Guzek Mateusz,Luxembourg,Luxembourg,University of Luxembourg,248
45861198100,Besseron Xavier,Luxembourg,Luxembourg,Université de Luxembourg,30
51461053400,Bertholon Benoît,Luxembourg,Luxembourg,University of Luxembourg,36
54384685900,Seredynski Marcin,Luxembourg,Luxembourg,E-Bus Competence Center,151
55123812100,Stathakis Apostolos,Luxembourg,Luxembourg,University of Luxembourg,9
55123978500,Morelli Gianluigi,Luxembourg,Luxembourg,SES Engineering,9
55360223700,Grzybek Agata,Luxembourg,Luxembourg,University of Luxembourg,35
55369226400,Nielsen Sune S.,Luxembourg,Luxembourg,University of Luxembourg,12
55423781300,Kannan Somasundar,Luxembourg,Luxembourg,University of Luxembourg,2
55822636000,Nguyen Anh Quan,Luxembourg,Luxembourg,University of Luxembourg,5
55822858800,Muszyński Jakub,Luxembourg,Luxembourg,University of Luxembourg,3
55853916800,Rosalie Martin,Luxembourg,Luxembourg,University of Luxembourg,18
55888129500,Plugaru Valentin,Luxembourg,Luxembourg,Computer Science and Communications,116
55899459400,Bisdorff Raymond,Luxembourg,Luxembourg,University of Luxembourg,12
55998367200,Simionovici Ana Maria,Luxembourg,Luxembourg,University of Luxembourg,7
