Source,Target,Year,Weight,Keywords
6701597279,7004344935,2012,2,"['islanded operation', 'low bandwidth communication', 'microgrids', 'reactive power sharing', 'capacitive virtual impedance', 'harmonic compensation', 'harmonic current sharing', 'islanded operation', 'microgrids']"
6701597279,7004344935,2013,1,"['capacitive virtual impedance', 'droop control', 'harmonic compensation', 'islanded operation', 'microgrids', 'voltage harmonics']"
6701597279,7004344935,2014,1,"['Droop control', 'frequency restoration', 'harmonic compensation', 'microgrids', 'reactive power sharing', 'secondary control', 'voltage harmonics', 'voltage restoration']"
6701597279,7004344935,2015,1,"['Droop control', 'grid-connected', 'islanded', 'microgrid central controller (MGCC)', 'microgrids', 'seamless transition']"
6701597279,7004344935,2016,1,"['current sharing', 'droop control', 'islanded operation', 'microgrids', 'virtual impedance loop', 'voltage harmonics']"
6701597279,7004344935,2017,1,"['current harmonics', 'droop control', 'harmonic compensation', 'Microgrids', 'virtual admittance', 'virtual impedance']"
6701597279,7004344935,2018,1,"['Boost Converter', 'DC Microgird', 'MPPT', 'PMSG', 'SWT']"
6701597279,14632712700,2012,2,"['islanded operation', 'low bandwidth communication', 'microgrids', 'reactive power sharing', 'capacitive virtual impedance', 'harmonic compensation', 'harmonic current sharing', 'islanded operation', 'microgrids']"
6701597279,14632712700,2013,1,"['capacitive virtual impedance', 'droop control', 'harmonic compensation', 'islanded operation', 'microgrids', 'voltage harmonics']"
6701597279,14632712700,2014,1,"['Droop control', 'frequency restoration', 'harmonic compensation', 'microgrids', 'reactive power sharing', 'secondary control', 'voltage harmonics', 'voltage restoration']"
6701597279,14632712700,2015,1,"['Droop control', 'grid-connected', 'islanded', 'microgrid central controller (MGCC)', 'microgrids', 'seamless transition']"
6701597279,14632712700,2016,1,"['current sharing', 'droop control', 'islanded operation', 'microgrids', 'virtual impedance loop', 'voltage harmonics']"
6701597279,14632712700,2017,1,"['current harmonics', 'droop control', 'harmonic compensation', 'Microgrids', 'virtual admittance', 'virtual impedance']"
7004344935,14632712700,2012,2,"['islanded operation', 'low bandwidth communication', 'microgrids', 'reactive power sharing', 'capacitive virtual impedance', 'harmonic compensation', 'harmonic current sharing', 'islanded operation', 'microgrids']"
7004344935,14632712700,2013,1,"['capacitive virtual impedance', 'droop control', 'harmonic compensation', 'islanded operation', 'microgrids', 'voltage harmonics']"
7004344935,14632712700,2014,1,"['Droop control', 'frequency restoration', 'harmonic compensation', 'microgrids', 'reactive power sharing', 'secondary control', 'voltage harmonics', 'voltage restoration']"
7004344935,14632712700,2015,1,"['Droop control', 'grid-connected', 'islanded', 'microgrid central controller (MGCC)', 'microgrids', 'seamless transition']"
7004344935,14632712700,2016,1,"['current sharing', 'droop control', 'islanded operation', 'microgrids', 'virtual impedance loop', 'voltage harmonics']"
7004344935,14632712700,2017,1,"['current harmonics', 'droop control', 'harmonic compensation', 'Microgrids', 'virtual admittance', 'virtual impedance']"
7004344935,14632712700,2018,1,"['Batteries', 'Cost analysis', 'Efficiency', 'Environmental impact', 'Solar renewable energy systems', 'Thermal energy storage']"
