Country,Source,Target,Year,Weight,Keywords
United Kingdom,55950236200,24721476800,2009,1,"['INR', 'PCC', 'Reversal', 'Thrombin generation', 'Warfarin']"
United Kingdom,55950236200,24721476800,2010,1,"['Hypercoagulable', 'INR', 'Liver coagulopathy', 'Protein C', 'Thrombin generation']"
United Kingdom,55950236200,24721476800,2012,1,"['Acute liver failure', 'Coagulopathy', 'Thrombin generation', 'Thromboelastography']"
United Kingdom,55950236200,24721476800,2013,1,['']
United Kingdom,55950236200,24721476800,2015,1,"['Anti-Xa assay', 'Heart valves', 'Heparins', 'Pregnancy', 'Thrombin generation assay']"
United Kingdom,55950236200,24721476800,2016,2,"['Anti-Xa', 'Heparin', 'Pregnancy', 'Thrombin generation assay', 'coagulation factors', 'elevated INR', 'hepatic resection']"
United Kingdom,16029884000,24721476800,2012,1,"['Acute liver failure', 'Coagulopathy', 'Thrombin generation', 'Thromboelastography']"
United Kingdom,16029884000,24721476800,2013,1,['']
United Kingdom,7004053133,24721476800,2012,1,"['Acute liver failure', 'Coagulopathy', 'Thrombin generation', 'Thromboelastography']"
United Kingdom,7004053133,24721476800,2016,1,"['coagulation factors', 'elevated INR', 'hepatic resection']"
United Kingdom,24721476800,7402965763,2016,1,"['coagulation factors', 'elevated INR', 'hepatic resection']"
United Kingdom,24721476800,24605102400,2009,1,['']
United Kingdom,24721476800,24605102400,2010,1,"['anaphylactoid reaction', 'anti-immunoglobulin A antibodies', 'immunoglobulin A deficiency', 'prothrombin complex concentrate', 'warfarin reversal']"
United Kingdom,24721476800,24605102400,2011,2,"['Bleeding', 'Liver disease', 'Platelets', 'Thrombocytopathy', 'Thrombocytopenia', 'Coagulation/Thrombosis', 'Direct Xa inhibitors', 'Thrombin inhibitors', 'Vitamin K antagonists', 'Warfarin']"
United Kingdom,24721476800,24605102400,2012,2,"['', 'Acute liver failure', 'Coagulopathy', 'Thrombin generation', 'Thromboelastography']"
United Kingdom,24721476800,24605102400,2013,2,"['', '']"
United Kingdom,24721476800,24605102400,2014,1,['']
United Kingdom,24721476800,24605102400,2015,1,"['Anti-Xa assay', 'Heart valves', 'Heparins', 'Pregnancy', 'Thrombin generation assay']"
United Kingdom,24721476800,24605102400,2016,3,"['Anti-Xa', 'Heparin', 'Pregnancy', 'Thrombin generation assay', 'coagulation factors', 'elevated INR', 'hepatic resection', '']"
United Kingdom,24721476800,24605102400,2017,1,['']
United Kingdom,24721476800,7005505892,2012,1,"['Acute liver failure', 'Coagulopathy', 'Thrombin generation', 'Thromboelastography']"
United Kingdom,24721476800,7005505892,2013,1,['']
United Kingdom,24721476800,55437680000,2012,1,"['Acute liver failure', 'Coagulopathy', 'Thrombin generation', 'Thromboelastography']"
United Kingdom,24721476800,55437680000,2013,1,['']
United Kingdom,24721476800,16023392700,2010,1,['']
United Kingdom,24721476800,15749911500,2012,1,"['Acute liver failure', 'Coagulopathy', 'Thrombin generation', 'Thromboelastography']"
United Kingdom,24721476800,15749911500,2013,1,['']
United Kingdom,57196819975,57202567479,2006,1,"['Adolescence', 'Cancer', 'Epidemiology', 'Europe', 'Incidence', 'Survival']"
