Source,Target,Year,Weight,Keywords
35313369100,57202556475,2002,1,['']
35313369100,57202556475,2003,1,['']
35313369100,57202556475,2004,2,"['', '']"
35313369100,57202556475,2005,1,['']
35313369100,57202556475,2006,3,"['', '', '']"
35313369100,57202557646,2002,1,['']
35313369100,57202557646,2003,1,['']
35313369100,57202557646,2004,2,"['', '']"
35313369100,57202557646,2005,1,['']
35313369100,57202557646,2006,3,"['', '', '']"
35313369100,56978897300,2002,1,['']
35313369100,56978897300,2003,1,['']
35313369100,56978897300,2004,2,"['', '']"
35313369100,56978897300,2005,1,['']
35313369100,56978897300,2006,3,"['', '', '']"
35313369100,7003443189,2002,1,['']
35313369100,7003443189,2003,1,['']
35313369100,7003443189,2004,2,"['', '']"
35313369100,7003443189,2005,1,['']
35313369100,7003443189,2006,3,"['', '', '']"
57202556475,57202557646,2000,1,['']
57202556475,57202557646,2002,3,"['', '', '']"
57202556475,57202557646,2003,1,['']
57202556475,57202557646,2004,2,"['', '']"
57202556475,57202557646,2005,1,['']
57202556475,57202557646,2006,3,"['', '', '']"
57202556475,56978897300,2002,3,"['', '', '']"
57202556475,56978897300,2003,1,['']
57202556475,56978897300,2004,2,"['', '']"
57202556475,56978897300,2005,1,['']
57202556475,56978897300,2006,3,"['', '', '']"
57202556475,7003443189,2002,3,"['', '', '']"
57202556475,7003443189,2003,1,['']
57202556475,7003443189,2004,2,"['', '']"
57202556475,7003443189,2005,1,['']
57202556475,7003443189,2006,3,"['', '', '']"
57202557646,56978897300,2002,2,"['', '']"
57202557646,56978897300,2003,1,['']
57202557646,56978897300,2004,2,"['', '']"
57202557646,56978897300,2005,1,['']
57202557646,56978897300,2006,3,"['', '', '']"
57202557646,7003443189,2001,1,['']
57202557646,7003443189,2002,2,"['', '']"
57202557646,7003443189,2003,1,['']
57202557646,7003443189,2004,2,"['', '']"
57202557646,7003443189,2005,1,['']
57202557646,7003443189,2006,3,"['', '', '']"
56978897300,7003443189,2002,2,"['', '']"
56978897300,7003443189,2003,1,['']
56978897300,7003443189,2004,2,"['', '']"
56978897300,7003443189,2005,1,['']
56978897300,7003443189,2006,3,"['', '', '']"
6603611727,6602685552,2016,2,"['', 'Biomarkers', 'Genetic variation', 'Immunosuppression', 'Ovarian cancer', 'TGFBR2']"
6603611727,6602685552,2015,1,['']
6603611727,6602685552,2017,1,['']
6603611727,6602685552,2018,2,"['', '']"
6603611727,7005527281,2007,1,"['Breast cancer', 'Genetic susceptibility']"
6603611727,7005527281,2008,7,"['BRCA2', 'CHEK2', 'Malignant melanoma', 'BRCA1', 'Hereditary', 'Prostate cancer', '', 'BRCA1', 'BRCA2', 'Breast cancer', 'p53', '', 'Breast cancer', 'CDKN2A/ARF', 'Early onset', 'Malignant melanoma', 'Pancreatic cancer', '']"
6603611727,7005527281,2009,4,"['Breast cancer', 'CHEK2', 'CHK2 gene', 'Estrogen receptor', 'Gene', 'Breast cancer', 'Genetic contribution to all cancers', 'BRCA1 mutation', 'Breast cancer risk', 'ITGB3', 'MTHFR', 'PHB', 'RAD51', 'Single nucleotide polymorphism', 'TGFB1', 'VEGF', '']"
6603611727,7005527281,2010,5,"['Chromosome 8q24', 'DG8S737', 'Hereditary', 'Prostate cancer', 'Rs1447295', 'CHEK2 gene', 'Colorectal cancer', 'HNPCC', 'Uterus cancer', '', 'E-cadherin', 'Hereditary diffuse gastric cancer', 'Polish population', 'BRCA1', 'Colorectal cancer', 'Genetic', 'Hereditary', 'Mutation']"
6603611727,7005527281,2011,7,"['', '', '', 'breast cancer', 'malignant melanoma', 'MMP1', 'MMP8', '', '', '']"
6603611727,7005527281,2012,1,['']
6603611727,7005527281,2013,5,"['', 'Breast cancer', 'Stage', 'Survival', 'CHEK2', 'Gastric cancer', 'Heredity', 'BLM gene', 'Bloom syndrome', 'C.1642C&gt;T', 'Prostate cancer', 'Q548X mutation', 'Breast cancer', 'NBS1', 'Prognostic factors', 'Survival']"
6603611727,7005527281,2014,6,"['DRE', 'prostate biopsy', 'prostate cancer', 'PSA', 'screening', 'SNP', 'Breast cancer', 'CHEK2', 'Prognostic factors', 'Survival', 'Breast cancer', 'Double heterozygote', 'Gene interactions', 'Germ-line mutations', 'Review', 'BRCA1', 'BRCA2', 'Breast cancer', 'Oophorectomy', 'Tamoxifen', '', 'Case-control', 'Dihydropyrimidine dehydrogenase', 'Folate', 'Polymorphism', 'Serine hydroxymethyltransferase 1 (soluble)']"
6603611727,7005527281,2015,2,"['', '']"
6603611727,7005527281,2016,2,"['Biomarkers', 'Genetic variation', 'Immunosuppression', 'Ovarian cancer', 'TGFBR2', 'BRCA1', 'BRCA2', 'Hereditary breast and ovarian cancer', 'Transheterozygosity']"
6603611727,7005527281,2017,1,"['Body mass index', 'Breast cancer survival', 'Epidemiology', 'Genetics', 'Mendelian randomization']"
6603611727,7005527281,2018,1,['']
6603611727,7005557039,2007,1,"['HLA-G polymorphism', 'Reproductive failure', 'sHLA-G', 'sHLA-I']"
6603611727,7005557039,2008,1,['']
6603611727,7005557039,2009,10,"['BRCA1 mutation', 'Breast cancer risk', 'ITGB3', 'MTHFR', 'PHB', 'RAD51', 'Single nucleotide polymorphism', 'TGFB1', 'VEGF', '', 'HLA-G', 'IVF', 'Polymorphism', 'Breast cancer', 'CHEK2', 'Colon cancer', 'Prostate cancer', 'Cerebellopontine tumours', 'ELST', 'VHL', 'Breast cancer', 'Vitamin D receptor', 'BRCA1', 'Cisplatin', 'Malignant melanoma', 'Vitamin D receptor', 'BRCA2', 'Breast cancer', 'CHEK2', 'Gene interaction', 'Ataxia-telangiectasia', 'ATM', 'Breast cancer genetics', 'Radiosensitivity', 'Slavic founder mutation']"
