Id,Name,Country,City,University,Citations
7003443189,Kisielewska Danuta,Poland,Krakow MP,AGH University of Science and Technology,47455
35313369100,Bołd Tomasz,Poland,Krakow MP,AGH University of Science and Technology,37579
56978897300,Grabowska-Bołd Iwona,Poland,Krakow MP,AGH University of Science and Technology,37792
57202556475,Adamczyk Leszek,Poland,Krakow MP,AGH University of Science and Technology,38425
57202557646,Przybycień Mariusz B.,Poland,Krakow MP,AGH University of Science and Technology,44311
6505572367,Bruckman de Renstrom P.,Poland,Krakow,Henryk Niewodniczanski Institute of Nuclear Physics of the Polish Academy of Sciences,41323
8791859100,Korcyl Krzysztof M.,Poland,Krakow,Henryk Niewodniczanski Institute of Nuclear Physics of the Polish Academy of Sciences,38043
6603780957,Jȩdryka-Góral Anna,Poland,Warsaw,Instytut Reumatologii Warsaw,89
6602685552,Lissowska Jolanta,Poland,Warsaw,"Institute of Oncology, Warsaw",9424
6603611727,Cybulski Cezary,Poland,Szczecin,Pomeranian Medical University in Szczecin,3792
7005527281,Jakubowska Anna,Poland,Szczecin,Pomeranian Medical University in Szczecin,3401
7005557039,Lubiński Jan,Poland,Szczecin,Pomeranian Medical University in Szczecin,9621
7005909244,Zalewski Piotr,Poland,Swierk,National Centre for Nuclear Research,45838
7006067236,Górski Maciej,Poland,Swierk,National Centre for Nuclear Research,41989
8790525200,Doroba Krzysztof,Poland,Warsaw,Uniwersytet Warszawski,47148
8791919400,Królikowski Jan,Poland,Warsaw,Uniwersytet Warszawski,40118
35227743700,Nawrocki Krzysztof,Poland,Swierk,National Centre for Nuclear Research,43297
7004460321,Bilińska Zofia Teresa,Poland,Warsaw,Instytut Kardiologii im. Prymasa Tysiaclecia Stefana Kardynala Wyszynskiego,1806
7005229767,Trusz-Gluza Maria,Poland,Katowice,Slaski Uniwersytet Medyczny w Katowicach,465
7003789333,Budaj Andrzej J.,Poland,Warsaw,Medical University of Warsaw,18778
7005482361,Tendera Michał B.,Poland,Katowice,Slaski Uniwersytet Medyczny w Katowicach,21950
7006750262,De Geest Hilaire,Poland,Krakow,Collegium Medicum Uniwersytet Jagiellonskiego,0
