Source,Target,Year,Weight,Keywords
35241909300,35434235100,2008,4,"['Liver', 'Metformin', 'Mitochondria', 'Oxidative phosphorylation system', 'Perme ability transition pore', 'Respiratory chain', 'Brain', 'Metformin', 'Oxidative stress', 'Type 2 diabetes', 'Brain', 'Doxorubicin', 'Free radicals', 'Mitochondria', 'Oxidative stress', 'Permeability transition pore', '']"
35241909300,35434235100,2009,3,"['Brain', 'Food deprivation', 'Oxidative stress', 'Type 2 diabetes', 'Brain', 'Doxorubicin', 'Heart', 'Kidney', 'Liver', 'Side effects', 'Therapeutic effects', 'Brain', 'Insulin', 'Insulin sensitizers', 'Insulin signaling', 'Neurodegenerative disorders']"
35241909300,35434235100,2010,1,"['Mitochondria', 'MitoKATP channels', 'Neurodegeneration', 'Neuroprotection', 'Preconditioning', 'Reactive oxygen species']"
35241909300,35434235100,2011,2,"['Brain', 'Mitochondria', 'Neurodegenerative diseases', 'Stroke', 'UCPs', '']"
35241909300,35434235100,2012,1,"['Alzheimer disease', 'Cerebrovasculature', 'Mitochondrial dynamics', 'Mitochondrial metabolism', 'Mitochondrial turnover', 'Neurons']"
35241909300,35434235100,2013,1,"['Alzheimer disease (AD)', 'Brain', 'Central nervous system (CNS)', 'Diabetes', 'Insulin', 'Neurodegeneration']"
35241909300,35434235100,2014,3,"['Autophagy', 'Cerebral cortex', 'Insulin treatment', 'Mitochondrial fission, fusion and biogenesis', 'Tau protein phosphorylation', 'Type 1 diabetes', 'Aging', 'Brain vessels', 'Neurodegeneration', 'Oxidative stress', 'Synaptosomes', 'Type 2 diabetes', 'Autophagy', 'Brain cortex', 'Mitochondrial biogenesis', 'Mitochondrial fusion–fission', 'Quality control', 'Type 2 diabetes']"
35241909300,35434235100,2017,1,"['Alzheimer disease-like hallmarks', 'Insulin', 'Sex', 'Sex steroids', 'Type 2 diabetes']"
35241909300,25823407400,2008,1,"['Brain', 'Doxorubicin', 'Free radicals', 'Mitochondria', 'Oxidative stress', 'Permeability transition pore']"
35241909300,25823407400,2009,4,"['Brain', 'Food deprivation', 'Oxidative stress', 'Type 2 diabetes', 'Hypoxia', 'Mitochondria', 'ROS', 'Brain', 'Doxorubicin', 'Heart', 'Kidney', 'Liver', 'Side effects', 'Therapeutic effects', 'Brain', 'Insulin', 'Insulin sensitizers', 'Insulin signaling', 'Neurodegenerative disorders']"
35241909300,25823407400,2010,1,"['Mitochondria', 'MitoKATP channels', 'Neurodegeneration', 'Neuroprotection', 'Preconditioning', 'Reactive oxygen species']"
35241909300,25823407400,2011,2,"['Brain', 'Mitochondria', 'Neurodegenerative diseases', 'Stroke', 'UCPs', '']"
35241909300,25823407400,2012,2,"['Alzheimer disease', 'Cerebrovasculature', 'Mitochondrial dynamics', 'Mitochondrial metabolism', 'Mitochondrial turnover', 'Neurons', 'aging', ""Alzheimer's disease"", 'insulin signaling', 'type 2 diabetes']"
35241909300,25823407400,2013,1,"['Alzheimer disease (AD)', 'Brain', 'Central nervous system (CNS)', 'Diabetes', 'Insulin', 'Neurodegeneration']"
35241909300,25823407400,2014,3,"['Autophagy', 'Cerebral cortex', 'Insulin treatment', 'Mitochondrial fission, fusion and biogenesis', 'Tau protein phosphorylation', 'Type 1 diabetes', ""Alzheimer's disease"", 'Amyloid precursor protein', 'Endoplasmic reticulum', 'Secretory pathway', 'Therapeutic targets', 'Trafficking', 'Autophagy', 'Brain cortex', 'Mitochondrial biogenesis', 'Mitochondrial fusion–fission', 'Quality control', 'Type 2 diabetes']"
35241909300,25823407400,2017,1,"['Alzheimer disease-like hallmarks', 'Insulin', 'Sex', 'Sex steroids', 'Type 2 diabetes']"
35241909300,55108900700,2008,4,"['Liver', 'Metformin', 'Mitochondria', 'Oxidative phosphorylation system', 'Perme ability transition pore', 'Respiratory chain', 'Brain', 'Metformin', 'Oxidative stress', 'Type 2 diabetes', 'Brain', 'Doxorubicin', 'Free radicals', 'Mitochondria', 'Oxidative stress', 'Permeability transition pore', '']"
35241909300,55108900700,2009,4,"['Brain', 'Food deprivation', 'Oxidative stress', 'Type 2 diabetes', 'Hypoxia', 'Mitochondria', 'ROS', 'Brain', 'Doxorubicin', 'Heart', 'Kidney', 'Liver', 'Side effects', 'Therapeutic effects', 'Brain', 'Insulin', 'Insulin sensitizers', 'Insulin signaling', 'Neurodegenerative disorders']"
35241909300,55108900700,2010,1,"['Mitochondria', 'MitoKATP channels', 'Neurodegeneration', 'Neuroprotection', 'Preconditioning', 'Reactive oxygen species']"
35241909300,55108900700,2011,2,"['Brain', 'Mitochondria', 'Neurodegenerative diseases', 'Stroke', 'UCPs', '']"
35241909300,55108900700,2012,2,"['Alzheimer disease', 'Cerebrovasculature', 'Mitochondrial dynamics', 'Mitochondrial metabolism', 'Mitochondrial turnover', 'Neurons', 'aging', ""Alzheimer's disease"", 'insulin signaling', 'type 2 diabetes']"
35241909300,55108900700,2013,1,"['Alzheimer disease (AD)', 'Brain', 'Central nervous system (CNS)', 'Diabetes', 'Insulin', 'Neurodegeneration']"
35241909300,55108900700,2014,1,"['Autophagy', 'Brain cortex', 'Mitochondrial biogenesis', 'Mitochondrial fusion–fission', 'Quality control', 'Type 2 diabetes']"
35241909300,55108900700,2015,2,"['Endoplasmic reticulum', 'Neurodegeneration', 'Therapeutic targets', 'Unfolded protein response', 'Alzheimer disease', 'Huntington disease', 'mitochondrial abnormalities', 'mitohormesis', 'Parkinson disease', 'sirtuins', 'vitagenes']"
35241909300,55108900700,2016,2,"['Alzheimer’s disease', 'Brain vasculature', 'Mitochondria', 'Oxidative stress', ""Alzheimer's disease"", 'mitochondrial anomalies', 'mitochondrial targets']"
35241909300,55108900700,2017,1,"['Alzheimer’s disease', 'Diabetes', 'Mitochondrial bioenergetics', 'Mitochondrial dynamics', 'Neurodegeneration', 'Oxidative stress', 'Therapeutics']"
35241909300,57193062281,2008,4,"['Liver', 'Metformin', 'Mitochondria', 'Oxidative phosphorylation system', 'Perme ability transition pore', 'Respiratory chain', 'Brain', 'Metformin', 'Oxidative stress', 'Type 2 diabetes', 'Brain', 'Doxorubicin', 'Free radicals', 'Mitochondria', 'Oxidative stress', 'Permeability transition pore', '']"
35241909300,57193062281,2009,1,"['Brain', 'Insulin', 'Insulin sensitizers', 'Insulin signaling', 'Neurodegenerative disorders']"
35241909300,57193062281,2010,1,"['Mitochondria', 'MitoKATP channels', 'Neurodegeneration', 'Neuroprotection', 'Preconditioning', 'Reactive oxygen species']"
35241909300,57193062281,2011,2,"['Brain', 'Mitochondria', 'Neurodegenerative diseases', 'Stroke', 'UCPs', '']"
35241909300,57193062281,2012,2,"['Alzheimer disease', 'Cerebrovasculature', 'Mitochondrial dynamics', 'Mitochondrial metabolism', 'Mitochondrial turnover', 'Neurons', 'aging', ""Alzheimer's disease"", 'insulin signaling', 'type 2 diabetes']"
35241909300,57193062281,2013,1,"['Alzheimer disease (AD)', 'Brain', 'Central nervous system (CNS)', 'Diabetes', 'Insulin', 'Neurodegeneration']"
35241909300,57193062281,2014,1,"['Autophagy', 'Brain cortex', 'Mitochondrial biogenesis', 'Mitochondrial fusion–fission', 'Quality control', 'Type 2 diabetes']"
35241909300,57193062281,2015,1,"['Alzheimer’s disease', 'Autophagic vacuoles', 'Autophagy', 'Aβ', 'AβPP', 'Lysosomes', 'Mitophagy', 'Tau', 'Therapeutics']"
35241909300,57193062281,2016,1,"[""Alzheimer's disease"", 'Mitochondrial bioenergetics and dynamics', 'Oxidative stress', 'Reactive oxygen species', 'Therapeutics']"
35241909300,57193062281,2017,1,"['Alzheimer’s disease', 'Diabetes', 'Mitochondrial bioenergetics', 'Mitochondrial dynamics', 'Neurodegeneration', 'Oxidative stress', 'Therapeutics']"
35241909300,57193062281,2018,2,"['Alzheimer disease', 'Huntington disease', 'Mitochondrial bioenergetics and dynamics', 'Neurodegeneration', 'Parkinson disease', ""Alzheimer's disease"", 'Aβ', 'Brain glucose metabolism', 'O-GlcNAc', 'O-GlcNAcylation', 'Tau']"
35241909300,10539075000,2008,1,"['Brain', 'Doxorubicin', 'Free radicals', 'Mitochondria', 'Oxidative stress', 'Permeability transition pore']"
35241909300,10539075000,2009,3,"['Hypoxia', 'Mitochondria', 'ROS', 'Brain', 'Doxorubicin', 'Heart', 'Kidney', 'Liver', 'Side effects', 'Therapeutic effects', 'Brain', 'Insulin', 'Insulin sensitizers', 'Insulin signaling', 'Neurodegenerative disorders']"
35241909300,10539075000,2010,1,"['Mitochondria', 'MitoKATP channels', 'Neurodegeneration', 'Neuroprotection', 'Preconditioning', 'Reactive oxygen species']"
35241909300,10539075000,2011,2,"['Brain', 'Mitochondria', 'Neurodegenerative diseases', 'Stroke', 'UCPs', '']"
35241909300,10539075000,2012,2,"['Alzheimer disease', 'Cerebrovasculature', 'Mitochondrial dynamics', 'Mitochondrial metabolism', 'Mitochondrial turnover', 'Neurons', 'aging', ""Alzheimer's disease"", 'insulin signaling', 'type 2 diabetes']"
35241909300,10539075000,2013,2,"['Alzheimer’s Disease', 'Amyotrophic Lateral Sclerosis', 'Hypoxia', 'Hypoxia-Inducible Factor', 'Neurodegeneration', 'Neuroprotection', 'Parkinson’s Disease', '']"
35241909300,10539075000,2014,1,"['Autophagy', 'Brain cortex', 'Mitochondrial biogenesis', 'Mitochondrial fusion–fission', 'Quality control', 'Type 2 diabetes']"
35241909300,10539075000,2015,2,"['Endoplasmic reticulum', 'Neurodegeneration', 'Therapeutic targets', 'Unfolded protein response', 'Alzheimer disease', 'Huntington disease', 'mitochondrial abnormalities', 'mitohormesis', 'Parkinson disease', 'sirtuins', 'vitagenes']"
35241909300,10539075000,2016,1,"[""Alzheimer's disease"", 'mitochondrial anomalies', 'mitochondrial targets']"
35241909300,35429488600,2008,3,"['Liver', 'Metformin', 'Mitochondria', 'Oxidative phosphorylation system', 'Perme ability transition pore', 'Respiratory chain', 'Brain', 'Metformin', 'Oxidative stress', 'Type 2 diabetes', '']"
35241909300,35429488600,2009,1,"['Brain', 'Insulin', 'Insulin sensitizers', 'Insulin signaling', 'Neurodegenerative disorders']"
35241909300,35429488600,2010,1,"['Mitochondria', 'MitoKATP channels', 'Neurodegeneration', 'Neuroprotection', 'Preconditioning', 'Reactive oxygen species']"
35241909300,35429488600,2011,1,"['Amino acids', 'Diabetes', 'Hypoglycemia', 'Neurotransmitters', 'Plasma', 'Synaptosomes']"
35241909300,35429488600,2012,3,"['Cyanide', 'Glucotoxicity', 'Hypoxia inducible factor-1α', 'Mitochondria', 'Mitochondrial network', 'Mitochondrial reactive oxygen species', 'Preconditioning', ""Alzheimer's disease"", 'Cerebral glucose metabolism', 'Diabetes', 'Insulin signaling', 'Mitochondria', 'Oxidative stress', '']"
35241909300,35429488600,2013,1,"['Alzheimer disease (AD)', 'Brain', 'Central nervous system (CNS)', 'Diabetes', 'Insulin', 'Neurodegeneration']"
35241909300,35429488600,2014,2,"[""Alzheimer's disease"", 'Amyloid precursor protein', 'Endoplasmic reticulum', 'Secretory pathway', 'Therapeutic targets', 'Trafficking', 'Aging', 'Brain vessels', 'Neurodegeneration', 'Oxidative stress', 'Synaptosomes', 'Type 2 diabetes']"
35241909300,35429488600,2015,1,"['Endoplasmic reticulum', 'Neurodegeneration', 'Therapeutic targets', 'Unfolded protein response']"
35241909300,35429488600,2017,1,"['Alzheimer disease-like hallmarks', 'Insulin', 'Sex', 'Sex steroids', 'Type 2 diabetes']"
35434235100,25823407400,2008,1,"['Brain', 'Doxorubicin', 'Free radicals', 'Mitochondria', 'Oxidative stress', 'Permeability transition pore']"
35434235100,25823407400,2009,3,"['Brain', 'Food deprivation', 'Oxidative stress', 'Type 2 diabetes', 'Brain', 'Doxorubicin', 'Heart', 'Kidney', 'Liver', 'Side effects', 'Therapeutic effects', 'Brain', 'Insulin', 'Insulin sensitizers', 'Insulin signaling', 'Neurodegenerative disorders']"
35434235100,25823407400,2010,1,"['Mitochondria', 'MitoKATP channels', 'Neurodegeneration', 'Neuroprotection', 'Preconditioning', 'Reactive oxygen species']"
35434235100,25823407400,2011,2,"['Brain', 'Mitochondria', 'Neurodegenerative diseases', 'Stroke', 'UCPs', '']"
35434235100,25823407400,2012,1,"['Alzheimer disease', 'Cerebrovasculature', 'Mitochondrial dynamics', 'Mitochondrial metabolism', 'Mitochondrial turnover', 'Neurons']"
35434235100,25823407400,2013,1,"['Alzheimer disease (AD)', 'Brain', 'Central nervous system (CNS)', 'Diabetes', 'Insulin', 'Neurodegeneration']"
35434235100,25823407400,2014,2,"['Autophagy', 'Cerebral cortex', 'Insulin treatment', 'Mitochondrial fission, fusion and biogenesis', 'Tau protein phosphorylation', 'Type 1 diabetes', 'Autophagy', 'Brain cortex', 'Mitochondrial biogenesis', 'Mitochondrial fusion–fission', 'Quality control', 'Type 2 diabetes']"
35434235100,25823407400,2017,1,"['Alzheimer disease-like hallmarks', 'Insulin', 'Sex', 'Sex steroids', 'Type 2 diabetes']"
35434235100,55108900700,2008,4,"['Liver', 'Metformin', 'Mitochondria', 'Oxidative phosphorylation system', 'Perme ability transition pore', 'Respiratory chain', 'Brain', 'Metformin', 'Oxidative stress', 'Type 2 diabetes', 'Brain', 'Doxorubicin', 'Free radicals', 'Mitochondria', 'Oxidative stress', 'Permeability transition pore', '']"
35434235100,55108900700,2009,3,"['Brain', 'Food deprivation', 'Oxidative stress', 'Type 2 diabetes', 'Brain', 'Doxorubicin', 'Heart', 'Kidney', 'Liver', 'Side effects', 'Therapeutic effects', 'Brain', 'Insulin', 'Insulin sensitizers', 'Insulin signaling', 'Neurodegenerative disorders']"
35434235100,55108900700,2010,1,"['Mitochondria', 'MitoKATP channels', 'Neurodegeneration', 'Neuroprotection', 'Preconditioning', 'Reactive oxygen species']"
35434235100,55108900700,2011,2,"['Brain', 'Mitochondria', 'Neurodegenerative diseases', 'Stroke', 'UCPs', '']"
35434235100,55108900700,2012,1,"['Alzheimer disease', 'Cerebrovasculature', 'Mitochondrial dynamics', 'Mitochondrial metabolism', 'Mitochondrial turnover', 'Neurons']"
35434235100,55108900700,2013,1,"['Alzheimer disease (AD)', 'Brain', 'Central nervous system (CNS)', 'Diabetes', 'Insulin', 'Neurodegeneration']"
35434235100,55108900700,2014,1,"['Autophagy', 'Brain cortex', 'Mitochondrial biogenesis', 'Mitochondrial fusion–fission', 'Quality control', 'Type 2 diabetes']"
35434235100,55108900700,2015,1,"[""Alzheimer's disease"", 'Autophagy', 'Mitochondrial function and biogenesis', 'Synaptic integrity', 'Type 2 diabetes']"
35434235100,55108900700,2017,1,"['Alzheimer disease-like hallmarks', 'Insulin', 'Sex', 'Sex steroids', 'Type 2 diabetes']"
35434235100,57193062281,2007,8,"['17β-Estradiol', 'Mitochondria', 'Ovariectomy', 'Oxidative phosphorylation system', 'Oxidative stress', 'Respiratory chain', 'Tamoxifen', ""Alzheimer's disease"", 'Antioxidants', 'Brain', 'Diabetes', 'Insulin', 'Mitochondria', 'Neurodegeneration', 'Oxidative stress', 'α-Ketoglutarate dehydrogenase', 'Cytochrome oxidase-1', 'Immunoelectron microscopy', 'Lipoic acid', 'Proteolysis', 'Pyruvate dehydrogenase', 'Ultrastructure', '', 'Diabetes mellitus', 'Fatty acids', 'GK rats', 'Insulin secretion', 'Islets of Langerhans', '', 'Aging', 'Alzheimer disease', 'Antioxidants', 'Lipoic acid', 'Mitochondria', 'N-acetyl cysteine', 'Oxidative stress', '']"
