Country,Source,Target,Year,Weight,Keywords
Germany,22996961300,35228040900,2006,1,"['Cluster', 'High-energy physics', 'High-level triggers', 'Software integration', 'Testbeam', 'Triggering']"
Germany,22996961300,35228040900,2005,1,['']
Germany,35228040900,36026370800,1990,1,['']
Germany,57203175471,7202390422,2015,1,['']
Germany,57194781271,7202390422,2015,1,['']
Germany,57194781271,7202390422,2017,1,['']
Germany,7003320928,7202390422,2015,2,"['', '']"
Germany,57201387616,7202390422,2015,2,"['polygenic risk score', 'prostate cancer', 'risk prediction', '']"
Germany,18535786100,7202390422,2015,1,['']
Germany,7004145329,7202390422,2015,1,"['polygenic risk score', 'prostate cancer', 'risk prediction']"
Germany,7004145329,7202390422,2017,1,['']
Germany,57191367893,7202390422,2015,1,['']
Germany,57200591584,7202390422,2018,1,['']
Germany,7006409966,7202390422,2015,1,['']
Germany,7004306193,7202390422,2016,1,"['BRCA1', 'BRCA2', 'Hereditary breast and ovarian cancer', 'Transheterozygosity']"
Germany,55581184800,7202390422,2015,2,"['', '']"
Germany,57191567664,7202390422,2015,1,['']
Germany,57191567664,7202390422,2017,1,['']
Germany,6603547962,7202390422,2015,2,"['', '']"
Germany,7103336805,7202390422,2014,1,"['BRCA1', 'BRCA2', 'Prostate cancer', 'Prostate-specific antigen', 'Targeted screening']"
Germany,7103336805,7202390422,2018,1,['']
Germany,7202390422,7007100340,2013,1,['']
Germany,7202390422,7007100340,2015,2,"['', '']"
Germany,7202390422,7006278602,2015,1,['']
Germany,7202390422,6603821550,2015,2,"['', '']"
Germany,7202390422,7005002750,2015,1,['']
Germany,56997681700,8903076100,2002,1,['']
Germany,35227365400,56997681700,2004,1,['']
Germany,56997681700,8903076100,2002,1,['']
Germany,7103173164,7004313740,2010,1,['']
Germany,7103173164,7004313740,2011,2,"['', '']"
Germany,7005749805,7004313740,2013,1,"['Cardiovascular disease', 'Coronary Interventions', 'Diabetes mellitus', 'Diagnostics', 'Epidemiology', 'Guidelines', 'Impaired glucose tolerance', 'Patient management', 'Pharmacological treatment', 'Prevention', 'Prognosis', 'Risk factors']"
Germany,7103268433,7004313740,2013,1,"['Cardiovascular disease', 'Coronary Interventions', 'Diabetes mellitus', 'Diagnostics', 'Epidemiology', 'Guidelines', 'Impaired glucose tolerance', 'Patient management', 'Pharmacological treatment', 'Prevention', 'Prognosis', 'Risk factors']"
Germany,26867592300,7004313740,2010,1,['']
Germany,26867592300,7004313740,2011,2,"['', '']"
Germany,26867592300,7004313740,2014,1,['']
Germany,26867592300,7004313740,2015,3,"['', 'Acute coronary syndromes', 'Bare-metal stents', 'Coronary artery bypass grafting', 'Coronary artery disease', 'Drug-eluting stents', 'EuroSCORE', 'Guidelines', 'Heart Team', 'Medical therapy', 'Myocardial infarction', 'Myocardial ischaemia', 'Myocardial revascularization', 'Percutaneous coronary intervention', 'Recommendation', 'Revascularisation', 'Risk stratification', 'ST-segment elevation myocardial infarction', 'Stable angina', 'Stable coronary artery disease', 'Stents', 'SYNTAX score', '']"
Germany,7004313740,7003997927,2013,1,"['Cardiovascular disease', 'Coronary Interventions', 'Diabetes mellitus', 'Diagnostics', 'Epidemiology', 'Guidelines', 'Impaired glucose tolerance', 'Patient management', 'Pharmacological treatment', 'Prevention', 'Prognosis', 'Risk factors']"
Germany,7004313740,57189655872,2014,1,['']
