Source,Target,Year,Weight,Keywords
6506584789,36344186700,2010,2,"['IEEE 802.21', 'MIH', 'Simulation', 'Vertical handover', 'IEEE 802.21', 'MIH', 'Simulation', 'Vertical handover']"
6506584789,36344186700,2011,1,"['heterogeneous wireless networks', 'IEEE 802.21', 'network emulation', 'streaming', 'vertical handover']"
6506584789,36344186700,2012,1,"['IEEE 802.21', 'UMTS', 'vertical handover', 'WLAN']"
6506584789,36344186700,2013,2,"['cloud computing', 'open source', 'resilient cloud', 'secure internet of things', 'smart cities', 'Carrier Aggregation', 'Interference level', 'LTE-Advanced', 'Radio propagation', 'Spectral efficiency']"
6506584789,36344186700,2014,1,"['instrumental', 'Internet of Things (IoT)', 'monitoring', 'wireless sensor networks']"
6506584789,36344186700,2017,4,"['ITS', 'Smart City', 'VANET', 'vehicular mobile data collection', 'Architecture', 'Internet-of-things', 'Lighweight encryption', 'Middleware', 'Security', 'agro-meteorology', 'IoT', 'smart farming', 'telemetry system', 'viticulture', 'LINC switch', 'Open networking foundation', 'Software-defined networking', 'Wireless transport networks']"
6506584789,36344186700,2015,2,"['ONOS', 'OpenDaylight', 'POX', 'Ryu', 'Software Defined Networking', 'Internet of Things architectures', 'Internet of Things platforms', 'platforms security']"
6506584789,36344186700,2016,1,"['NETCONF', 'Open Networking Foundation', 'Opendaylight', 'OpenYuma', 'Software Defined Networking']"
6506584789,36344186700,2018,6,"['Antenna', 'Cherenkov', 'Electromagnetic wave', 'Radiation', 'Saline Environment', 'Internet of things', 'Intrusion detection', 'Security', 'Software defined networking', 'Wireless sensor networks', 'Building security', 'Intelligent buildings', 'Proxy servers', 'Unified threat systems', 'Network Emulator', 'Software-Defined Networking', 'Wireless transport networks', 'Hardware architectures', 'Hybrid testbed', 'Internet-of-Things', 'Security', 'Software middleware', '5G', 'Machine-to-Machine', 'Resource allocation', 'Wireless networks']"
22836395600,22833950300,2012,1,['']
22836395600,22833950300,2015,3,"['computational process', 'data replication', 'JXTA', 'P2P', 'peergroup architecture', 'Cloud computing', 'Evolutionary computing', 'Optimisation metrics', 'Reputation', 'Scheduling algorithms', 'Aperiodic tasks', 'Big data', 'Deadline scheduling', 'Resource allocation and Cloud environments']"
22836395600,24437773100,2015,1,"['Aperiodic tasks', 'Big data', 'Deadline scheduling', 'Resource allocation and Cloud environments']"
22836395600,24437773100,2018,1,"['Expert system', 'Inference engine', 'Malnutrition', 'Nutrition care', 'Ontology']"
22836395600,55155493300,2015,1,"['computational process', 'data replication', 'JXTA', 'P2P', 'peergroup architecture']"
