Country,Source,Target,Year,Weight,Keywords
United States,57197660417,7004441364,2001,1,['']
United States,57197660417,7004441364,2002,1,['']
United States,57197660417,7004441364,2005,1,"['Dinitrobenzamido-TEMPO derivatives', 'Mono- and diradicals (homo- and heterodiradicals)', 'Oxidizing properties', 'Paramagnetic-chromogenic derivatives', 'RES']"
United States,57197660417,7004441364,2004,1,"['4-Aryloxy-7-nitrobenzofurazans', 'Amino acids', 'Fluorescence', 'S Ar reaction N']"
United States,57201020933,35609873700,2012,1,"['Allergic Rhinitis and its Impact on Asthma', 'allergy', 'asthma', 'GRADE', 'Rhinitis']"
United States,57201020933,7005036463,2009,1,"['Allergic rhinitis', 'Asthma', 'Diagnosis', 'Guidelines', 'Therapy']"
United States,57201020933,35607150600,2012,1,"['Allergic Rhinitis and its Impact on Asthma', 'allergy', 'asthma', 'GRADE', 'Rhinitis']"
United States,57201020933,35607150600,2015,1,"['allergen vaccine', 'allergic rhinitis', 'allergy', 'asthma', 'atopic dermatitis', 'food allergy', 'immunotherapy', 'International consensus']"
United States,57201020933,7005524902,2016,1,"['allergic asthma', 'allergic rhinitis', 'allergic skin disease', 'biomarker', 'endotype', 'Key words Precision medicine', 'personalized care', 'phenotype']"
United States,57201020933,7005524902,2017,1,"['Airways ICPs', 'ARIA initiative', 'EIP on AHA', 'ICT', 'Mobile technology', 'Rhinitis']"
United States,57201020933,7005524902,2018,1,"['Allergy', 'Asthma', 'Mobile phone technology', 'Quality of life', 'Rhinitis']"
United States,7202700545,14631681000,2010,1,"['Clusters', 'Cognitive radio network', 'Gateway', 'Head node', 'IPSAG (IP Spectrum Aware Geographic routing algorithm)', 'Performance', 'Routing protocol']"
United States,7202700545,14631681000,2011,1,"['Cognitive radio (CR)', 'The fifth generation of cellular wireless standards (5G)', 'Wireless Innovative System for Dynamic Operating Megacommunications (WISDOM)', 'Wireless systems integration and adaptation']"
United States,22836395600,7202760099,2012,1,['']
United States,22833950300,7202760099,2012,1,['']
United States,22979186200,25824833600,2010,1,"['ILab', 'Web page instrument', 'Wi-Fi tag']"
United States,22979186200,6506658975,2010,1,"['ILab', 'Web page instrument', 'Wi-Fi tag']"
United States,22979186200,25824897500,2010,1,"['ILab', 'Web page instrument', 'Wi-Fi tag']"
United States,6506658975,57189001961,2015,1,"['Community of practices', 'Complex systems', 'Negative feedback', 'Positive feedback', 'Remote laboratory']"
United States,6506658975,7005821701,2013,2,"['Education', 'LabSocket', 'LabVIEW', 'Remote engineering', 'Virtual instrumentation', 'Education', 'LabSocket', 'LabVIEW', 'Remote Engineering', 'Virtual Instrumentation']"
United States,6506658975,7005821701,2015,1,"['Lab VIEW', 'LabSocket', 'Moodle', 'Remote Laboratories', 'Virtual Instrumentation']"
United States,6506658975,42862423400,2011,2,"['behavioral models', 'EM optimization', 'microwave circuit optimization', 'creativity', 'Tangibility of knowledge', 'tangible assets', 'technologic transfer']"
United States,6506658975,42862423400,2010,1,['']
United States,6506658975,25655127500,2015,2,"['Creativity', 'LabVIEW', 'PSoC', 'SmartGPU', 'convergent thinking', 'creativity', 'disruptive technology', 'divergent thinking', 'online laboratory', 'remote experiment']"
United States,55558826900,25655127500,2015,1,"['convergent thinking', 'creativity', 'disruptive technology', 'divergent thinking', 'online laboratory', 'remote experiment']"
