Source,Target,Year,Weight,Keywords
7003968078,7004819785,2007,1,"['CA IX deficient mice', 'Carbonic anhydrase IX', 'Hypoxia', 'Monoclonal antibodies', 'Mouse']"
7003968078,7004819785,2008,12,"['Hypoxia', 'Latent infection', 'Murid herpesvirus 4', 'ORF50', '', '', 'Amine', 'Amino acid', 'Carbonic anhydrase', 'Enzyme activator', 'Hypoxia', 'Isoforms IX and XII', 'Tumor', 'Carbonic anhydrase IX', 'Cardiomyocytes', 'Hypoxia', 'Oxygen sensing', 'Succinate', 'TCA cycle', 'Tumor', 'Anticancer therapy', 'Bicarbonate transport', 'Cancer', 'Carbonic anhydrase', 'Hypoxia', 'Inhibitor', 'pH regulation', 'Sulfonamide', '', 'Alternative splicing', 'Astrocytoma', 'Cancer', 'Carbonic anhydrase', 'Glioblastoma', 'Prognosis', 'Arenavirus', 'Glycoprotein', 'L polymerase', 'Lymphocytic choriomeningitis virus', 'MX strain', 'Negative strand RNA virus', 'Cancer', 'Electromobility shift assay', 'Luciferase assay', 'Promoter', 'S100P calcium-binding protein', 'Transcription initiation', 'Angiogenesis', 'Endosialin', 'Ets-1', 'HIF-2', 'Hypoxia', '']"
7003968078,7004819785,2009,1,"['Carbonic anhydrase inhibitors targeting cancer', 'Carbonic anhydrases CA IX and XII - interesting molecules from research and clinical view points', 'Tissue distribution of CA IX and CA XII']"
7003968078,7004819785,2010,5,"['Hepatitis B virus', 'Hepatocarcinogenesis', 'Hepatocellular carcinoma', 'Hypoxia', 'Hypoxia-inducible factor 1', 'Carbonic anhydrase IX', 'Hypoxia', 'Hypoxia-inducible factor', 'Src', '', 'Biomarker', 'Cancer', 'Carbonic anhydrase', 'GIST', 'Sarcoma', 'Cancer', 'Carbonic anhydrase IX', 'Hypoxia', 'Immunotherapy', 'Monoclonal antibody']"
7003968078,7004819785,2011,5,"['CANCER', 'DEXAMETHASONE', 'GLUCOCORTICOID RECEPTOR', 'MAPK PATHWAY', 'S100P PROMOTER', 'TRANSCRIPTION', '', 'Calcium-binding protein', 'Cancer', 'S100P', 'Transcriptional regulation', '', '']"
7003968078,7004819785,2012,6,"['Behavior', 'Brain', 'Carbonic anhydrase', 'cDNA microarray', 'Knock-out mouse', 'Anion', 'Astrosclera willeyana', 'Carbonic anhydrase', 'Enzyme inhibitor', 'Sponge', '', 'Alpha-CA', 'Astrosclera willeyana', 'Carbonic anhydrase', 'Enzyme inhibitor', 'Sponge', 'Sulfonamide', 'Angiogenesis', 'Cancer', 'Endosialin', 'Monoclonal antibodies', 'Pericytes', 'Biomarker', 'Carbonic anhydrase IX', 'Circulating tumor cells', 'Renal cell carcinoma']"
7003968078,7004819785,2013,2,"['Carbonic anhydrase IX', 'Focal adhesion', 'Hypoxia', 'Microarray', 'ShRNA silencing', 'Cancer', 'Carbonic anhydrase', 'Diagnostics', 'Expression', 'Mesothelial cell', 'Mesothelioma', 'pH', 'Pleura']"
7003968078,7004819785,2014,6,"['Carbonic anhydrase IX', 'Hypoxia', 'PH regulation', 'Tumor microenvironment', '', 'Cancer', 'Carbonic anhydrase IX', 'Hypoxia', 'PH regulation', 'Tumor acidosis', 'Carbonic anhydrase IX', 'Carnosine', 'Hypoxia', 'pH regulation', 'CA IX', 'CA XI', 'Skin', 'Skin neoplasm', 'Carbonic anhydrase IX', 'G250 monoclonal antibody', 'Girentuximab', 'Hypoxia', 'Immunotherapy', 'Internalization']"
7003968078,7004819785,2015,2,"['Carbonic anhydrase IX', 'Hypoxia', 'Immunotherapy', 'Migration-invasion', 'PH regulation', '']"
7003968078,7004819785,2016,1,['']
7003968078,7004819785,2017,1,['']
36491918900,36492322600,2004,1,['']
36491918900,36492322600,2008,1,"['ATLAS detector', 'Calorimeter', 'High energy physics detector', 'Liquid Argon calorimeter']"
36491918900,36492322600,2010,1,['']
36491918900,36492322600,2012,1,"['ATLAS detector', 'Calorimeter', 'High energy physics detector', 'Liquid argon calorimeter', 'Performance at high luminosity']"
35227020800,36491918900,2004,1,['']
35227020800,36491918900,2008,1,"['ATLAS detector', 'Calorimeter', 'High energy physics detector', 'Liquid Argon calorimeter']"
35227020800,36491918900,2010,1,['']
35227020800,36491918900,2012,1,"['ATLAS detector', 'Calorimeter', 'High energy physics detector', 'Liquid argon calorimeter', 'Performance at high luminosity']"
35227020800,36492322600,2004,1,['']
35227020800,36492322600,2008,1,"['ATLAS detector', 'Calorimeter', 'High energy physics detector', 'Liquid Argon calorimeter']"
35227020800,36492322600,2010,1,['']
35227020800,36492322600,2012,1,"['ATLAS detector', 'Calorimeter', 'High energy physics detector', 'Liquid argon calorimeter', 'Performance at high luminosity']"
36491918900,36492322600,2004,1,['']
36491918900,36492322600,2008,1,"['ATLAS detector', 'Calorimeter', 'High energy physics detector', 'Liquid Argon calorimeter']"
36491918900,36492322600,2010,1,['']
36491918900,36492322600,2012,1,"['ATLAS detector', 'Calorimeter', 'High energy physics detector', 'Liquid argon calorimeter', 'Performance at high luminosity']"
35227020800,36491918900,2004,1,['']
35227020800,36491918900,2008,1,"['ATLAS detector', 'Calorimeter', 'High energy physics detector', 'Liquid Argon calorimeter']"
35227020800,36491918900,2010,1,['']
35227020800,36491918900,2012,1,"['ATLAS detector', 'Calorimeter', 'High energy physics detector', 'Liquid argon calorimeter', 'Performance at high luminosity']"
35227020800,36492322600,2004,1,['']
35227020800,36492322600,2008,1,"['ATLAS detector', 'Calorimeter', 'High energy physics detector', 'Liquid Argon calorimeter']"
35227020800,36492322600,2010,1,['']
35227020800,36492322600,2012,1,"['ATLAS detector', 'Calorimeter', 'High energy physics detector', 'Liquid argon calorimeter', 'Performance at high luminosity']"
36491918900,36492322600,2004,1,['']
36491918900,36492322600,2008,1,"['ATLAS detector', 'Calorimeter', 'High energy physics detector', 'Liquid Argon calorimeter']"
36491918900,36492322600,2010,1,['']
36491918900,36492322600,2012,1,"['ATLAS detector', 'Calorimeter', 'High energy physics detector', 'Liquid argon calorimeter', 'Performance at high luminosity']"
34568529500,56978891600,2011,1,['']
