Country,Source,Target,Year,Weight,Keywords
Taiwan,56814506500,34568529500,2008,1,['']
Taiwan,56814506500,34568529500,2011,1,['']
Taiwan,56814506500,34568529500,2014,1,['']
Taiwan,56814506500,34568529500,2018,1,['']
Taiwan,56814506500,34568529500,2008,1,['']
Taiwan,56814506500,34568529500,2011,1,['']
Taiwan,56814506500,34568529500,2014,1,['']
Taiwan,56814506500,34568529500,2018,1,['']
Taiwan,56814506500,34568529500,2008,1,['']
Taiwan,56814506500,34568529500,2011,1,['']
Taiwan,56814506500,34568529500,2014,1,['']
Taiwan,56814506500,34568529500,2018,1,['']
Taiwan,56814506500,34568529500,2008,1,['']
Taiwan,56814506500,34568529500,2011,1,['']
Taiwan,56814506500,34568529500,2014,1,['']
Taiwan,56814506500,34568529500,2018,1,['']
Taiwan,56814506500,34568529500,2008,1,['']
Taiwan,56814506500,34568529500,2011,1,['']
Taiwan,56814506500,34568529500,2014,1,['']
Taiwan,56814506500,34568529500,2018,1,['']
Taiwan,56814506500,34568529500,2008,1,['']
Taiwan,56814506500,34568529500,2011,1,['']
Taiwan,56814506500,34568529500,2014,1,['']
Taiwan,56814506500,34568529500,2018,1,['']
Taiwan,7004925264,7403896779,1999,2,"['', '']"
Taiwan,7004925264,7403896779,2001,2,"['', 'Mo-Ba split', 'The gammasphere and particle detectors', 'α and Be ternary fission']"
Taiwan,7004925264,7403896779,2002,1,['']
Taiwan,7004925264,7403896779,2003,1,"['252 Cf', 'Spontaneous fission', 'Ternary fission']"
Taiwan,7004925264,7403896779,2004,1,['']
Taiwan,7004925264,7403896779,2000,1,['']
Taiwan,7004925264,7403896779,2005,1,['']
Taiwan,7004925264,7403896779,2006,2,"['', '']"
Taiwan,56814506500,34568529500,2008,1,['']
Taiwan,56814506500,34568529500,2011,1,['']
Taiwan,56814506500,34568529500,2014,1,['']
Taiwan,56814506500,34568529500,2018,1,['']
Taiwan,56814506500,34568529500,2008,1,['']
Taiwan,56814506500,34568529500,2011,1,['']
Taiwan,56814506500,34568529500,2014,1,['']
Taiwan,56814506500,34568529500,2018,1,['']
Taiwan,56814506500,34568529500,2008,1,['']
Taiwan,56814506500,34568529500,2011,1,['']
Taiwan,56814506500,34568529500,2014,1,['']
Taiwan,56814506500,34568529500,2018,1,['']
Taiwan,56814506500,34568529500,2008,1,['']
Taiwan,56814506500,34568529500,2011,1,['']
Taiwan,56814506500,34568529500,2014,1,['']
Taiwan,56814506500,34568529500,2018,1,['']
Taiwan,56814506500,34568529500,2008,1,['']
Taiwan,56814506500,34568529500,2011,1,['']
Taiwan,56814506500,34568529500,2014,1,['']
Taiwan,56814506500,34568529500,2018,1,['']
Taiwan,56814506500,34568529500,2008,1,['']
Taiwan,56814506500,34568529500,2011,1,['']
Taiwan,56814506500,34568529500,2014,1,['']
Taiwan,56814506500,34568529500,2018,1,['']
Taiwan,56814506500,56978891600,2011,1,['']
