Id,Name,Country,City,University,Citations
34568529500,Antoš Jaroslav,Slovakia,Bratislava,Comenius University,58082
35228145300,Tokár Stanislav A.,Slovakia,Bratislava,Comenius University,46780
34568529500,Antoš Jaroslav,Slovakia,Bratislava,Comenius University,58082
35228145300,Tokár Stanislav A.,Slovakia,Bratislava,Comenius University,46780
36013075600,Květňanský Richard,Slovakia,Bratislava,Institute of Experimental Endocrinology Slovak Academy of Sciences,1658
34568529500,Antoš Jaroslav,Slovakia,Bratislava,Comenius University,58082
34568529500,Antoš Jaroslav,Slovakia,Bratislava,Comenius University,58082
35228145300,Tokár Stanislav A.,Slovakia,Bratislava,Comenius University,46780
7003968078,Pastoreková Silvia,Slovakia,Bratislava,Institute of Virology Slovak Academy of Sciences,3059
7004819785,Pastorek Jaromír,Slovakia,Bratislava,Institute of Virology Slovak Academy of Sciences,1956
35227020800,Bruncko Dušan,Slovakia,Kosice,Institute of Experimental Physics Slovak Academy of Sciences,46224
35228145300,Tokár Stanislav A.,Slovakia,Bratislava,Comenius University,46780
34568529500,Antoš Jaroslav,Slovakia,Bratislava,Comenius University,58082
35228145300,Tokár Stanislav A.,Slovakia,Bratislava,Comenius University,46780
35227020800,Bruncko Dušan,Slovakia,Kosice,Institute of Experimental Physics Slovak Academy of Sciences,46224
34568529500,Antoš Jaroslav,Slovakia,Bratislava,Comenius University,58082
35228145300,Tokár Stanislav A.,Slovakia,Bratislava,Comenius University,46780
56007516100,Fedák Viliam,Slovakia,Kosice,Technical University of Kosice,206
34568529500,Antoš Jaroslav,Slovakia,Bratislava,Comenius University,58082
35228145300,Tokár Stanislav A.,Slovakia,Bratislava,Comenius University,46780
34568529500,Antoš Jaroslav,Slovakia,Bratislava,Comenius University,58082
35228145300,Tokár Stanislav A.,Slovakia,Bratislava,Comenius University,46780
35227020800,Bruncko Dušan,Slovakia,Kosice,Institute of Experimental Physics Slovak Academy of Sciences,46224
35227020800,Bruncko Dušan,Slovakia,Kosice,Institute of Experimental Physics Slovak Academy of Sciences,46224
16241063300,Csanádi Tamás,Slovakia,Kosice,Institute of Materials Research Slovak Academy of Sciences,304
34568529500,Antoš Jaroslav,Slovakia,Bratislava,Comenius University,58082
55893694500,Martoňák Roman,Slovakia,Bratislava,Comenius University,707
35228145300,Tokár Stanislav A.,Slovakia,Bratislava,Comenius University,46780
35231590700,Sýkora Ivan,Slovakia,Bratislava,Comenius University,33700
35227020800,Bruncko Dušan,Slovakia,Kosice,Institute of Experimental Physics Slovak Academy of Sciences,46224
8920374400,Walko Martin,Slovakia,Kosice,Pavol Jozef Safarik University in Kosice,256
35227020800,Bruncko Dušan,Slovakia,Kosice,Institute of Experimental Physics Slovak Academy of Sciences,46224
35227020800,Bruncko Dušan,Slovakia,Kosice,Institute of Experimental Physics Slovak Academy of Sciences,46224
55668188200,Astalos R.,Slovakia,Bratislava,Comenius University,4
34568529500,Antoš Jaroslav,Slovakia,Bratislava,Comenius University,58082
35228145300,Tokár Stanislav A.,Slovakia,Bratislava,Comenius University,46780
35227020800,Bruncko Dušan,Slovakia,Kosice,Institute of Experimental Physics Slovak Academy of Sciences,46224
35227020800,Bruncko Dušan,Slovakia,Kosice,Institute of Experimental Physics Slovak Academy of Sciences,46224
34568529500,Antoš Jaroslav,Slovakia,Bratislava,Comenius University,58082
35228145300,Tokár Stanislav A.,Slovakia,Bratislava,Comenius University,46780
35227020800,Bruncko Dušan,Slovakia,Kosice,Institute of Experimental Physics Slovak Academy of Sciences,46224
35227020800,Bruncko Dušan,Slovakia,Kosice,Institute of Experimental Physics Slovak Academy of Sciences,46224
7004925264,Kliman Ján,Slovakia,Bratislava,Institute of Physics Slovak Academy of Sciences,639
35227020800,Bruncko Dušan,Slovakia,Kosice,Institute of Experimental Physics Slovak Academy of Sciences,46224
34568529500,Antoš Jaroslav,Slovakia,Bratislava,Comenius University,58082
35228145300,Tokár Stanislav A.,Slovakia,Bratislava,Comenius University,46780
35227020800,Bruncko Dušan,Slovakia,Kosice,Institute of Experimental Physics Slovak Academy of Sciences,46224
34568529500,Antoš Jaroslav,Slovakia,Bratislava,Comenius University,58082
35228145300,Tokár Stanislav A.,Slovakia,Bratislava,Comenius University,46780
35227020800,Bruncko Dušan,Slovakia,Kosice,Institute of Experimental Physics Slovak Academy of Sciences,46224
35227020800,Bruncko Dušan,Slovakia,Kosice,Institute of Experimental Physics Slovak Academy of Sciences,46224
34568529500,Antoš Jaroslav,Slovakia,Bratislava,Comenius University,58082
35228145300,Tokár Stanislav A.,Slovakia,Bratislava,Comenius University,46780
35227020800,Bruncko Dušan,Slovakia,Kosice,Institute of Experimental Physics Slovak Academy of Sciences,46224
34568529500,Antoš Jaroslav,Slovakia,Bratislava,Comenius University,58082
35228145300,Tokár Stanislav A.,Slovakia,Bratislava,Comenius University,46780
35227020800,Bruncko Dušan,Slovakia,Kosice,Institute of Experimental Physics Slovak Academy of Sciences,46224
35227020800,Bruncko Dušan,Slovakia,Kosice,Institute of Experimental Physics Slovak Academy of Sciences,46224
34568529500,Antoš Jaroslav,Slovakia,Bratislava,Comenius University,58082
35228145300,Tokár Stanislav A.,Slovakia,Bratislava,Comenius University,46780
35227020800,Bruncko Dušan,Slovakia,Kosice,Institute of Experimental Physics Slovak Academy of Sciences,46224
35227020800,Bruncko Dušan,Slovakia,Kosice,Institute of Experimental Physics Slovak Academy of Sciences,46224
34568529500,Antoš Jaroslav,Slovakia,Bratislava,Comenius University,58082
35231590700,Sýkora Ivan,Slovakia,Bratislava,Comenius University,33700
34568529500,Antoš Jaroslav,Slovakia,Bratislava,Comenius University,58082
35228145300,Tokár Stanislav A.,Slovakia,Bratislava,Comenius University,46780
35228145300,Tokár Stanislav A.,Slovakia,Bratislava,Comenius University,46780
35231590700,Sýkora Ivan,Slovakia,Bratislava,Comenius University,33700
35228145300,Tokár Stanislav A.,Slovakia,Bratislava,Comenius University,46780
35227020800,Bruncko Dušan,Slovakia,Kosice,Institute of Experimental Physics Slovak Academy of Sciences,46224
34568529500,Antoš Jaroslav,Slovakia,Bratislava,Comenius University,58082
35227020800,Bruncko Dušan,Slovakia,Kosice,Institute of Experimental Physics Slovak Academy of Sciences,46224
35227020800,Bruncko Dušan,Slovakia,Kosice,Institute of Experimental Physics Slovak Academy of Sciences,46224
35228145300,Tokár Stanislav A.,Slovakia,Bratislava,Comenius University,46780
36491918900,Kladiva E.,Slovakia,Kosice,Institute of Experimental Physics Slovak Academy of Sciences,33116
36492322600,Strizenec Pavol,Slovakia,Kosice,Institute of Experimental Physics Slovak Academy of Sciences,33076
35228145300,Tokár Stanislav A.,Slovakia,Bratislava,Comenius University,46780
35231590700,Sýkora Ivan,Slovakia,Bratislava,Comenius University,33700
35227020800,Bruncko Dušan,Slovakia,Kosice,Institute of Experimental Physics Slovak Academy of Sciences,46224
35227020800,Bruncko Dušan,Slovakia,Kosice,Institute of Experimental Physics Slovak Academy of Sciences,46224
35227020800,Bruncko Dušan,Slovakia,Kosice,Institute of Experimental Physics Slovak Academy of Sciences,46224
35228145300,Tokár Stanislav A.,Slovakia,Bratislava,Comenius University,46780
35231590700,Sýkora Ivan,Slovakia,Bratislava,Comenius University,33700
35227020800,Bruncko Dušan,Slovakia,Kosice,Institute of Experimental Physics Slovak Academy of Sciences,46224
35227020800,Bruncko Dušan,Slovakia,Kosice,Institute of Experimental Physics Slovak Academy of Sciences,46224
35227020800,Bruncko Dušan,Slovakia,Kosice,Institute of Experimental Physics Slovak Academy of Sciences,46224
35227020800,Bruncko Dušan,Slovakia,Kosice,Institute of Experimental Physics Slovak Academy of Sciences,46224
35228145300,Tokár Stanislav A.,Slovakia,Bratislava,Comenius University,46780
35227020800,Bruncko Dušan,Slovakia,Kosice,Institute of Experimental Physics Slovak Academy of Sciences,46224
35227020800,Bruncko Dušan,Slovakia,Kosice,Institute of Experimental Physics Slovak Academy of Sciences,46224
35227020800,Bruncko Dušan,Slovakia,Kosice,Institute of Experimental Physics Slovak Academy of Sciences,46224
35228145300,Tokár Stanislav A.,Slovakia,Bratislava,Comenius University,46780
35231590700,Sýkora Ivan,Slovakia,Bratislava,Comenius University,33700
35227020800,Bruncko Dušan,Slovakia,Kosice,Institute of Experimental Physics Slovak Academy of Sciences,46224
34568529500,Antoš Jaroslav,Slovakia,Bratislava,Comenius University,58082
35228145300,Tokár Stanislav A.,Slovakia,Bratislava,Comenius University,46780
34568529500,Antoš Jaroslav,Slovakia,Bratislava,Comenius University,58082
35227020800,Bruncko Dušan,Slovakia,Kosice,Institute of Experimental Physics Slovak Academy of Sciences,46224
35227020800,Bruncko Dušan,Slovakia,Kosice,Institute of Experimental Physics Slovak Academy of Sciences,46224
35228145300,Tokár Stanislav A.,Slovakia,Bratislava,Comenius University,46780
35227020800,Bruncko Dušan,Slovakia,Kosice,Institute of Experimental Physics Slovak Academy of Sciences,46224
34568529500,Antoš Jaroslav,Slovakia,Bratislava,Comenius University,58082
35228145300,Tokár Stanislav A.,Slovakia,Bratislava,Comenius University,46780
34568529500,Antoš Jaroslav,Slovakia,Bratislava,Comenius University,58082
35228145300,Tokár Stanislav A.,Slovakia,Bratislava,Comenius University,46780
34568529500,Antoš Jaroslav,Slovakia,Bratislava,Comenius University,58082
35228145300,Tokár Stanislav A.,Slovakia,Bratislava,Comenius University,46780
35227020800,Bruncko Dušan,Slovakia,Kosice,Institute of Experimental Physics Slovak Academy of Sciences,46224
34568529500,Antoš Jaroslav,Slovakia,Bratislava,Comenius University,58082
35228145300,Tokár Stanislav A.,Slovakia,Bratislava,Comenius University,46780
35227020800,Bruncko Dušan,Slovakia,Kosice,Institute of Experimental Physics Slovak Academy of Sciences,46224
35227020800,Bruncko Dušan,Slovakia,Kosice,Institute of Experimental Physics Slovak Academy of Sciences,46224
35228145300,Tokár Stanislav A.,Slovakia,Bratislava,Comenius University,46780
7006503804,Pleško Ivan,Slovakia,Bratislava,National Cancer Registry of,3475
35227020800,Bruncko Dušan,Slovakia,Kosice,Institute of Experimental Physics Slovak Academy of Sciences,46224
36491918900,Kladiva E.,Slovakia,Kosice,Institute of Experimental Physics Slovak Academy of Sciences,33116
36492322600,Strizenec Pavol,Slovakia,Kosice,Institute of Experimental Physics Slovak Academy of Sciences,33076
35227020800,Bruncko Dušan,Slovakia,Kosice,Institute of Experimental Physics Slovak Academy of Sciences,46224
35228145300,Tokár Stanislav A.,Slovakia,Bratislava,Comenius University,46780
35231590700,Sýkora Ivan,Slovakia,Bratislava,Comenius University,33700
35227020800,Bruncko Dušan,Slovakia,Kosice,Institute of Experimental Physics Slovak Academy of Sciences,46224
36491918900,Kladiva E.,Slovakia,Kosice,Institute of Experimental Physics Slovak Academy of Sciences,33116
36492322600,Strizenec Pavol,Slovakia,Kosice,Institute of Experimental Physics Slovak Academy of Sciences,33076
6506490750,Mušák Ludovit,Slovakia,Martin,Jesseniuss Faculty of Medicine,288
12773632600,Koppová Kvetoslava,Slovakia,Bratislava,Slovak Medical University,1388
35231590700,Sýkora Ivan,Slovakia,Bratislava,Comenius University,33700
35227020800,Bruncko Dušan,Slovakia,Kosice,Institute of Experimental Physics Slovak Academy of Sciences,46224
35228145300,Tokár Stanislav A.,Slovakia,Bratislava,Comenius University,46780
35228145300,Tokár Stanislav A.,Slovakia,Bratislava,Comenius University,46780
35227020800,Bruncko Dušan,Slovakia,Kosice,Institute of Experimental Physics Slovak Academy of Sciences,46224
34568529500,Antoš Jaroslav,Slovakia,Bratislava,Comenius University,58082
35228145300,Tokár Stanislav A.,Slovakia,Bratislava,Comenius University,46780
34568529500,Antoš Jaroslav,Slovakia,Bratislava,Comenius University,58082
35228145300,Tokár Stanislav A.,Slovakia,Bratislava,Comenius University,46780
56978891600,Bartoš Pavol,Slovakia,Bratislava,Comenius University,17578
35228145300,Tokár Stanislav A.,Slovakia,Bratislava,Comenius University,46780
34568529500,Antoš Jaroslav,Slovakia,Bratislava,Comenius University,58082
35228145300,Tokár Stanislav A.,Slovakia,Bratislava,Comenius University,46780
56978891600,Bartoš Pavol,Slovakia,Bratislava,Comenius University,17578
