Source,Target,Year,Weight,Keywords
8791901800,13002919700,2000,1,['']
8791901800,13002919700,2001,2,"['Annealing studies', 'Consequences for high energy physics applications', 'Gamma-, neutron-, proton- and pion irradiation', 'Improved radiation tolerance by oxygen enrichment', 'Silicon detectors', 'Defect engineering', 'Non ionizing energy loss', 'Radiation hardness', 'Silicon detectors']"
8791901800,13002919700,2005,1,"['Application specific integrated circuits', 'Binary readout', 'Front-end electronics', 'Quality assurance', 'Radiation damage', 'Silicon strip detectors', 'Tracking detectors']"
8791901800,13002919700,2007,2,"['', '']"
8791901800,13002919700,2009,4,"['Brachytherapy', 'Detectors', 'Pinhole', 'Silicon', 'Verification', 'Brachytherapy', 'In-vivo', 'Localization', 'Silicon pixel detectors', 'Charge collection efficiency', 'Charge multiplication', 'Charge trapping', 'Irradiation', 'Silicon strip detectors', 'Accelerators', 'Dosimetry', 'pin diodes', 'RadFET', 'Radiation damage']"
8791901800,13002919700,2008,1,['']
8791901800,13002919700,2010,1,"['Brachytherapy', 'Silicon pixel detectors', 'Source localization', 'Verification']"
8791901800,13002919700,2011,2,"['Brachytherapy', 'in-vivo', 'localization', 'silicon pixel detectors', 'Charge transport and multiplication in solid media', 'Radiation-hard detectors', 'Si microstrip and pad detectors']"
8791901800,13002919700,2012,2,"['', '']"
8791901800,13002919700,2013,1,['']
8791901800,13002919700,2014,1,"['HL-LHC', 'n -in-p +', 'P-type', 'PTP', 'Radiation-tolerant', 'Silicon strip']"
8791901800,13002919700,2015,1,['']
8791901800,13002919700,2016,1,['']
8791901800,13002919700,2017,1,['']
8791901800,13002919700,2018,2,"['Diamond detectors', 'Radiation hard detectors', 'Solid state detectors', 'Charge multiplication', 'Fast silicon sensors', 'Radiation damage', 'Thin tracking sensors', 'Time resolution']"
7004138152,6701813752,2008,1,"['Axillary recurrence', 'Breast cancer', 'Extracapsular spread', 'Extranodal invasion', 'Loco-regional relapse']"
22985520400,8639762300,2007,2,"['Degradation products', 'Diclofenac', 'Ibuprofen', 'Ketoprofen', 'Naproxen', 'Pilot wastewater treatment plant', 'Biodegradation', 'Environmental sample', 'Gas chromatography', 'Hyphenated technique', 'Identification', 'Liquid chromatography', 'Mass spectrometry', 'Metabolite', 'Pharmaceuticals']"
