Source,Target,Year,Weight,Keywords
7101784599,7004564883,2007,3,"['Autoantibodies', 'Autoimmunity', 'Flow cytometry', 'Lupus', 'Lymphocytes', 'Lymphopenia', 'Nephritis', '', '']"
7101784599,7004564883,2008,3,"['', '', '']"
7101784599,7004564883,2009,3,"['', '', '']"
7101784599,7004564883,2011,1,"['Anti-tumour necrosis factor', 'Biologics', 'Psoriatic arthritis', 'Rheumatoid arthritis', 'Spondylarthritides']"
7101784599,7004564883,2012,3,"['methotrexate', 'multifactor dimensionality reduction', 'pharmacogenetics', 'rheumatoid arthritis', '', '']"
7101784599,7004564883,2015,1,['']
7101784599,7004564883,2016,2,"['', 'Cardiovascular Disease', 'DMARDs (biologic)', 'Rheumatoid Arthritis']"
7101784599,7004564883,2017,2,"['', 'Anti-TNF', 'DMARDs (biologic)', 'Outcomes research', 'Rheumatoid Arthritis', 'Social work']"
7101784599,7004564883,2018,2,"['', '']"
7005398112,7202300001,2007,1,"['Birth weight', 'Hypertension', 'Twins']"
7005398112,7202300001,2008,5,"['Depressive symptoms', 'Social support', 'Temperament', 'Twin study', 'Cessation', 'Correlates', 'Smoking', 'Snus', 'Sweden', '', 'Resilience', 'Salutogenic factors', 'Sense of coherence', 'Twin study', '']"
7005398112,7202300001,2010,2,"['Anorexia nervosa', 'bulimia nervosa', 'genetic', 'heritability', 'twin', 'Alcohol', 'Anorexia nervosa', 'Binge-eating disorders', 'Bulimia nervosa', 'Tobacco']"
7005398112,7202300001,2011,3,"['Anorexia nervosa', 'Classification', 'Diagnostic criteria', 'Eating disorder', '', 'adult development', 'anxiety', 'behavior genetics', 'depression', 'emotional development']"
7005398112,7202300001,2012,2,"['binge eating', 'DSM-5', 'Binge eating', 'Body mass index', 'Depression', 'Obesity', 'Sleep']"
7005398112,7202300001,2013,4,"['', 'biobank', 'population-based', 'registry', 'Sweden', 'twin', 'Binge eating', 'Body mass index', 'Gastroesophageal reflux disease', 'Irritable bowel syndrome', 'Anorexia', 'Binge eating disorder', 'Bulimia', 'Eating disorders', 'Suicide']"
7005398112,7202300001,2016,2,"['bulimia nervosa', 'eating disorder', 'heritability', 'purging disorder', 'self-induced vomiting', 'twin study', 'BMI', 'GCTA', 'Genetic stability', 'GREML', 'Height', 'LD score regression', 'Polygenic prediction', 'Unrelated samples', 'Weight']"
7005398112,7202300001,2017,1,"['adverse events', 'anorexia nervosa', 'co-twin control', 'comorbidity', 'personality']"
7005398112,7202300001,2018,1,"['Anorexia nervosa', 'Eating disorders', 'Genome-wide association', 'Psychiatric genetics', 'Psychiatric genomics consortium', 'Social media']"
7005398112,6506552509,2013,1,"['biobank', 'population-based', 'registry', 'Sweden', 'twin']"
7005398112,24756281600,2012,4,"['genetics', 'GWAS', 'heritability', 'behavior genetics', 'cognitive ability', 'genetics', 'individual differences', 'intelligence', '', '']"
7005398112,21634758500,2011,1,['']
7202300001,35272076900,2009,1,['']
7202300001,35272076900,2011,2,"['genome-wide association', 'pathway analysis', 'polygenic', 'polygenic score', 'serum lipids', '']"
7202300001,6506552509,2011,1,"['Biobank', 'Cohort study', 'Epidemiology', 'Population genetics', 'Prospective study', 'Questionnaires']"
7202300001,6506552509,2012,1,"['Cardiovascular diseases', 'Case-cohort studies', 'Nested case-control studies', 'Risk prediction', 'Sampling design']"
7202300001,6506552509,2013,4,"['biobank', 'population-based', 'registry', 'Sweden', 'twin', '', '', '']"
7202300001,6506552509,2014,1,"['Coronary heart disease', 'Gene-environment interaction', 'Heritability', 'Modifiable lifestyle']"
7202300001,6506552509,2015,3,"['', '', '']"
7202300001,6506552509,2017,3,"['ADAMTS7 protein', 'coronary artery disease', 'gene-environment interaction', 'genome-wide association study', 'smoking', '', '']"
7202300001,6506552509,2018,2,"['', '']"
7202300001,7101682939,2015,2,"['', '']"
7202300001,24756281600,2007,1,['']
7202300001,24756281600,2008,1,['']
7202300001,24756281600,2009,3,"['', '', '']"
7202300001,24756281600,2011,1,"['genome-wide association', 'pathway analysis', 'polygenic', 'polygenic score', 'serum lipids']"
7202300001,24756281600,2012,5,"['Attention', 'Conscientiousness', 'Enjoyment', 'Expertise', 'Flow', 'Intelligence', 'IQ', 'Motivation', 'Neuroticism', 'Personality', 'complex traits', 'GCTA', 'genome-wide', 'polymorphisms', 'variance', '', 'Flow proneness', 'Genetic influences', 'Heritability', 'Personality', '']"
7202300001,24756281600,2013,4,"['', 'GCTA', 'GREML', 'Happiness', '', '']"
7202300001,24756281600,2014,2,"['Association study', 'Illumina', 'SNP', 'Coronary heart disease', 'Gene-environment interaction', 'Heritability', 'Modifiable lifestyle']"
7202300001,24756281600,2015,4,"['', '', '', '']"
7202300001,24756281600,2017,3,"['', '', '']"
7202300001,24756281600,2016,1,"['genetic correlation', 'genetics', 'happiness', 'polygenic prediction', 'wellbeing']"
7202300001,24756281600,2018,2,"['Biomarker', 'Cardiac metabolism', 'Environment', 'Genes', 'Heritability', '']"
7202300001,7004953409,2009,1,['']
7202300001,7004953409,2011,2,"['genome-wide association', 'pathway analysis', 'polygenic', 'polygenic score', 'serum lipids', '']"
7202300001,26643471200,2012,1,['']
7202300001,26643471200,2015,1,['']
7202300001,26643471200,2017,1,"['ADAMTS7 protein', 'coronary artery disease', 'gene-environment interaction', 'genome-wide association study', 'smoking']"
7202300001,26643471200,2018,4,"['blood pressure', 'cross sectional analysis', 'epidemiology', 'exercise', 'physical activity', 'sitting time', 'television time', '', '', 'aging', 'DNA methylation', 'longitudinal study', 'meQTL', 'twin-pair analysis']"
7202300001,21634758500,2010,1,"['common controls', 'genome-wide data', 'Nordic Control Database', 'population stratification']"
7202300001,21634758500,2011,2,"['Biobank', 'Cohort study', 'Epidemiology', 'Population genetics', 'Prospective study', 'Questionnaires', '']"
7202300001,21634758500,2016,1,['']
35272076900,6506552509,2015,1,['']
35272076900,24756281600,2009,1,['']
35272076900,24756281600,2011,1,"['genome-wide association', 'pathway analysis', 'polygenic', 'polygenic score', 'serum lipids']"
35272076900,24756281600,2017,1,['']
35272076900,7004953409,2007,1,['']
35272076900,7004953409,2008,2,"['', '']"
35272076900,7004953409,2009,1,['']
35272076900,7004953409,2010,4,"['', '', '', 'genome-wide genotyping', 'population structure', 'principal components']"
35272076900,7004953409,2011,2,"['genome-wide association', 'pathway analysis', 'polygenic', 'polygenic score', 'serum lipids', '']"
35272076900,7004953409,2012,3,"['indels', 'next-generation DNA sequencing', 'pooling', 'SNP', 'SOLiD', '', 'Karesuando', 'NSPHS', 'SH2B1 gene', 'SOLAR', 'SPNS1', 'triglycerides']"
35272076900,7004953409,2013,1,"['Bioinformatics', 'Genome-wide association', 'Genotype-phenotype prioritization', 'Metabolite', 'Pathway databases']"
35272076900,7004953409,2014,1,['']
35272076900,7004953409,2015,2,"['Non-communicable diseases', 'normalization', 'plasma protein biomarkers', 'proximity extension assay', '']"
35272076900,7004953409,2016,2,"['', '']"
35272076900,7004953409,2017,3,"['allergy', 'DNA methylation', 'Fx5', 'IgE', 'immune diseases', 'Phadiatop', '', '']"
35272076900,7004953409,2018,3,"['', 'Chromosome 19', 'Community-based individuals', 'Genome-wide association study', 'Growth differentiation factor-15', 'Macrophage inhibitory cytokine-1', '']"
35272076900,26643471200,2015,1,['']
35272076900,26643471200,2016,1,['']
35272076900,26643471200,2018,1,"['Chromosome 19', 'Community-based individuals', 'Genome-wide association study', 'Growth differentiation factor-15', 'Macrophage inhibitory cytokine-1']"
6506552509,7101682939,2013,1,"['association studies', 'genetics', 'risk assessment', 'risk prediction', 'risk score']"
6506552509,7101682939,2015,4,"['Atherogenic plaque', 'Atherosclerosis', 'Carotid artery', 'Genome-wide association', 'Intima-media thickness', '', '', 'adiponectin', 'atherosclerosis', 'carotid intima‐media thickness', 'genetics', 'Mendelian randomization']"
6506552509,7101682939,2017,1,"['Atherosclerosis', 'Genetic variants', 'Intima-media-thickness', 'Mendelian randomisation', 'Proinsulin', 'Single nucleotide polymorphisms']"
6506552509,24756281600,2013,3,"['', '', '']"
6506552509,24756281600,2014,1,"['Coronary heart disease', 'Gene-environment interaction', 'Heritability', 'Modifiable lifestyle']"
6506552509,24756281600,2015,3,"['', '', '']"
6506552509,24756281600,2017,2,"['', '']"
6506552509,24756281600,2018,1,['']
6506552509,7004953409,2010,1,['']
6506552509,26643471200,2007,1,"['Epidemiology', 'Heart failure', 'Risk factors', 'Sleep disorders']"
6506552509,26643471200,2008,3,"['Inflammation', 'Insulin resistance', 'Metabolic syndrome', 'Endothelial function', 'Estrogen receptor alpha', 'Genetics', 'Vasodilation', '']"
6506552509,26643471200,2009,2,"['', '']"
6506552509,26643471200,2010,6,"['Cardiovascular diseases', 'Epidemiology', 'Insulin resistance', 'Metabolic syndrome', 'Obesity', 'Atherosclerosis', 'Calcium', 'Phosphorus', 'Vascular calcification', '', '', '', '']"
6506552509,26643471200,2011,4,"['', 'epidemiology', 'metabolic syndrome', 'metabolism', 'obesity', 'risk factors', 'gene expression', 'genome-wide association study', 'growth factors', 'pathway analysis', '']"
6506552509,26643471200,2012,2,"['', 'Epidemiology', 'heart failure', 'risk factors', 'smokeless tobacco', 'snus']"
6506552509,26643471200,2013,2,"['', 'ADMA', 'DDAH', 'endothelium', 'gene', 'vasodilation']"
6506552509,26643471200,2014,3,"['Hypertension', 'Insulin resistance', 'Obesity', 'Overweight', '', '']"
6506552509,26643471200,2015,1,"['adiponectin', 'atherosclerosis', 'carotid intima‐media thickness', 'genetics', 'Mendelian randomization']"
6506552509,26643471200,2016,5,"['', '', 'Genetic', 'Metabolomics', 'Prediction', 'Type 2 diabetes', 'Cardiovascular disease', 'Epidemiology', 'Proteomics', 'Smoking', 'Cardiovascular disease', 'DNA methylation', 'Epigenetics', 'Oxidative stress', 'Type 2 diabetes']"
