Id,Name,Country,City,University,Citations
56808162400,Lytken E.,Sweden,Lund,Lunds Universitet,40015
7004564883,Van Vollenhoven Ronald Frits,Sweden,Stockholm Birmingham,Karolinska Institutet,15324
7101784599,Klareskog Lars G.,Sweden,Stockholm,Karolinska University Hospital,16020
6506552509,Ingelsson Erik,Sweden,Uppsala,Uppsala Universitet,8026
7004953409,Gyllensten Ulf B.,Sweden,Uppsala,Uppsala Biomedicinska Centrum,3938
7005398112,Lichtenstein Paul,Sweden,Stockholm,Karolinksa Institute,10139
7101682939,Hamsten Anders,Sweden,Stockholm,Karolinska University Hospital,6514
7202300001,Pedersen Nancy Lee,Sweden,Stockholm,Karolinska Institutet,43455
21634758500,Groop Leif C.,Sweden,Lund,Lunds Universitet,73553
24756281600,Magnússon Patrik Ke,Sweden,Stockholm,Karolinska Institutet,4627
26643471200,Lind Lars,Sweden,Uppsala,Uppsala Universitet,35107
35272076900,Johansson Åsa K.,Sweden,Uppsala,Uppsala Biomedicinska Centrum,1996
56830266200,Pouta Anneli,Sweden,Stockholm Helsinki,Karolinska Institutet,4336
6603796638,Hedberg Vincent,Sweden,Lund,Lunds Universitet,45363
8738691400,Ekelöf Tord,Sweden,Uppsala,Uppsala Universitet,45144
35285554700,Ellert Mattias,Sweden,Uppsala,Uppsala Universitet,39274
6603796638,Hedberg Vincent,Sweden,Lund,Lunds Universitet,45363
6603962980,Jarlskog G.,Sweden,Lund,Lunds Universitet,47675
8086257600,Moa Torbjörn,Sweden,Stockholm,Stockholms universitet,44985
8738691400,Ekelöf Tord,Sweden,Uppsala,Uppsala Universitet,45144
25635382400,Brenner Richard A.,Sweden,Uppsala,Uppsala Universitet,39303
35285554700,Ellert Mattias,Sweden,Uppsala,Uppsala Universitet,39274
57201075299,Smirnova Oxana G.,Sweden,Lund,Lunds Universitet,41641
7102568587,Glimelius Bengt L.G.,Sweden,Stockholm,Karolinska University Hospital,8632
55922690300,Pǻhlman Lars A.,Sweden,Uppsala,Uppsala Universitet,5249
7004564883,Van Vollenhoven Ronald Frits,Sweden,Stockholm Birmingham,Karolinska Institutet,15324
7101784599,Klareskog Lars G.,Sweden,Stockholm,Karolinska University Hospital,16020
35227978100,Sjölin Jörgen,Sweden,Stockholm,Stockholms universitet,35117
56808162400,Lytken E.,Sweden,Lund,Lunds Universitet,40015
6602199867,Czene Kamila,Sweden,Stockholm,Karolinska Institutet,3766
7005502801,Lindblom Annika,Sweden,Stockholm,Karolinska University Hospital,7612
7403694791,Hall Per F.L.,Sweden,Stockholm,Karolinska Institutet,5914
8838813700,Margolin Sara,Sweden,Stockholm,Karolinska University Hospital,102
34975062600,Grönberg Henrik,Sweden,Stockholm,Karolinska Institutet,7500
36477499900,Li Jingmei,Sweden,Stockholm,Karolinska Institutet,2173
57197803021,Darabi Hatef,Sweden,Stockholm,Karolinska Institutet,758
35227948700,Strandberg Jonas,Sweden,Stockholm,The Royal Institute of Technology (KTH),41500
35228030900,Strandberg Sara,Sweden,Stockholm,Stockholms universitet,35539
6701721039,Börjesson Mats Å,Sweden,Gothenburg Gothenburg,Goteborgs Universitet,2694
35473118000,Sharma Hari Shanker,Sweden,Uppsala,Akademiska Sjukhuset,2492
