Id,Name,Year,Nodes,Edges,Connectivity
Austria-2007,Austria,2007,180,496,0.030618228957683877
Austria-2008,Austria,2008,198,959,0.048924827181593245
Austria-2009,Austria,2009,202,777,0.03808543489449305
Austria-2010,Austria,2010,184,417,0.02463447053610988
Austria-2011,Austria,2011,223,2374,0.09547940797940797
Austria-2012,Austria,2012,240,2429,0.08434174204413271
Austria-2013,Austria,2013,244,2358,0.07921390778533635
Austria-2014,Austria,2014,229,2387,0.0910373760488177
Austria-2015,Austria,2015,240,2460,0.08541814962065314
Austria-2016,Austria,2016,242,2444,0.08346566944999402
Austria-2017,Austria,2017,229,2455,0.09363081617086194
Belgium-2007,Belgium,2007,575,1903,0.011511566008517228
Belgium-2008,Belgium,2008,546,3130,0.020998607919762508
Belgium-2009,Belgium,2009,604,3299,0.018085879144223785
Belgium-2010,Belgium,2010,597,2030,0.011391439024937711
Belgium-2011,Belgium,2011,625,4179,0.021396534775129025
Belgium-2012,Belgium,2012,654,3670,0.017160959985036764
Belgium-2013,Belgium,2013,619,2967,0.015487002818665831
Belgium-2014,Belgium,2014,614,4044,0.02145386543588111
Belgium-2015,Belgium,2015,602,4882,0.026942381823550025
Belgium-2016,Belgium,2016,607,4736,0.025707833941288866
Belgium-2017,Belgium,2017,565,6044,0.037866827055609856
Bulgaria-2007,Bulgaria,2007,16,117,0.9176470588235294
Bulgaria-2008,Bulgaria,2008,14,67,0.6871794871794872
Bulgaria-2009,Bulgaria,2009,19,70,0.3888888888888889
Bulgaria-2010,Bulgaria,2010,11,116,1.9333333333333333
Bulgaria-2011,Bulgaria,2011,8,6,0.19047619047619047
Bulgaria-2012,Bulgaria,2012,16,31,0.24313725490196078
Bulgaria-2013,Bulgaria,2013,15,129,1.1517857142857142
Bulgaria-2014,Bulgaria,2014,16,69,0.5411764705882353
Bulgaria-2015,Bulgaria,2015,17,70,0.4861111111111111
Bulgaria-2016,Bulgaria,2016,19,76,0.4222222222222222
Bulgaria-2017,Bulgaria,2017,18,36,0.22291021671826625
Croatia-2007,Croatia,2007,45,84,0.08300395256916997
Croatia-2008,Croatia,2008,55,79,0.052248677248677246
Croatia-2009,Croatia,2009,50,59,0.04721888755502201
Croatia-2010,Croatia,2010,55,65,0.04298941798941799
Croatia-2011,Croatia,2011,58,68,0.040440083258994945
Croatia-2012,Croatia,2012,54,63,0.04322469982847341
Croatia-2013,Croatia,2013,60,103,0.05723812170047236
Croatia-2014,Croatia,2014,54,44,0.03018867924528302
Croatia-2015,Croatia,2015,53,48,0.03418803418803419
Croatia-2016,Croatia,2016,41,41,0.04880952380952381
Croatia-2017,Croatia,2017,52,50,0.03699593044765076
Cyprus-2007,Cyprus,2007,4,2,0.26666666666666666
Cyprus-2009,Cyprus,2009,2,1,0.6666666666666666
Cyprus-2010,Cyprus,2010,3,3,0.75
Cyprus-2011,Cyprus,2011,3,3,0.75
Cyprus-2012,Cyprus,2012,10,7,0.1414141414141414
Cyprus-2013,Cyprus,2013,9,5,0.125
Cyprus-2014,Cyprus,2014,10,6,0.12121212121212122
Cyprus-2015,Cyprus,2015,8,5,0.15873015873015872
Cyprus-2016,Cyprus,2016,4,2,0.26666666666666666
Cyprus-2017,Cyprus,2017,10,10,0.20202020202020202
Czech Republic-2007,Czech Republic,2007,84,163,0.04620836286321758
Czech Republic-2008,Czech Republic,2008,84,184,0.052161587526576896
Czech Republic-2009,Czech Republic,2009,92,146,0.03450313127732483
Czech Republic-2010,Czech Republic,2010,91,124,0.02995169082125604
Czech Republic-2011,Czech Republic,2011,104,140,0.025889967637540454
Czech Republic-2012,Czech Republic,2012,116,171,0.025418060200668897
Czech Republic-2013,Czech Republic,2013,111,134,0.021753246753246754
Czech Republic-2014,Czech Republic,2014,109,230,0.03872053872053872
Czech Republic-2015,Czech Republic,2015,123,223,0.029481755684822846
Czech Republic-2016,Czech Republic,2016,106,266,0.04735202492211838
Czech Republic-2017,Czech Republic,2017,128,196,0.023927241652932918
Denmark-2007,Denmark,2007,253,733,0.022903387076615423
Denmark-2008,Denmark,2008,274,920,0.02450882450882451
Denmark-2009,Denmark,2009,289,1024,0.024521072796934867
Denmark-2010,Denmark,2010,290,1152,0.027396282952234865
Denmark-2011,Denmark,2011,297,1128,0.02557591148195175
Denmark-2012,Denmark,2012,297,1131,0.025643932523127154
Denmark-2013,Denmark,2013,305,1127,0.02423030615755074
Denmark-2014,Denmark,2014,340,1184,0.020484606268220313
Denmark-2015,Denmark,2015,351,1246,0.020227272727272726
Denmark-2016,Denmark,2016,347,1242,0.020629858481164044
Denmark-2017,Denmark,2017,348,1079,0.017819542042723964
Estonia-2007,Estonia,2007,10,19,0.3838383838383838
Estonia-2008,Estonia,2008,16,35,0.27450980392156865
Estonia-2009,Estonia,2009,13,15,0.17857142857142858
Estonia-2010,Estonia,2010,16,42,0.32941176470588235
Estonia-2011,Estonia,2011,15,59,0.5267857142857143
Estonia-2012,Estonia,2012,14,37,0.37948717948717947
