"id","co_list","country_origin"
8398051000,"[56808144900, 56814506500, 57203234311, 35504085000, 35227839500, 35227596300, 35313369100, 35274521100, 35226998800, 35227988500, 57202562075, 35766979100, 56275463200, 35228205600, 57203215394, 35277626400, 7006683179, 35226937900, 7005529134, 35228222000, 35227607600, 10039870000, 6603350067, 35228076600, 35228012600, 7409386554, 57202556475, 35763389500, 35313298500, 13612869700, 56808150600, 25025562700, 35227849300, 35227264600, 34568529500, 57200136284, 56808162400, 35227622500, 35227985000, 35227140200, 35313911400, 35227626100, 35313398900, 23570388600, 55687307900, 35227979900, 35277567100, 35274563200, 12646424200, 35228094600, 35228128400, 57203259025, 35227287700, 35228145300, 56439029400, 35227513500, 55159135900, 35354493600, 35227973800, 12781680300, 56967736500, 8293419700, 8398051000, 35354121400, 34570415800, 35227175100, 35227947200, 8844036800, 57202557635, 35226978500, 57202557646, 8212770000, 56439065300, 7005344981, 35277533400, 35228065500, 35227988700, 56978862300, 57203215583, 35226930400, 25940585700, 35227970800, 35227958000, 56120822000, 35227159800, 56808147200, 35226988800, 7003981571, 34768868100, 35227483400, 7103320329, 35227052300, 35227162900, 35227256600, 35228271900, 26667747100, 34869270300, 35313391900, 35227366700, 35226995000, 35227626300, 7101609791, 56978785600, 35226934600, 35225795400, 35227169100, 35227186000, 57203199319, 56608839000, 35351336800, 25942632800, 35227142500, 35227857400, 57203215725, 55254610800, 35227969400, 35226940800, 13407629700, 35227051400, 35228216200, 34569387400, 35227836300, 35226944400, 56261402000, 35228074900, 56978897300, 35228079000, 35227157400, 57191623580, 26667724700, 35227647900, 35227012000, 56978768800, 35227370400, 7004437920, 35350702500, 35227737000, 35228210600, 35227506600, 7102568880, 35227979700, 35227612600, 57202562494, 10039166400, 35226997700, 35227061700, 35227087300, 35227641800, 35228106700, 35227607500, 35227385300, 56608782300, 36041695200, 35227721700, 35226983400, 35227687400, 35315149800, 7003443189, 13612881400, 34568149500]","United Kingdom"
35226990500,"[16427686400, 35227357700, 57203234311, 35226939400, 56978875400, 35314764300, 56275463200, 35226925100, 35314835500, 56654167600, 35227748400, 35228068400, 57202558513, 35227957300, 7004529719, 13906348600, 35227005500, 35314826300, 24483223100, 35227278400, 7004197449, 24438477900, 35227064400, 35226936400, 35227785300, 7004441173, 35227516500, 57203051099, 35227486300, 35227848800, 56438617700, 35227857000, 35354875500, 35227605100, 55325102700, 35230028400, 35227971700, 35227169400, 8047243900, 31967794300, 35095999100, 56438842500, 35314541700, 35227838600, 56967682700, 35228073100, 35231426700, 35227027600, 35227360400, 56978669200, 56024254100, 35227035800, 35227380900, 35227845800, 7103219883, 35355952300, 7004149934, 56438990000, 35227265200, 35228011700, 35227132600, 57202557628, 35227072700, 7003849404, 35226987200, 36148386500, 35227648200, 56808166600, 35227848400, 24504469200, 35277533400, 35227950300, 35229426400, 35227365600, 56254215400, 35277690600, 35355646700, 36026370800, 45261037300, 35227953400, 35227748600, 56978532600, 56439016700, 34768868100, 34975054600, 8935758600, 6506883851, 35273234200, 14630068000, 35228199200, 56250385700, 16019601700, 35315017000, 35278272300, 6602325806, 35227374900, 35227955000, 57190800185, 34767918400, 56978785600, 35226947400, 55169492300, 35271358800, 35228107600, 35228086100, 34769039700, 35226946900, 7005240663, 36042579800, 35314835800, 35227983700, 39262155100, 35227496800, 35227176800, 35227752800, 35227253600, 14634400100, 35227163500, 56978805100, 14629633900, 7003291511, 56978868600, 24325496700, 35231391100, 35228092800, 35227047300, 46361101700, 35315221900, 57203044241, 7007057809, 35228074900, 35225796500, 35227720600, 36148386200, 35231679900, 35226995100, 35227012000, 35226990500, 35278894500, 8546457000, 55856929200, 55094642100, 35227949500, 57202570173, 35227134400, 35227292100, 35227641800, 56978809800, 31967524300, 35227044300, 35227244500, 16020503000, 7004705753, 35227607000, 35350563300, 56983177700, 35226983400, 55957278700, 8719356400, 35227243000]","France"
35380236300,"[8545446400, 35373857800, 6505857032, 7102269450, 35380236300, 56693008400, 55340291600, 7101784599, 6602418203, 35374283300, 6701738535, 35420303400, 55953060400, 16067018800, 7006658098, 55379227700, 7005197367, 35379799100, 7005308476, 7403051583, 7405965380, 6602144837, 7006189639, 35375753800, 35359975500, 6603956815, 7102733905, 24473033300, 7102961748, 6602354774, 14623283800, 36339635800, 7102412380, 35273468000, 7004257892, 7004621925, 6701654629, 16024853100, 35374403700, 7005401205, 7005257845, 7102067319, 36551491700, 7005186682, 16197605000, 6603312268, 7006410381, 6602075277, 57203029136, 56251722900, 16239042200, 36196836000, 35240300200, 7102494383, 35356058800, 36509338800, 7401915067, 6701624000, 7004802753, 7004966093, 7403053263, 35377488600, 56598403800, 7103202523, 8865953500, 6602606299, 36065493500, 7101886689, 35243075300, 7004105448, 23992788200, 6602423027, 23027744500, 7005946615, 35431294200, 7103099640, 35310338300, 7101712130, 7003326212, 6602808580, 35371931400, 7004140809, 56371487500, 55114450700, 8548178700, 23482621200, 7005052706, 55408491300, 55453662500, 7003265326, 7004354863, 23993745200, 36045269300, 6701362997, 6602809143, 6603895097, 7003995450, 7004943164, 7005642558, 36875438400, 7006480193, 55535576900, 7006631752, 16073799500, 6506523644, 36340308300, 6701757270, 20334539100, 8708836700, 7006104930, 6508129125, 56328279400, 7403379566, 10043334000, 55427193200, 6603442559, 36007203200, 7005496707, 55320858500, 55255962500, 57202524550, 6602771852, 7005380493, 6701760911, 34568986000, 6603454353, 7004564883, 7004035991, 56000827800, 7004560281, 7003489187, 34772168100, 16313539500, 7102326195, 8146533300, 34976591800, 7102675387, 7202226107, 35068807100, 57197133249, 35355292100, 6602254276, 35459714500, 7103329735, 7006083023, 7101771217, 55195129300, 14032048600, 35392987100, 36890104800, 6603100646, 7402886631, 6602494445, 26643055600, 7201777137, 6602172914, 56155460600, 7004196859, 35263586300, 7006779902]","Netherlands"
35379599600,"[7003630084, 56523541000, 7103360008, 6603314188, 7004678671, 26648246800, 24329223700, 56920724500, 35085793300, 35231615000, 16067125800, 7005423657, 7006392362, 7003962934, 7003287098, 36043939900, 6507668542, 7102291011, 35351391300, 57202034762, 7003669072, 7202318417, 8916476500, 7005398112, 7202300001, 7410311266, 7103058531, 35272076900, 6603957862, 57191987814, 6701823086, 7005647985, 7006224498, 7402993779, 15926160500, 28267579000, 7202347641, 6701531258, 57195254907, 7102229127, 19336958600, 7005078154, 35425466000, 7004052115, 6508277910, 26654479000, 6701721757, 7102452915, 6701612213, 6506552509, 7004685503, 6701705920, 7006800602, 35239982300, 7004345054, 55400421600, 7006708451, 7103086309, 7402136810, 6701433067, 36037246700, 56266405100, 6604055278, 35378012400, 35379599600, 7202687730, 13410204400, 35354080500, 7004828916, 55239601400, 7101682939, 24756281600, 7006776577, 7004217088, 7402785538, 18535933700, 36048731400, 8232027400, 6603559691, 36519545100, 7004443919, 7102050074, 56424163100, 7005614368, 34571085600, 35217924900, 7101773606, 55138342700, 56965303600, 7003411255, 36078643000, 7003490617, 35375662400, 7102087489, 7004953409, 7006388546, 55923195200, 7003478852, 7006594888, 35235378000, 7201835346, 7003353432, 7102610264, 56830266200, 6603802971, 36051313500, 26435411800, 26643471200, 21634758500, 8739667300, 6701522277, 7006771047, 37117860200, 7005473131, 7003433840, 24339525500, 57194504574, 7403154309, 7005443464, 7004697483, 35261973900, 55800239500, 7202626958, 6602534283, 7801419664, 35235635600, 56662814100, 6508158868, 36039269800, 6602988969, 57202570156, 7006539182, 6603009457, 7007162803, 57190986676, 7102159798, 56687068600, 55941626300, 7402061249, 7102574024, 7003719630, 35369845200, 7006330833, 24341442000, 55800249300, 7006756308, 36012823000, 56813518300, 7004714461, 14033383900, 24167365600, 16041567200, 56521788900, 7007114725, 7007138278, 7004632549, 35402433000, 7005997553, 56425839100, 7102825981]","Finland"
35277586500,"[14826956800, 16427686400, 35278310400, 35227596300, 24759171600, 35277021200, 22996961300, 56275463200, 35227143200, 15842861600, 14056186400, 36491292200, 35226937900, 22970067500, 35227607600, 35223089200, 35372482100, 7409386554, 24536744000, 10042971200, 35226984000, 35279182400, 35277586500, 35223105600, 36491141700, 35227521100, 6508236368, 43061214800, 36491175000, 35227622500, 56438617700, 35226969700, 36170321000, 11040657000, 35354875500, 36945595500, 35227144300, 35227523700, 35228266100, 23033821300, 35223179900, 38761547900, 35095999100, 35274563200, 31967708800, 35314640000, 35233692800, 35227373700, 35227424900, 35228094600, 8606786700, 35227462800, 56024254100, 35314826900, 35227035800, 56978617500, 36443679900, 35226992800, 12781680300, 35227034800, 36491162800, 16243960500, 35227132600, 34570415800, 35227994300, 57202557628, 7006875836, 7006739132, 35226987200, 35222340800, 35227294400, 36491482300, 35228040900, 35227648200, 45561531600, 35276889300, 35228065500, 26326821600, 36491804900, 35227361000, 35355646700, 56424971500, 35221647600, 36026370800, 55210029300, 36124235000, 34975054600, 35227052300, 35227670800, 7005906193, 35226932500, 8791937300, 35198874900, 26667747100, 34869270300, 24758179100, 26655599900, 36491734300, 56250385700, 35227435300, 6505778480, 24280951600, 35227374900, 34767918400, 55870774600, 36491075400, 55169492300, 35227271500, 35227186000, 35226946900, 35277847900, 23492055900, 25942632800, 36122805600, 56261416800, 38861612900, 10340537700, 35104288100, 35558385000, 6506648426, 36149032300, 55341518700, 56870918000, 35226996600, 57203175803, 7004315004, 44460933500, 35227051400, 35226944400, 36491917200, 26326826900, 35222916500, 35227157400, 24347545500, 35227012000, 35227370400, 35226990500, 7404772262, 8546457000, 35215261100, 16401910700, 24758830000, 35555531700, 22834750900, 35227168700, 31967648700, 22135584700, 28167597500, 8977995200, 35226997700, 26326735300, 35226976200, 31967524300, 35227607500, 35227385300, 55171735000, 35227000800, 24757919200, 12755273200, 13612881400]","Germany"
56024254100,"[7102274048, 14826956800, 16427686400, 35278310400, 56978875400, 35314764300, 35227596300, 35285554700, 7201489423, 35277021200, 35228090900, 57202562075, 35278176800, 35227143200, 56880484900, 35226937900, 35314835500, 56654167600, 35228068400, 57202558513, 7004529719, 35314826300, 35227278400, 56250753600, 24536744000, 35226984000, 35277586500, 36123760200, 7004197449, 35227521100, 35227785300, 7004441173, 35227264600, 56945754200, 57203051099, 56438617700, 35226969700, 35227857000, 11040657000, 55325102700, 35230028400, 57201642612, 34875711100, 35095999100, 14007209600, 35233692800, 56438842500, 35227373700, 56438983300, 35314541700, 8606786700, 56024254100, 56978617500, 57202563228, 6603796638, 36443679900, 7103219883, 35355952300, 7004149934, 6506108082, 35227132600, 56760495800, 7006875836, 7006739132, 7003849404, 6601965244, 36148386500, 35227648200, 56808166600, 25943645900, 35276889300, 7006229719, 35277533400, 24772244700, 35227518700, 7005281007, 36026370800, 36124235000, 56978532600, 35355659000, 34975054600, 6506883851, 7401520916, 35198874900, 7101801755, 56250385700, 16019601700, 35315017000, 56224636200, 6602325806, 25943172400, 6505778480, 7005041971, 35227374900, 35227144500, 15841177400, 16428620600, 7003560254, 57196938559, 7101706560, 8453153600, 8738691400, 35315049800, 35227271500, 6701660492, 35227983700, 7005240663, 56284115800, 35314835800, 39262155100, 35277847900, 35286091100, 35227176800, 56261416800, 10340537700, 14629633900, 56870918000, 56967754100, 7003291511, 35314676600, 57203175803, 24325496700, 7004315004, 7202597250, 6701677963, 35227836300, 35315221900, 7007057809, 35228074900, 36148386200, 35231679900, 24347545500, 7007013278, 7005228958, 35227012000, 35226990500, 55667348900, 7404772262, 8546457000, 7005947314, 8301003700, 35227168700, 7202190781, 8977995200, 35227641800, 56978809800, 35227607500, 35285663700, 16020503000, 7004705753, 35226954200, 7101848031, 36041695200, 35227000800, 35350563300, 55957278700, 8719356400, 12755273200, 7102577657, 56438869500]","Germany"
35354875500,"[35227357700, 57203234311, 35226939400, 35285554700, 6505572367, 24759171600, 12759158300, 35278176800, 56880484900, 7004537381, 8789233700, 56866707500, 35226925100, 56654167600, 35227748400, 35227957300, 13906348600, 24483223100, 56250753600, 24438477900, 35227064400, 35226936400, 8859589200, 35227516500, 35227486300, 35227848800, 57201075299, 6603962980, 35227857000, 8791901800, 35227243000, 35354875500, 35227605100, 35230028400, 6602130032, 35227971700, 35227169400, 8047243900, 25635382400, 56438842500, 56438983300, 35227838600, 35315083400, 56967682700, 35227027600, 35227360400, 56978669200, 35227035800, 6701856410, 57202563228, 6603796638, 35227380900, 56438990000, 35227265200, 35228011700, 55238098100, 35227132600, 57202557627, 57202557628, 35227072700, 35226987200, 56212783300, 35227648200, 8791949000, 6602398413, 35227848400, 24504469200, 35229426400, 35227365600, 56254215400, 35277690600, 35355646700, 35228214000, 45261037300, 57202559221, 35227953400, 35227748600, 56225278200, 56439016700, 56808147200, 8086252800, 34768868100, 8935758600, 8791937300, 35273234200, 8791928600, 14630068000, 35228199200, 56250385700, 56224636200, 35278272300, 7005041971, 7102679861, 35227955000, 57190800185, 34767918400, 56978785600, 7006321472, 35227809600, 35226947400, 8738691400, 55169492300, 35227194700, 6701383503, 35271358800, 35228086100, 34769039700, 36042579800, 39262155100, 35227496800, 35227752800, 35227163500, 56978805100, 56870918000, 56978868600, 35231391100, 35228092800, 7202597250, 35227047300, 46361101700, 7201726341, 57203044241, 35225796500, 56978846100, 35227720600, 36148386200, 35231679900, 35226995100, 8791859100, 35226990500, 35278894500, 7003919278, 55856929200, 8301003700, 55877144500, 55094642100, 56870902200, 35227949500, 57202570173, 35227134400, 8086257600, 35286248900, 35227292100, 7102845895, 31967524300, 35227850700, 35227044300, 6701389778, 35226954200, 35227607000, 55139879900, 7101848031, 35350563300, 35488508900, 56983177700, 35226983400, 7004087284, 35227290100, 55397828600, 44861256700]","United Kingdom"
35227713900,"[35228070400, 26654963200, 35228074500, 35227844100, 35227037200, 12806906900, 35227147800, 35228095000, 35227843100, 35227130400, 35314520100, 35228064300, 56654167600, 35227748400, 35227146800, 35227509300, 56967903800, 35227372600, 34571299900, 35227841600, 35228072000, 35227743300, 35227845700, 35226996300, 35227064400, 35227845200, 35353976400, 35350562900, 35230925400, 35227848800, 35227243000, 35354875500, 35227605100, 35272648300, 35227852400, 34572372600, 35351751800, 35227617400, 57196125819, 35227135100, 35227843200, 35271811200, 55081795200, 35227715200, 35227838600, 57203520137, 35227864200, 35228073100, 35272292500, 35228098200, 34767818400, 35227611300, 35227845800, 35228272300, 57152218800, 35227367600, 35227973300, 35227132600, 35227951800, 35227606200, 35227507900, 35199475900, 35227844800, 35227622600, 35273783500, 55150327500, 34571302100, 35227609300, 35226981600, 35227843300, 35227156200, 35227147500, 35227723500, 34771057900, 35227987700, 34570144500, 35227718900, 35227838200, 35227953400, 35350859000, 34768868100, 35227607300, 35226980100, 34768872200, 35227973900, 35227961100, 36038584600, 35227730200, 55136530200, 35227051800, 35227849500, 32667516700, 35227610400, 35227972900, 55145468200, 35227609900, 35271010300, 35227950900, 54419528500, 34571907900, 35227357500, 56978785600, 36148321100, 35352109900, 35227130700, 34769039700, 35227254100, 35227847000, 35227731800, 34572721500, 55545239900, 35227496800, 35228213600, 35227837800, 35227645800, 35227146600, 34572737900, 56978805100, 35227713900, 10638946300, 34768001400, 35227615100, 35227717500, 35227043200, 35228199300, 35227354500, 36039377800, 35227627400, 34567582600, 35227132300, 35227712400, 35355114900, 35227951000, 35227861400, 35231679900, 35227148700, 35226990500, 35227732900, 35227361700, 35230126500, 35226921900, 35226977200, 35228235700, 34573306300, 35227040700, 7407726020, 35227151300, 57202909642, 35228221900, 35227854800, 35221944800, 7406754790, 35227243500, 35227358700, 35227132400, 35227725300, 35228070900, 35227610100, 35227844600, 24473045500]","Italy"
57202638098,"[6603589130, 55042802700, 35753177100, 7003894286, 6603682836, 8727871000, 24386063900, 56207644700, 7006671900, 7004160540, 7101936160, 56835322400, 7201896486, 55266259500, 7004494389, 6602423356, 6602873920, 7005298245, 7005882956, 6603632727, 39561690200, 36095927900, 6602195044, 36157913700, 16306521700, 6701634666, 56240021100, 7005911148, 6602115180, 56125307500, 7102014576, 6603315825, 7004617334, 8542151800, 7003562106, 6701659262, 7102568587, 7005328011, 24376561300, 7103391896, 7102982311, 35488684200, 6506588846, 7004153007, 26643290800, 55396378800, 56479092400, 56667627700, 54583475900, 6602277054, 8290859200, 6604017344, 7101611206, 7007024843, 8898935500, 22634466000, 7005397716, 26647069400, 55499895000, 57203231963, 35460743900, 8735653600, 26221106400, 10139143400, 6701308137, 7006426346, 7201531114, 49560984300, 15739915500, 6602593007, 8540256500, 7003892470, 36097640700, 55922690300, 7004695294, 7005959932, 35557817600, 36044196100, 56344356100, 35378792200, 23493902600, 35462341900, 7202546957, 36158994700, 6602818828, 36063907600, 57202638098, 7006177042, 7003873555, 7003365652, 7102928664, 7004657432, 55604079900, 7005861151, 7004025636, 7003902760, 55229308200, 35733529900, 6603674418, 6507305267, 6602327351, 6701628220, 6602512703, 7003781442, 6503846212, 6701631303, 6506136410, 7405936988, 8849905500, 7103236448, 7102213984, 36850063200, 35436166500, 55795846500, 7006227818, 6602766189, 6602560879, 7004870512, 55707897200, 7004255604, 6508151157, 7007175030, 6603770236, 12792905600, 23096752000, 7006393732, 8573760900, 6602754951, 23396587400, 7005772169, 6603232649, 6602105227, 26432303500, 35849301900, 6602542990, 6603757456, 7007164817, 55382767000, 6603629475, 6603774380, 14060585900, 35380107700, 56230590900, 6602532791, 35444516800, 54403053000, 7004064207, 22835240400, 7005339089, 24759323600, 20533548500, 55608637400, 7004967386, 35977678300, 7003946979, 55250057200, 55933568500, 7004877813, 6506776057, 7003678714]","Netherlands"
7103202523,"[6506848768, 35373857800, 56265403400, 6603923979, 35380236300, 53881036300, 7003616782, 56693008400, 24066781200, 6602727440, 7101784599, 35420303400, 7103008810, 7003732523, 7006658098, 35432450100, 7005197367, 35379799100, 16243978300, 35374495300, 7003997766, 7005187655, 7202564680, 35375753800, 16304649800, 35359975500, 7403743822, 24473033300, 7102412380, 7404952159, 7102257760, 7003726444, 25959227500, 55827314800, 6603455601, 35374403700, 7005257845, 7201592438, 7102067319, 6602408565, 7103156858, 36879964800, 35221648000, 16197605000, 7006708872, 7006410381, 7007045263, 57203029136, 36011565200, 14830218900, 7003435673, 36196836000, 35374555300, 17136052900, 7004971177, 35356058800, 26422414000, 35407911100, 15830375100, 35426816700, 7004797631, 7403053263, 7102723796, 35377488600, 35240669400, 56598403800, 7103202523, 7401477337, 6701442265, 6603459293, 9040344800, 7101886689, 7101711078, 7004105448, 23992788200, 7003332848, 35746844400, 6602423027, 35176557300, 7101655285, 25625606900, 7005946615, 35431294200, 7004865792, 7101712130, 35371931400, 6602448657, 6701813524, 7003962135, 7006829855, 55408491300, 35513455400, 7006891817, 6507897643, 6602847532, 24400806700, 7004354863, 7007060278, 6603895097, 7003995450, 7004943164, 7005642558, 36875438400, 7006480193, 7102589764, 15048908100, 7005492041, 6603574091, 7102227276, 23009944400, 7003868498, 57202567515, 6603780957, 35377107300, 6508129125, 7403169130, 7006270830, 7403379566, 23473678200, 36007203200, 7005496707, 55255962500, 57202524550, 7004564883, 35378654100, 7404064148, 11839471000, 7004560281, 35393484700, 36051280800, 7004321698, 22834593200, 7102326195, 6603636151, 7102675387, 7005623740, 55941728700, 6701362620, 7005054399, 6602254276, 7103329735, 6602386887, 7102741451, 7006720974, 7006083023, 7202522576, 7101771217, 57195363279, 6602757075, 7005153745, 6603858396, 6602363870, 23097477600, 6603100646, 16417357800, 55570957800, 7201777137, 56264171000, 36065493500, 7006779902]","Austria"
